sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
C42.2/C1/C42a-C1b-C3-C1j-C1au-C1az,1585933,-0.11568220734688735,0.0014947395093277752,-0.006526431076664955,-0.0002942916335193893,0.0008009597432827804,-4.687724906943236e-05,-0.00018987844157831923,-0.001854919020233944,-0.0044814883693434174,0.0004723930378445766,0.007629764976328163,0.0005486195569842252,-0.0,0.0,0.0,0.0,0.0,0.0
C42a/C1/C42.2/C1b/C3-C1j-C1au-C115k,1585934,-0.11943182435156711,0.0015751832564936021,-0.007846287665327977,-0.00036717354400179943,-0.004137690856072731,-0.0005249843749073671,-0.002291361065499935,0.0009916579580909375,0.002361027984100387,9.994074371591949e-05,-0.0020996640259261347,0.0013297182928710142,-0.0,0.0,0.0,0.0,0.0,0.0
C15/C42.2/C42a-C1-C1b-C1au,1587213,-0.052032501567584606,0.0008954134560446502,-0.02713671712244672,0.0012708855347711876,0.020984980335354307,0.0012115821918453839,-0.00023546056859986963,-0.0023675515823162853,-0.00018695104892958665,-5.2158935806588854e-05,-0.000523467143414722,-0.00017135249796883446,-0.0,0.0,0.0,0.0,0.0,0.0
C42a/C1/C42.2/C1b/C1j-C1ci-C1au-C3,1588633,-0.11694814803234937,0.0014854115183751825,-0.006271790923385785,-0.0003496938892594702,-0.0038938479511617893,-0.0004773745331114666,0.0007902937614307069,0.0003650690395487452,-0.008785382124024816,-3.985764352007329e-05,-0.004072933156753085,0.0013176570599656731,-0.0,0.0,0.0,0.0,0.0,0.0
C1/C42a/C42.2/C1b/C1j-C1au-C3-C115l,1586603,-0.11994533023994651,0.001577348741147189,-0.011640037967147137,-4.8570354245226466e-05,-0.0067366488212464585,-3.805343433363169e-05,-0.009442562812839941,0.004793038259746697,-0.0015459395428196563,-0.0002376723914018867,-0.0004061213034093211,-0.0023234931679968368,-0.0,0.0,0.0,0.0,0.0,0.0
C42a/C42aw/C1-C42.2-C1b-C1j-C1au-C3,1586098,-0.12974629778915509,0.0014500830530166735,-0.010032920632803827,-0.00027990071938893923,-0.006569421538377335,-0.0007934371109522135,0.015105430099605265,-0.0039016227485633016,0.002751120548597439,-0.0001174889664740857,-0.0004119117627128884,-0.0009722093295470193,-0.0,0.0,0.0,0.0,0.0,0.0
C42a/C42.2/C1-C1au-C1b-C3-C115k,1586361,-0.11871629664707074,0.0014972967408655128,-0.007487026521879532,-0.00028046772905062825,-0.0001384922266230578,-4.290001713619986e-05,-0.005206322279609874,0.00035284971347936464,0.009070347475822676,0.00012778354203957224,0.00035509727830730094,0.0011089586679858265,-0.0,0.0,0.0,0.0,0.0,0.0
C1/C3/C42.2,1586365,-0.08905392250895158,0.0012347746992056824,0.013005623781082628,-0.0011569281225415565,-0.0011316118799025515,-0.0013476064535689974,0.0005841352131239837,-0.000677215160053156,0.0003616652757957206,0.0006865622578744393,-0.0009654839774672118,-0.0012174077216709329,-0.0,0.0,0.0,0.0,0.0,0.0
C42dh/C1-C42.2-C1b-C42dz,1587322,-0.13475393506572894,-0.0012940574921777351,0.04207347337805629,-0.0017194937016767815,0.016480594709636042,-0.0001928906306289247,-0.0006156253857572151,-0.0015635092291483037,-0.00014427340248907152,6.0464444414422406e-05,-0.0005071791087829313,-9.369719052565967e-05,-0.0,0.0,0.0,0.0,0.0,0.0
C1/C93a,1587514,-0.011695801994325001,0.0011205936556704461,0.011289615116425093,0.0003616878749810975,-0.004928716680651924,0.0007990095721267059,0.004859508782004539,0.014520298707175715,0.0005586905627193566,-0.0003154675882618287,0.001302052961516568,0.0004751109293368925,-0.0,0.0,0.0,0.0,0.0,0.0
