sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
256528	HB60	HB60_S182_L001_R1_001.fastq.gz	d9d6845d53ee2a851ca6c107e571c6d8f8553241cca789f5ce4b63150036a55a	HB60_S182_L001_R2_001.fastq.gz	1429609bef58ffa6274c29415c8ddde3d5321ad1eb15f11a38b42c8f54e70efd	1340	20251021T032609_martyma1	1.2859134705429422	1.1135100826171103	0.023109899485984225	1.1115643144028469	0.02292260628888935	0.0	0.0	0.0019457682142634174	0.0001872931970948744	1.0	0.00023931908517678396	0	0	0.01714773271179739	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20240501	6.1
256512	HB103	HB103_S255_L001_R1_001.fastq.gz	9fa957cb69e720f271cd9d2e0c75a82bcb6c39ae651851633d8e411c1c65af07	HB103_S255_L001_R2_001.fastq.gz	010ddbd01a46faf68f225f06d3ab6fcf03ffd3ea4d6e2f5ca332d0530b73f463	1340	20251021T032609_martyma1	1.3394314155719564	1.1223130918796722	0.023641941887745894	1.1169369009964	0.023413976196582413	0.0	0.0	0.005376190883272068	0.0002279656911634799	1.0	0.0002279656911634799	0	0	0.0235374576126293	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20240901	6.1
256457	DL107	DL107_S246_L001_R1_001.fastq.gz	595223fb7a7da025127c03004b517e0c82c5cde15b39c6cbd08759aef77ef778	DL107_S246_L001_R2_001.fastq.gz	1739860b5a43c138d7f5cfdc61586fe57678b32b4fbb2dba779f089f2fe8b5c5	1340	20251021T032609_martyma1	1.269825013402037	1.1075443467407047	0.02029908546099007	1.1055040366135653	0.02017106600203231	0.0	0.0	0.002040310127139325	0.00012801945895776157	1.0	0.00020803162080636258	0	0	0.01052960049927589	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20240901	2.6
256504	HB06	HB06_S124_L001_R1_001.fastq.gz	776b0e7386ff500fa0e2ef2ce1ca5509024153a1a78e67f650a71eed3fd05bad	HB06_S124_L001_R2_001.fastq.gz	5065b87fdade8a778c5aabdc2265b8727d28639e30916ea545a73c3e69f7ca90	1340	20251021T032609_martyma1	1.2970510271703115	1.1104326422417874	0.023099498248603616	1.106539335416075	0.02283915554293288	0.0	0.0	0.003893306825712392	0.0002603427056707375	1.0	0.00028401022436807724	0	0	0.016034743917447695	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20220901	6.1
256464	DL55	DL55_S157_L001_R1_001.fastq.gz	307b1016f5a550e5359b1524c237e530180ce8a2d568cf1176b6e7633158d0f3	DL55_S157_L001_R2_001.fastq.gz	f00647dd4ee8c0c1fc9b250bf3b3214d439f5c801eea31b2c9bec55dcd39f076	1340	20251021T032609_martyma1	1.2783747682370064	1.0996099071618919	0.019544515108621253	1.0970978953594237	0.01940495889737302	0.0	0.0	0.002512011802468151	0.00013955621124823062	1.0	0.00016613834672408407	0	0	0.022754307967330557	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20240501	2.6
256456	DL106	DL106_S253_L001_R1_001.fastq.gz	c640e67892a2e448a60f5d5c37412acfdfc428ffdc13b03e0b14703949ba287c	DL106_S253_L001_R2_001.fastq.gz	41db4b9adcd98cd32529894c1b6f455a62f0bc950859b3cba1b1996858e26ba6	1340	20251021T032609_martyma1	1.2858204482799953	1.1060210156218786	0.02000878980382756	1.1031363618202885	0.01982500299652403	0.0	0.0	0.0028846538015901554	0.00018378680730352792	1.0	0.0002077589995605098	0	0	0.011083143553477965	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20240901	2.6
256505	HB07	HB07_S125_L001_R1_001.fastq.gz	a27b1d5e89252e6cbd21b8d7a474749f558364811cc08946091a04eb563b215c	HB07_S125_L001_R2_001.fastq.gz	7229b63f89e31705716f139af1b1656f40a380f4825da17ac101fc93cd179098	1340	20251021T032609_martyma1	1.2868775421553529	1.1100343561189432	0.024349405678632075	1.1089049480709237	0.024223038344587923	0.0	0.0	0.001129408048019587	0.00012636733404414958	1.0	0.00018955100106622438	0	0	0.01675156971922758	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20220901	6.1
256502	HB03	HB03_S130_L001_R1_001.fastq.gz	5ce73b1e5b081acb6b92925b7b0b7b9b13e2b7c72077425d6638acbeb4f69d46	HB03_S130_L001_R2_001.fastq.gz	ca2262aca5c64acd34a08fef1290830e1ba28ff6c6ef3e29015e486e2306631d	1340	20251021T032609_martyma1	1.3011337915140542	1.117329931272892	0.02351948639861723	1.1146755010494258	0.023313716613852422	0.0	0.0	0.0026544302234659863	0.00020576978476480513	1.0	0.0002675007201942467	0	0	0.02269640725955801	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20220901	6.1
256519	HB51	HB51_S173_L001_R1_001.fastq.gz	21b93eb3d4dc22ba97d35738e0ad3bd698925726b95c4d8e3a1497af540f6ab8	HB51_S173_L001_R2_001.fastq.gz	504d5a7cde82e39a2adde3b26992a3329def9a5d5fc2d29514d2d31250f9a03d	1340	20251021T032609_martyma1	1.273217449495088	1.1193961899851352	0.019466948971252104	1.118414340487853	0.01938467108041841	0.0	0.0	0.000981849497282087	8.227789083369445e-05	1.0	0.0001316446253339111	0	0	0.019779604956420144	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20240501	6.1
256595	SL08	SL08_S154_L001_R1_001.fastq.gz	b89beb3ebcdb5551334a027d811ab054d4fcd6bf77710a11f50089d36aaebae2	SL08_S154_L001_R2_001.fastq.gz	36d25db36fc544b18220c34be1d2220e9dce325622fa02b81ffcee1178ff132d	1340	20251021T032609_martyma1	1.295477234254959	1.0973024002777898	0.022982768349320715	1.0939385389990885	0.02275489387560224	0.0	0.0	0.0033638612787013325	0.00022787447371847738	1.0	0.00026042796996397414	0	0	0.006358782933287035	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20220901	1.3
