Colony_ID,Species,Phenotype,Date,Fv_Fm,PAM_type
1,Montipora capitata,Susceptible,September_2023,0.585338673,Imaging PAM - CRL
2,Montipora capitata,Resistant,September_2023,0.56970087,Imaging PAM - CRL
3,Montipora capitata,Susceptible,September_2023,0.598793965,Imaging PAM - CRL
4,Montipora capitata,Resistant,September_2023,0.564753067,Imaging PAM - CRL
19,Montipora capitata,Susceptible,September_2023,0.547468795,Imaging PAM - CRL
20,Montipora capitata,Resistant,September_2023,0.561766971,Imaging PAM - CRL
26,Porites compressa,Susceptible,September_2023,0.538330345,Imaging PAM - CRL
27,Porites compressa,Resistant,September_2023,0.559236486,Imaging PAM - CRL
28,Porites compressa,Susceptible,September_2023,0.660389631,Imaging PAM - CRL
29,Porites compressa,Resistant,September_2023,0.567486602,Imaging PAM - CRL
41,Porites compressa,Susceptible,September_2023,0.590630158,Imaging PAM - CRL
42,Porites compressa,Resistant,September_2023,0.566981873,Imaging PAM - CRL
43,Porites compressa,Susceptible,September_2023,0.61282033,Imaging PAM - CRL
44,Porites compressa,Resistant,September_2023,0.615988191,Imaging PAM - CRL
45,Porites compressa,Susceptible,September_2023,0.597953636,Imaging PAM - CRL
46,Porites compressa,Resistant,September_2023,0.540605169,Imaging PAM - CRL
201,Montipora capitata,Susceptible,September_2023,0.578960029,Imaging PAM - CRL
202,Montipora capitata,Resistant,September_2023,0.619516068,Imaging PAM - CRL
203,Montipora capitata,Susceptible,September_2023,0.567281075,Imaging PAM - CRL
204,Montipora capitata,Resistant,September_2023,0.61467251,Imaging PAM - CRL
205,Montipora capitata,Susceptible,September_2023,0.579698678,Imaging PAM - CRL
206,Montipora capitata,Resistant,September_2023,0.559865952,Imaging PAM - CRL
209,Montipora capitata,Susceptible,September_2023,0.574270405,Imaging PAM - CRL
210,Montipora capitata,Resistant,September_2023,0.563899097,Imaging PAM - CRL
211,Montipora capitata,Susceptible,September_2023,0.557373241,Imaging PAM - CRL
212,Montipora capitata,Resistant,September_2023,0.551120558,Imaging PAM - CRL
213,Montipora capitata,Susceptible,September_2023,0.630648054,Imaging PAM - CRL
214,Montipora capitata,Resistant,September_2023,0.608471415,Imaging PAM - CRL
219,Montipora capitata,Susceptible,September_2023,0.482257623,Imaging PAM - CRL
220,Montipora capitata,Resistant,September_2023,0.586142872,Imaging PAM - CRL
221,Montipora capitata,Susceptible,September_2023,0.554573125,Imaging PAM - CRL
225,Porites compressa,Susceptible,September_2023,0.631545734,Imaging PAM - CRL
226,Porites compressa,Resistant,September_2023,0.59904205,Imaging PAM - CRL
233,Porites compressa,Susceptible,September_2023,0.6016014,Imaging PAM - CRL
234,Porites compressa,Resistant,September_2023,0.558171016,Imaging PAM - CRL
235,Porites compressa,Susceptible,September_2023,0.657047048,Imaging PAM - CRL
236,Porites compressa,Resistant,September_2023,0.605906892,Imaging PAM - CRL
237,Porites compressa,Susceptible,September_2023,0.610840757,Imaging PAM - CRL
238,Porites compressa,Resistant,September_2023,0.599055961,Imaging PAM - CRL
239,Porites compressa,Susceptible,September_2023,0.673334976,Imaging PAM - CRL
240,Porites compressa,Resistant,September_2023,0.602466501,Imaging PAM - CRL
241,Porites compressa,Susceptible,September_2023,0.572201574,Imaging PAM - CRL
242,Porites compressa,Resistant,September_2023,0.546007832,Imaging PAM - CRL
243,Porites compressa,Susceptible,September_2023,0.678521426,Imaging PAM - CRL
244,Porites compressa,Resistant,September_2023,0.585477799,Imaging PAM - CRL
247,Porites compressa,Susceptible,September_2023,0.648765228,Imaging PAM - CRL
248,Porites compressa,Resistant,September_2023,0.649818379,Imaging PAM - CRL
1,Montipora capitata,Susceptible,January_2024,0.614766263,Imaging PAM - CRL
2,Montipora capitata,Resistant,January_2024,0.622449285,Imaging PAM - CRL
3,Montipora capitata,Susceptible,January_2024,0.622572013,Imaging PAM - CRL
4,Montipora capitata,Resistant,January_2024,0.581988849,Imaging PAM - CRL
12,Montipora capitata,Resistant,January_2024,0.570672869,Imaging PAM - CRL
19,Montipora capitata,Susceptible,January_2024,0.612993711,Imaging PAM - CRL
20,Montipora capitata,Resistant,January_2024,0.614064137,Imaging PAM - CRL
26,Porites compressa,Susceptible,January_2024,0.581611825,Imaging PAM - CRL
27,Porites compressa,Resistant,January_2024,0.607159146,Imaging PAM - CRL
28,Porites compressa,Susceptible,January_2024,0.596430722,Imaging PAM - CRL
29,Porites compressa,Resistant,January_2024,0.579299337,Imaging PAM - CRL
41,Porites compressa,Susceptible,January_2024,0.588688024,Imaging PAM - CRL
42,Porites compressa,Resistant,January_2024,0.583570316,Imaging PAM - CRL
43,Porites compressa,Susceptible,January_2024,0.606804192,Imaging PAM - CRL
44,Porites compressa,Resistant,January_2024,0.576860227,Imaging PAM - CRL
45,Porites compressa,Susceptible,January_2024,0.565651149,Imaging PAM - CRL
46,Porites compressa,Resistant,January_2024,0.558380399,Imaging PAM - CRL
201,Montipora capitata,Susceptible,January_2024,0.63171507,Imaging PAM - CRL
202,Montipora capitata,Resistant,January_2024,0.626614709,Imaging PAM - CRL
203,Montipora capitata,Susceptible,January_2024,0.6246295,Imaging PAM - CRL
204,Montipora capitata,Resistant,January_2024,0.63413515,Imaging PAM - CRL
205,Montipora capitata,Susceptible,January_2024,0.624378887,Imaging PAM - CRL
206,Montipora capitata,Resistant,January_2024,0.604746917,Imaging PAM - CRL
209,Montipora capitata,Susceptible,January_2024,0.624869668,Imaging PAM - CRL
210,Montipora capitata,Resistant,January_2024,0.61729567,Imaging PAM - CRL
211,Montipora capitata,Susceptible,January_2024,0.625779785,Imaging PAM - CRL
212,Montipora capitata,Resistant,January_2024,0.617916099,Imaging PAM - CRL
213,Montipora capitata,Susceptible,January_2024,0.563683428,Imaging PAM - CRL
214,Montipora capitata,Resistant,January_2024,0.594910242,Imaging PAM - CRL
219,Montipora capitata,Susceptible,January_2024,0.597937034,Imaging PAM - CRL
220,Montipora capitata,Resistant,January_2024,0.707841856,Imaging PAM - CRL
221,Montipora capitata,Susceptible,January_2024,0.609899711,Imaging PAM - CRL
225,Porites compressa,Susceptible,January_2024,0.604458963,Imaging PAM - CRL
226,Porites compressa,Resistant,January_2024,0.605270702,Imaging PAM - CRL
233,Porites compressa,Susceptible,January_2024,0.571259437,Imaging PAM - CRL
234,Porites compressa,Resistant,January_2024,0.583847576,Imaging PAM - CRL
235,Porites compressa,Susceptible,January_2024,0.576232707,Imaging PAM - CRL
236,Porites compressa,Resistant,January_2024,0.627019419,Imaging PAM - CRL
237,Porites compressa,Susceptible,January_2024,0.618419884,Imaging PAM - CRL
238,Porites compressa,Resistant,January_2024,0.620869705,Imaging PAM - CRL
239,Porites compressa,Susceptible,January_2024,0.591702427,Imaging PAM - CRL
240,Porites compressa,Resistant,January_2024,0.619810626,Imaging PAM - CRL
241,Porites compressa,Susceptible,January_2024,0.57805363,Imaging PAM - CRL
242,Porites compressa,Resistant,January_2024,0.583666356,Imaging PAM - CRL
243,Porites compressa,Susceptible,January_2024,0.553753412,Imaging PAM - CRL
244,Porites compressa,Resistant,January_2024,0.542686281,Imaging PAM - CRL
247,Porites compressa,Susceptible,January_2024,0.611696514,Imaging PAM - CRL
248,Porites compressa,Resistant,January_2024,0.630887022,Imaging PAM - CRL
1,Montipora capitata,Susceptible,May_2024,0.566310899,Imaging PAM - CRL
2,Montipora capitata,Resistant,May_2024,0.556621725,Imaging PAM - CRL
3,Montipora capitata,Susceptible,May_2024,0.573996743,Imaging PAM - CRL
4,Montipora capitata,Resistant,May_2024,0.566903952,Imaging PAM - CRL
12,Montipora capitata,Resistant,May_2024,0.549091014,Imaging PAM - CRL
19,Montipora capitata,Susceptible,May_2024,0.623842,Imaging PAM - CRL
20,Montipora capitata,Resistant,May_2024,0.566741,Imaging PAM - CRL
26,Porites compressa,Susceptible,May_2024,0.527244053,Imaging PAM - CRL
27,Porites compressa,Resistant,May_2024,0.551084281,Imaging PAM - CRL
28,Porites compressa,Susceptible,May_2024,0.525710661,Imaging PAM - CRL
29,Porites compressa,Resistant,May_2024,0.567990159,Imaging PAM - CRL
41,Porites compressa,Susceptible,May_2024,0.572676346,Imaging PAM - CRL
42,Porites compressa,Resistant,May_2024,0.555517679,Imaging PAM - CRL
43,Porites compressa,Susceptible,May_2024,0.578790994,Imaging PAM - CRL
44,Porites compressa,Resistant,May_2024,0.499372824,Imaging PAM - CRL
201,Montipora capitata,Susceptible,May_2024,0.56656598,Imaging PAM - CRL
202,Montipora capitata,Resistant,May_2024,0.539281218,Imaging PAM - CRL
203,Montipora capitata,Susceptible,May_2024,0.602540136,Imaging PAM - CRL
204,Montipora capitata,Resistant,May_2024,0.565529517,Imaging PAM - CRL
205,Montipora capitata,Susceptible,May_2024,0.584081164,Imaging PAM - CRL
206,Montipora capitata,Resistant,May_2024,0.613478407,Imaging PAM - CRL
209,Montipora capitata,Susceptible,May_2024,0.550753743,Imaging PAM - CRL
210,Montipora capitata,Resistant,May_2024,0.59386294,Imaging PAM - CRL
211,Montipora capitata,Susceptible,May_2024,0.60559833,Imaging PAM - CRL
213,Montipora capitata,Susceptible,May_2024,0.514707025,Imaging PAM - CRL
214,Montipora capitata,Resistant,May_2024,0.552187461,Imaging PAM - CRL
219,Montipora capitata,Susceptible,May_2024,0.507469239,Imaging PAM - CRL
220,Montipora capitata,Resistant,May_2024,0.584136194,Imaging PAM - CRL
221,Montipora capitata,Susceptible,May_2024,0.579981933,Imaging PAM - CRL
225,Porites compressa,Susceptible,May_2024,0.585911538,Imaging PAM - CRL
226,Porites compressa,Resistant,May_2024,0.572596027,Imaging PAM - CRL
233,Porites compressa,Susceptible,May_2024,0.52413598,Imaging PAM - CRL
234,Porites compressa,Resistant,May_2024,0.558476494,Imaging PAM - CRL
235,Porites compressa,Susceptible,May_2024,0.592934907,Imaging PAM - CRL
236,Porites compressa,Resistant,May_2024,0.59075819,Imaging PAM - CRL
237,Porites compressa,Susceptible,May_2024,0.621966137,Imaging PAM - CRL
238,Porites compressa,Resistant,May_2024,0.582622816,Imaging PAM - CRL
239,Porites compressa,Susceptible,May_2024,0.602034252,Imaging PAM - CRL
240,Porites compressa,Resistant,May_2024,0.567790694,Imaging PAM - CRL
241,Porites compressa,Susceptible,May_2024,0.674182656,Imaging PAM - CRL
242,Porites compressa,Resistant,May_2024,0.654130258,Imaging PAM - CRL
243,Porites compressa,Susceptible,May_2024,0.62389245,Imaging PAM - CRL
244,Porites compressa,Resistant,May_2024,0.51868168,Imaging PAM - CRL
247,Porites compressa,Susceptible,May_2024,0.599518532,Imaging PAM - CRL
248,Porites compressa,Resistant,May_2024,0.585727917,Imaging PAM - CRL
1,Montipora capitata,Susceptible,October_2024,0.571226118,Imaging PAM - CRL
2,Montipora capitata,Resistant,October_2024,0.571801045,Imaging PAM - CRL
3,Montipora capitata,Susceptible,October_2024,0.497315267,Imaging PAM - CRL
4,Montipora capitata,Resistant,October_2024,0.578579298,Imaging PAM - CRL
12,Montipora capitata,Resistant,October_2024,0.591857847,Imaging PAM - CRL
19,Montipora capitata,Susceptible,October_2024,0.588089672,Imaging PAM - CRL
20,Montipora capitata,Resistant,October_2024,0.586083884,Imaging PAM - CRL
26,Porites compressa,Susceptible,October_2024,0.580268714,Imaging PAM - CRL
27,Porites compressa,Resistant,October_2024,0.556852041,Imaging PAM - CRL
28,Porites compressa,Susceptible,October_2024,0.533605359,Imaging PAM - CRL
29,Porites compressa,Resistant,October_2024,0.569248223,Imaging PAM - CRL
41,Porites compressa,Susceptible,October_2024,0.534919774,Imaging PAM - CRL
42,Porites compressa,Resistant,October_2024,0.547066708,Imaging PAM - CRL
43,Porites compressa,Susceptible,October_2024,0.6081302,Imaging PAM - CRL
44,Porites compressa,Resistant,October_2024,0.546644062,Imaging PAM - CRL
201,Montipora capitata,Susceptible,October_2024,0.601962902,Imaging PAM - CRL
202,Montipora capitata,Resistant,October_2024,0.590631161,Imaging PAM - CRL
203,Montipora capitata,Susceptible,October_2024,0.632211872,Imaging PAM - CRL
204,Montipora capitata,Resistant,October_2024,0.612462436,Imaging PAM - CRL
205,Montipora capitata,Susceptible,October_2024,0.626516752,Imaging PAM - CRL
206,Montipora capitata,Resistant,October_2024,0.626016048,Imaging PAM - CRL
209,Montipora capitata,Susceptible,October_2024,0.658397609,Imaging PAM - CRL
210,Montipora capitata,Resistant,October_2024,0.641216638,Imaging PAM - CRL
211,Montipora capitata,Susceptible,October_2024,0.623893661,Imaging PAM - CRL
213,Montipora capitata,Susceptible,October_2024,0.558006701,Imaging PAM - CRL
214,Montipora capitata,Resistant,October_2024,0.597281209,Imaging PAM - CRL
219,Montipora capitata,Susceptible,October_2024,0.646861008,Imaging PAM - CRL
220,Montipora capitata,Resistant,October_2024,0.641882068,Imaging PAM - CRL
221,Montipora capitata,Susceptible,October_2024,0.618938112,Imaging PAM - CRL
225,Porites compressa,Susceptible,October_2024,0.602208043,Imaging PAM - CRL
226,Porites compressa,Resistant,October_2024,0.566707472,Imaging PAM - CRL
233,Porites compressa,Susceptible,October_2024,0.552567155,Imaging PAM - CRL
234,Porites compressa,Resistant,October_2024,0.552482756,Imaging PAM - CRL
235,Porites compressa,Susceptible,October_2024,0.579476289,Imaging PAM - CRL
236,Porites compressa,Resistant,October_2024,0.555115803,Imaging PAM - CRL
237,Porites compressa,Susceptible,October_2024,0.621272983,Imaging PAM - CRL
238,Porites compressa,Resistant,October_2024,0.561599317,Imaging PAM - CRL
239,Porites compressa,Susceptible,October_2024,0.602650225,Imaging PAM - CRL
240,Porites compressa,Resistant,October_2024,0.578776592,Imaging PAM - CRL
241,Porites compressa,Susceptible,October_2024,0.628522906,Imaging PAM - CRL
242,Porites compressa,Resistant,October_2024,0.599286276,Imaging PAM - CRL
243,Porites compressa,Susceptible,October_2024,0.606616828,Imaging PAM - CRL
244,Porites compressa,Resistant,October_2024,0.598081411,Imaging PAM - CRL
