ColonyID,Species,Phenotype,Original_pairs,Dead?,Phys_sampling
1,Montipora capitata,Susceptible,N,N,
2,Montipora capitata,Resistant,N,N,
3,Montipora capitata,Susceptible,Y,N,
4,Montipora capitata,Resistant,Y,N,
11,Montipora capitata,Susceptible,Y,Y,
12,Montipora capitata,Resistant,Y,N,
15,Montipora capitata,Susceptible,N,N,Not sampling anymore
16,Montipora capitata,Resistant,N,Y,Not sampling anymore
19,Montipora capitata,Susceptible,Y,N,
20,Montipora capitata,Resistant,Y,N,
26,Porites compressa,Resistant,Y,N,
27,Porites compressa,Susceptible,Y,N,
28,Porites compressa,Resistant,N,N,
29,Porites compressa,Susceptible,N,N,
41,Porites compressa,Susceptible,Y,N,
42,Porites compressa,Resistant,Y,N,
43,Porites compressa,Susceptible,Y,N,
44,Porites compressa,Resistant,Y,N,
45,Porites compressa,Susceptible,Y,N,Not sampling anymore
46,Porites compressa,Resistant,Y,N,Not sampling anymore
201,Montipora capitata,Susceptible,Y,N,
202,Montipora capitata,Resistant,Y,N,
203,Montipora capitata,Susceptible,Y,N,
204,Montipora capitata,Resistant,Y,N,
205,Montipora capitata,Susceptible,N,N,
206,Montipora capitata,Resistant,N,N,
207,Montipora capitata,Susceptible,N,Y,Not sampling anymore
208,Montipora capitata,Resistant,N,N,Not sampling anymore
209,Montipora capitata,Susceptible,Y,N,
210,Montipora capitata,Resistant,Y,N,
211,Montipora capitata,Susceptible,Y,N,
212,Montipora capitata,Resistant,Y,Y,
213,Montipora capitata,Susceptible,N,N,
214,Montipora capitata,Resistant,N,N,
217,Montipora capitata,Susceptible,Y,N,Not sampling anymore
218,Montipora capitata,Resistant,Y,N,Not sampling anymore
219,Montipora capitata,Susceptible,Y,N,
220,Montipora capitata,Resistant,Y,N,
221,Montipora capitata,Susceptible,Y,N,
222,Montipora capitata,Resistant,Y,Y,
225,Porites compressa,Susceptible,N,N,
226,Porites compressa,Resistant,N,N,
233,Porites compressa,Susceptible,N,N,
234,Porites compressa,Resistant,N,N,
235,Porites compressa,Susceptible,N,N,
236,Porites compressa,Resistant,N,N,
237,Porites compressa,Susceptible,Y,N,
238,Porites compressa,Resistant,Y,N,
239,Porites compressa,Susceptible,Y,N,
240,Porites compressa,Resistant,Y,N,
241,Porites compressa,Susceptible,N,N,
242,Porites compressa,Resistant,N,N,
243,Porites compressa,Susceptible,Y,N,
244,Porites compressa,Resistant,Y,N,
247,Porites compressa,Susceptible,Y,N,
248,Porites compressa,Resistant,Y,N,
