Current Date: 07-Aug-2023
Instrument Serial Number: 8470050168
Software Name: InCyte
Version Number: 3.4


  Well ,  Sample ID ,  Date , R1.Percent Percent for R1  (%) , R1.Concentration Concentration for R1  (cells/mL) , SINGLETS.Percent Percent for SINGLETS  (%) , SINGLETS.Concentration Concentration for SINGLETS  (cells/mL) , NEGATIVE .Percent Percent for NEGATIVE   (%) , CHLOROPHYLL POS.Percent Percent for CHLOROPHYLL POS  (%) , CHLOROPHYLL POS.Concentration Concentration for CHLOROPHYLL POS  (cells/mL) ,
 A01, 209, 08.07.2023, 49.46, 298544.561871817, 15.12, 91265.5433785255, 50.86, 49.14, 296613.015980208,
 A02, 209, 08.07.2023, 46.52, 310086.887757668, 14.98, 99851.7106321984, 53.74, 46.26, 308353.814008378,
 A03, 209, 08.07.2023, 46.24, 371827.373287922, 16.94, 136218.765214044, 53.96, 46.04, 370219.123403458,
 A04, 210, 08.07.2023, 40.88, 414849.019226673, 25.5, 258773.238509789, 59.96, 40.04, 406324.724311057,
 A05, 210, 08.07.2023, 33.96, 255254.317799819, 22.52, 169267.586479739, 66.86, 33.14, 249090.933212191,
 A06, 210, 08.07.2023, 38.84, 340213.565824983, 22.5, 197085.613570086, 61.94, 38.06, 333381.264554554,
 A07, 211, 08.07.2023, 17.46, 97686.5341065052, 9.06, 50689.5761171212, 83.26, 16.74, 93658.2234217008,
 A08, 211, 08.07.2023, 19.7, 123055.415400891, 9.7, 60590.7375324185, 81.12, 18.88, 117933.311815676,
 A09, 211, 08.07.2023, 14.88, 68998.8060043628, 7.24, 33571.9996956711, 85.8, 14.2, 65845.6347622279,
 A10, 212, 08.07.2023, 24.2, 249756.062525864, 10.9, 112493.433121154, 76.8, 23.2, 239435.564074382,
 A11, 212, 08.07.2023, 19.28, 170587.697604184, 9.32, 82462.5177215248, 81.68, 18.32, 162093.704362482,
 A12, 212, 08.07.2023, 17.8, 155624.03430271, 8.8, 76937.7248238119, 83.18, 16.82, 147055.969492786,
 B01, 213, 08.07.2023, 41.1, 409189.765153811, 16.8, 167260.049989879, 59.12, 40.88, 406999.454975372,
 B02, 213, 08.07.2023, 35.94, 373473.382836516, 14.88, 154626.709421462, 64.3, 35.7, 370979.403652299,
 B03, 213, 08.07.2023, 35.24, 306458.435309167, 16.62, 144532.894291667, 64.92, 35.08, 305067.023571101,
 B04, 214, 08.07.2023, 54.62, 703054.114005648, 38.16, 491185.37148399, 46.4, 53.6, 689924.945271013,
 B05, 214, 08.07.2023, 53.52, 663662.199856147, 36.26, 449633.620455603, 47.2, 52.8, 654734.008826692,
 B06, 214, 08.07.2023, 49.8, 527969.194293164, 35.72, 378695.976308269, 51.1, 48.9, 518427.582348106,
 B07, 217, 08.07.2023, 33.16, 371636.060144914, 16.68, 186938.766080131, 67.82, 32.18, 360652.847269702,
 B08, 217, 08.07.2023, 31.54, 358187.13142696, 16.22, 184204.035248741, 69.66, 30.34, 344559.212666264,
 B09, 217, 08.07.2023, 30, 319651.260430008, 14.18, 151088.49576325, 70.7, 29.3, 312192.731019974,
 B10, 218, 08.07.2023, 62.44, 475653.446061505, 22.36, 170333.296827919, 37.68, 62.32, 474739.313878171,
 B11, 218, 08.07.2023, 58.24, 378606.926216276, 21.92, 142497.661790192, 41.9, 58.1, 377696.813412872,
 B12, 218, 08.07.2023, 56.8, 396622.089911105, 23.5, 164095.406917447, 43.34, 56.66, 395644.500252874,
 C01, 219, 08.07.2023, 31.58, 290597.937322455, 9, 82817.6515485146, 68.94, 31.06, 285812.917455207,
 C02, 219, 08.07.2023, 25.34, 151323.81667931, 8.08, 48251.6353105296, 75.22, 24.78, 147979.643935015,
 C03, 219, 08.07.2023, 29.04, 189676.615478787, 10.1, 65968.7953283659, 71.5, 28.5, 186149.570976082,
 C04, 220, 08.07.2023, 43.58, 361945.358887117, 26.34, 218761.834627964, 57.4, 42.6, 353806.156232014,
 C05, 220, 08.07.2023, 43.16, 343791.877677505, 25.46, 202802.159538213, 58, 42, 334551.873550862,
 C06, 220, 08.07.2023, 42.46, 356694.004228551, 24.24, 203633.129121528, 58.36, 41.64, 349805.424778071,
 C07, 221, 08.07.2023, 51.92, 506453.526467407, 19.8, 193139.056703672, 48.64, 51.36, 500991.007691949,
 C08, 221, 08.07.2023, 47.3, 378151.97052059, 18.08, 144545.19296009, 53.58, 46.42, 371116.585022533,
 C09, 221, 08.07.2023, 51.6, 451983.793937583, 18.12, 158719.890429244, 48.94, 51.06, 447253.730977771,
 C10, 222, 08.07.2023, 34.84, 279281.009814788, 8, 64128.8197048881, 65.8, 34.2, 274150.704238397,
 C11, 222, 08.07.2023, 31.84, 226894.598703567, 8.76, 62424.5189900518, 68.58, 31.42, 223901.642313633,
 C12, 222, 08.07.2023, 25.62, 152996.084627847, 7.56, 45146.3856278891, 75, 25, 149293.603266829,
 D01, 240, 08.07.2023, 54.52, 372519.943834862, 31.98, 218510.414597191, 45.86, 54.14, 369923.509890305,
 D02, 240, 08.07.2023, 49.68, 417420.977280893, 23.68, 198963.944082358, 50.82, 49.18, 413219.880488614,
 D03, 240, 08.07.2023, 50.54, 441236.375994053, 24.5, 213895.750135621, 50.06, 49.94, 435998.112725426,
 D04, 241, 08.07.2023, 55.56, 444565.847817848, 34.76, 278133.708965954, 45.04, 54.96, 439764.920735582,
 D05, 241, 08.07.2023, 54.68, 438987.661629196, 33.48, 268787.617252112, 45.88, 54.12, 434491.811400368,
 D06, 241, 08.07.2023, 56.64, 432509.541767522, 34.2, 261155.12585539, 44.12, 55.88, 426706.094526292,
 D07, 242, 08.07.2023, 37.28, 280352.570176358, 22.26, 167399.361913244, 63.48, 36.52, 274637.228080488,
 D08, 242, 08.07.2023, 37.76, 236094.059873454, 21.72, 135804.104355175, 62.9, 37.1, 231967.415818462,
 D09, 242, 08.07.2023, 36.72, 219676.643235701, 23.3, 139391.769809145, 63.96, 36.04, 215608.557249854,
 D10, 243, 08.07.2023, 41.8, 214854.076089253, 29.14, 149781.047302412, 58.58, 41.42, 212900.857215714,
 D11, 243, 08.07.2023, 41.06, 207409.830433267, 30.72, 155178.519018752, 59.32, 40.68, 205490.304481864,
 D12, 243, 08.07.2023, 40.08, 198232.414104702, 30.16, 149168.902430085, 60.38, 39.62, 195957.291587532,
 E01, 248, 08.07.2023, 55.76, 697836.228170684, 34.5, 431767.393685233, 44.92, 55.08, 689326.030266163,
