Current Date: 18-Mar-2024
Instrument Serial Number: 8470050168
Software Name: InCyte
Version Number: 3.4


  Well ,  Sample ID ,  Date , R1.Percent Percent for R1  (%) , R1.Concentration Concentration for R1  (cells/mL) , SINGLETS.Percent Percent for SINGLETS  (%) , SINGLETS.Concentration Concentration for SINGLETS  (cells/mL) , NEGATIVE .Percent Percent for NEGATIVE   (%) , CHLOROPHYLL POS.Percent Percent for CHLOROPHYLL POS  (%) , CHLOROPHYLL POS.Concentration Concentration for CHLOROPHYLL POS  (cells/mL) ,
 A01, A01, 03.18.2024, 72.06, 568314.042684098, 39.1, 308369.123909912, 28.1, 71.9, 567052.174146359,
 A02, A02, 03.18.2024, 75.82, 551803.961749739, 40.66, 295915.973156745, 24.34, 75.66, 550639.511289703,
 A03, A03, 03.18.2024, 72.58, 573572.130732846, 39.56, 312627.63146585, 27.54, 72.46, 572623.816380574,
 A04, A04, 03.18.2024, 38.02, 202253.194322634, 22.7, 120756.115495102, 62.58, 37.42, 199061.402723644,
 A05, A05, 03.18.2024, 36.26, 200254.120834147, 21.22, 117192.29023995, 64.34, 35.66, 196940.483975336,
 A06, A06, 03.18.2024, 35.3, 190104.664627322, 20.58, 110831.558017855, 65.2, 34.8, 187411.963995207,
 A07, A07, 03.18.2024, 68, 764764.558777919, 39.9, 448736.851400573, 32.2, 67.8, 762515.251252102,
 A08, A08, 03.18.2024, 63.7, 652836.341801121, 36.56, 374689.115482715, 36.58, 63.42, 649966.731507489,
 A09, A09, 03.18.2024, 64.78, 756398.729369111, 37.1, 433195.320463014, 35.46, 64.54, 753596.387673394,
 A10, A10, 03.18.2024, 30.12, 208919.067028515, 19.64, 136227.43945684, 70.4, 29.6, 205312.230545951,
 A11, A11, 03.18.2024, 28.34, 199607.555368762, 17.82, 125511.878499341, 72.16, 27.84, 196085.897722877,
 A12, A12, 03.18.2024, 28.4, 198539.45136965, 18.04, 126114.496574242, 72.26, 27.74, 193925.506373031,
 B01, B01, 03.18.2024, 42.92, 834391.885927518, 9.7, 188574.121470105, 57.38, 42.62, 828559.6966037,
 B02, B02, 03.18.2024, 42.58, 878868.41152214, 9.28, 191542.951125539, 57.68, 42.32, 873501.90642595,
 B03, B03, 03.18.2024, 42.64, 897310.786067286, 10.8, 227273.838872577, 57.84, 42.16, 887209.726561838,
 B04, B04, 03.18.2024, 48.04, 698672.451919921, 21.58, 313849.948218815, 52.36, 47.64, 692855.029339405,
 B05, B05, 03.18.2024, 51.28, 771144.752386237, 23.18, 348579.082689411, 49.14, 50.86, 764828.824227067,
 B06, B06, 03.18.2024, 49, 787810.788394327, 20.42, 328308.087734942, 51.2, 48.8, 784595.234155983,
 B07, B07, 03.18.2024, 39.06, 174608.247736409, 30.32, 135538.199471785, 61.52, 38.48, 172015.49853807,
 B08, B08, 03.18.2024, 38.28, 164735.671897726, 29.92, 128758.915966039, 62.18, 37.82, 162756.089633543,
 B09, B09, 03.18.2024, 35.66, 155318.914070085, 28.6, 124568.730858229, 64.94, 35.06, 152705.58405208,
 B10, B10, 03.18.2024, 22.78, 91492.1606780549, 11.02, 44260.0355870134, 78.08, 21.92, 88038.1107139141,
 B11, B11, 03.18.2024, 22.34, 88488.9238268531, 10.64, 42145.1275522702, 78.32, 21.68, 85874.6583959792,
 B12, B12, 03.18.2024, 19.38, 70980.1672460678, 9.86, 36112.716669052, 81.22, 18.78, 68782.6388483567,
 C01, C01, 03.18.2024, 40.78, 188398.029472449, 23.88, 110322.338003974, 59.76, 40.24, 185903.303236178,
 C02, C02, 03.18.2024, 39.76, 174203.411318609, 21.72, 95163.4329436667, 60.82, 39.18, 171662.214674625,
 C03, C03, 03.18.2024, 39.38, 170684.432172373, 24.16, 104716.502825915, 61, 39, 169037.401084879,
 C04, C04, 03.18.2024, 37.22, 345652.534740157, 3.72, 34546.67999015, 63.1, 36.9, 342680.77732165,
 C05, C05, 03.18.2024, 38.02, 358955.60759359, 3.42, 32289.0104673876, 62.28, 37.72, 356123.238254345,
 C06, C06, 03.18.2024, 37.52, 322114.117769809, 3.06, 26270.5010761091, 62.84, 37.16, 319023.470584384,
