Current Date: 03-Dec-2025
Instrument Serial Number: 8470050168
Software Name: InCyte
Version Number: 3.4


  Well ,  Sample ID ,  Date , R1.Percent Percent for R1  (%) , R1.Concentration Concentration for R1  (cells/mL) , SINGLETS.Percent Percent for SINGLETS  (%) , SINGLETS.Concentration Concentration for SINGLETS  (cells/mL) , NEGATIVE .Percent Percent for NEGATIVE   (%) , CHLOROPHYLL POS.Percent Percent for CHLOROPHYLL POS  (%) , CHLOROPHYLL POS.Concentration Concentration for CHLOROPHYLL POS  (cells/mL) ,
 A01, A01, 12.03.2025, 76.82, 558622.847124696, 74.1, 538843.43884327, 23.24, 76.76, 558186.5366479,
 A02, A02, 12.03.2025, 52.02, 725021.820928299, 34.98, 487529.090658821, 48.18, 51.82, 722234.347568328,
 A03, A03, 12.03.2025, 77.6, 277124.231060705, 75.42, 269339.040033484, 22.38, 77.62, 277195.654831596,
 A04, A04, 12.03.2025, 81.5500945179584, 17437.1311446209, 78.7901701323251, 16847.0010687946, 18.4120982986767, 81.5879017013232, 17445.2151182623,
 A05, A05, 12.03.2025, 86.34, 277129.054170712, 85.24, 273598.338863927, 13.66, 86.34, 277129.054170712,
 A06, A06, 12.03.2025, 65.32, 172407.906827649, 53.34, 140787.473211678, 34.9, 65.1, 171827.231085118,
 A07, A07, 12.03.2025, 79.4169611307421, 29069.9598740133, 78.3127208480565, 28665.7613218162, 20.583038869258, 79.4169611307421, 29069.9598740133,
 A08, A08, 12.03.2025, 77.5, 370419.586352838, 74.4, 355602.802898724, 22.54, 77.46, 370228.402050204,
 A09, A09, 12.03.2025, 68.72, 384832.035258716, 63.74, 356944.032703588, 31.4, 68.6, 384160.035197147,
 A10, A10, 12.03.2025, 61.96, 85192.4186517796, 60.96, 83817.4603133067, 38.24, 61.76, 84917.426984085,
 A11, A11, 12.03.2025, 61.44, 111827.154358865, 58.62, 106694.462703722, 38.68, 61.32, 111608.741948008,
 A12, A12, 12.03.2025, 67.72, 98964.6226237581, 63.64, 93002.1940900172, 32.56, 67.44, 98555.4363518347,
 B01, B01, 12.03.2025, 63.72, 522570.140525528, 59.64, 489109.90553896, 36.32, 63.68, 522242.099006052,
 B02, B02, 12.03.2025, 45.58, 673101.354573223, 29.4, 434163.66442415, 54.64, 45.36, 669852.510825831,
 B03, B03, 12.03.2025, 64.38, 252739.619622943, 54.3, 213168.085516089, 35.98, 64.02, 251326.350547698,
 B04, B04, 12.03.2025, 52.998379254457, 10573.8477156855, 46.4343598055105, 9264.24272337583, 47.6499189627229, 52.3500810372771, 10444.5040127413,
 B05, B05, 12.03.2025, 67.52, 239576.452258192, 63.36, 224815.817758872, 32.68, 67.32, 238866.806368801,
 B06, B06, 12.03.2025, 30.36, 168690.756101236, 19.48, 108237.678815945, 70.04, 29.96, 166468.216495159,
 B07, B07, 12.03.2025, 74.3595310464611, 27687.6275149803, 71.580547112462, 26652.8782239095, 25.7707338254451, 74.2292661745549, 27639.1236419613,
 B08, B08, 12.03.2025, 76.6, 364871.271770716, 73.82, 351629.207338306, 23.44, 76.56, 364680.73846953,
 B09, B09, 12.03.2025, 68.4, 383385.218840956, 63.28, 354687.377898475, 31.76, 68.24, 382488.411311503,
 B10, B10, 12.03.2025, 59.84, 85384.0160420249, 56.8, 81046.3253874835, 40.4, 59.6, 85041.5667798243,
 B11, B11, 12.03.2025, 36.2, 109079.294880988, 33.46, 100823.016760162, 64.16, 35.84, 107994.528412559,
