Current Date: 05-Jan-2026
Instrument Serial Number: 8470050168
Software Name: InCyte
Version Number: 3.4


  Well ,  Sample ID ,  Date , R1.Percent Percent for R1  (%) , R1.Concentration Concentration for R1  (cells/mL) , SINGLETS.Percent Percent for SINGLETS  (%) , SINGLETS.Concentration Concentration for SINGLETS  (cells/mL) , NEGATIVE .Percent Percent for NEGATIVE   (%) , CHLOROPHYLL POS.Percent Percent for CHLOROPHYLL POS  (%) , CHLOROPHYLL POS.Concentration Concentration for CHLOROPHYLL POS  (cells/mL) ,
 A01, A01, 01.05.2026, 51.82, 176330.28504241, 45.04, 153259.668821114, 48.3, 51.7, 175921.955551768,
 A02, A02, 01.05.2026, 36.42, 305273.336022357, 32.48, 272248.159088582, 63.74, 36.26, 303932.21208596,
 A03, A03, 01.05.2026, 41.32, 223108.856715239, 38, 205182.394849445, 58.84, 41.16, 222244.930842188,
 A04, A04, 01.05.2026, 71.4, 382282.065880554, 67.06, 359045.312856442, 28.78, 71.22, 381318.329580014,
 A05, A05, 01.05.2026, 52.54, 267839.02224497, 43.2, 220225.461762137, 47.56, 52.44, 267329.241083483,
 A06, A06, 01.05.2026, 71.26, 420567.644816418, 68.58, 404750.618601038, 28.88, 71.12, 419741.382252928,
 A07, A07, 01.05.2026, 39.28, 28886.0436295893, 15.86, 11663.2548871, 61.56, 38.44, 28268.3176456571,
 A08, A08, 01.05.2026, 58.12, 326895.98677682, 55.62, 312834.734764741, 42.06, 57.94, 325883.57663195,
 A09, A09, 01.05.2026, 81.22, 49476.4472489544, 76.48, 46589.0013001727, 19.02, 80.98, 49330.2474540793,
 A10, A10, 01.05.2026, 77.4, 67104.614028935, 69.74, 60463.5114002316, 23.32, 76.68, 66480.3850612239,
 A11, A11, 01.05.2026, 20.7065750736016, 3411.44317957764, 15.8979391560353, 2619.21229901222, 79.2443572129539, 20.7556427870461, 3419.52716815484,
 A12, A12, 01.05.2026, 39.6, 80143.9571919843, 31.3, 63346.1075785128, 61.04, 38.96, 78848.7013181744,
 B01, B01, 01.05.2026, 44.14, 156166.792107584, 36.28, 128358.20610927, 56.22, 43.78, 154893.116413005,
 B02, B02, 01.05.2026, 22.84, 255116.380287928, 18.92, 211331.082094904, 77.4, 22.6, 252435.647745498,
 B03, B03, 01.05.2026, 30.54, 195974.360120512, 24.44, 156830.823881641, 69.74, 30.26, 194177.607637416,
 B04, B04, 01.05.2026, 42.3, 331801.895087948, 35.3, 276893.780061574, 58.1, 41.9, 328664.288515012,
 B05, B05, 01.05.2026, 27.74, 244532.021626441, 15.32, 135047.965800904, 72.52, 27.48, 242240.084870028,
 B06, B06, 01.05.2026, 47.68, 345858.18876009, 40.66, 294936.953753886, 52.58, 47.42, 343972.217093194,
