Current Date: 09-Apr-2026
Instrument Serial Number: 8470050168
Software Name: InCyte
Version Number: 3.4


  Well ,  Sample ID ,  Date , R1.Percent Percent for R1  (%) , R1.Concentration Concentration for R1  (cells/mL) , SINGLETS.Percent Percent for SINGLETS  (%) , SINGLETS.Concentration Concentration for SINGLETS  (cells/mL) , NEGATIVE .Percent Percent for NEGATIVE   (%) , CHLOROPHYLL POS.Percent Percent for CHLOROPHYLL POS  (%) , CHLOROPHYLL POS.Concentration Concentration for CHLOROPHYLL POS  (cells/mL) ,
 A01, A01, 04.09.2026, 88.46, 476725.775330368, 79.86, 430378.933053168, 11.56, 88.44, 476617.991976235,
 A02, A02, 04.09.2026, 56.4, 74937.5629959449, 35.44, 47088.4261095086, 44.3, 55.7, 74007.4868594704,
 A03, A03, 04.09.2026, 73.32, 248716.463933837, 61.78, 209570.41928304, 26.74, 73.26, 248512.931639293,
 A04, A04, 04.09.2026, 83.58, 183708.736714694, 67.86, 149156.196140932, 16.58, 83.42, 183357.056912416,
 A05, A05, 04.09.2026, 86.4, 200140.301082018, 78.58, 182025.750683159, 13.6, 86.4, 200140.301082018,
 A06, A06, 04.09.2026, 56.4, 281548.431879278, 45.22, 225737.944850726, 43.7, 56.3, 281049.232531974,
 A07, A07, 04.09.2026, 82.86, 179097.967540649, 68.18, 147367.842468277, 17.2, 82.8, 178968.280380953,
 A08, A08, 04.09.2026, 32.92, 422977.910777255, 18.88, 242582.714321828, 67.12, 32.88, 422463.964348607,
 A09, A09, 04.09.2026, 53.52, 289008.014991911, 40.1, 216540.011232728, 46.56, 53.44, 288576.014969501,
 A10, A10, 04.09.2026, 81.36, 221813.589416041, 75.76, 206546.184048172, 18.82, 81.18, 221322.85138636,
 A11, A11, 04.09.2026, 40.26, 509459.528695949, 30.64, 387725.781401984, 59.84, 40.16, 508194.105127405,
 A12, A12, 04.09.2026, 63.4, 194285.134290143, 41.58, 127419.177977668, 36.74, 63.26, 193856.113488871,
 B01, B01, 04.09.2026, 84, 452069.854513724, 70.96, 381891.39138445, 16.04, 83.96, 451854.583154432,
 B02, B02, 04.09.2026, 41.88, 52889.6771350577, 30.72, 38795.8663225638, 58.54, 41.46, 52359.2649001789,
 B03, B03, 04.09.2026, 60.06, 234735.950183875, 48.24, 188539.164783052, 40.1, 59.9, 234110.612987248,
 B04, B04, 04.09.2026, 74, 172701.663658955, 55.76, 130133.037373289, 26.36, 73.64, 171861.493403317,
 B05, B05, 04.09.2026, 86.08, 185360.581747458, 80.14, 172569.667997692, 14.06, 85.94, 185059.112399821,
 B06, B06, 04.09.2026, 47.3, 260871.142300131, 36.58, 201747.703706951, 53.04, 46.96, 258995.958613407,
 B07, B07, 04.09.2026, 77.64, 169593.394587125, 59.6, 130187.613567654, 22.62, 77.38, 169025.462044716,
 B08, B08, 04.09.2026, 28.18, 446607.19333362, 14.9, 236140.780009614, 71.9, 28.1, 445339.323373837,
 B09, B09, 04.09.2026, 43.22, 257776.941799505, 31.3, 186682.514537818, 56.94, 43.06, 256822.654185254,
 B10, B10, 04.09.2026, 75.68, 206660.30164282, 66.34, 181155.449405189, 24.52, 75.48, 206114.159196618,
 B11, B11, 04.09.2026, 32.92, 389010.662967112, 22.84, 269896.826918859, 67.22, 32.78, 387356.304133109,
 B12, B12, 04.09.2026, 51.8, 186288.418887898, 28.14, 101199.924855318, 48.42, 51.58, 185497.232552853,
 C01, C01, 04.09.2026, 53.02, 410986.589230741, 36.8, 285256.62926615, 47.14, 52.86, 409746.34301654,
 C02, C02, 04.09.2026, 38.3, 45096.1456915603, 30.32, 35700.1341349375, 61.76, 38.24, 45025.498988127,
 C03, C03, 04.09.2026, 47.54, 216119.515455864, 36.84, 167476.713281322, 52.84, 47.16, 214392.014070226,
 C04, C04, 04.09.2026, 61.06, 142361.634376963, 45.58, 106269.95242224, 39.72, 60.28, 140543.061255213,
 C05, C05, 04.09.2026, 75.52, 159910.584734094, 62.94, 133272.937012234, 24.68, 75.32, 159487.092719438,
 C06, C06, 04.09.2026, 41.92, 231379.943101543, 30.08, 166028.356118665, 58.62, 41.38, 228399.380857392,
 C07, C07, 04.09.2026, 64.7, 152502.670827545, 47.96, 113045.256458872, 35.9, 64.1, 151088.42658494,
 C08, C08, 04.09.2026, 27.96, 483098.950014024, 13.7, 236711.574220033, 72.12, 27.88, 481716.692646315,
 C09, C09, 04.09.2026, 38.8, 252807.410519071, 27.52, 179310.823131052, 61.6, 38.4, 250201.148554957,
 C10, C10, 04.09.2026, 63.78, 162342.240134912, 49.96, 127165.542758548, 36.62, 63.38, 161324.101281761,
 C11, C11, 04.09.2026, 31.3, 429582.168575977, 20.06, 275316.878646457, 69.06, 30.94, 424641.287403857,
 C12, C12, 04.09.2026, 44.84, 180702.965570929, 20.28, 81727.3894241402, 55.34, 44.66, 179977.574540538,
