ColonyID,Species,Phenotype,Sample,Timepoint,Diameter,Height,Without_wax_weight_g,With_wax_weight_g,Notes
1,Montipora capitata,Susceptible,Coral,April_2023,NA,NA,5.063,5.827,
2,Montipora capitata,Resistant,Coral,April_2023,NA,NA,3.095,3.401,
3,Montipora capitata,Susceptible,Coral,April_2023,NA,NA,1.224,1.38,
4,Montipora capitata,Resistant,Coral,April_2023,NA,NA,2.478,2.802,
11,Montipora capitata,Susceptible,Coral,April_2023,NA,NA,1.445,1.666,
12,Montipora capitata,Resistant,Coral,April_2023,NA,NA,1.365,1.606,
15,Montipora capitata,Susceptible,Coral,April_2023,NA,NA,2.141,2.375,
16,Montipora capitata,Resistant,Coral,April_2023,NA,NA,3.246,3.672,
19,Montipora capitata,Susceptible,Coral,April_2023,NA,NA,2.594,3.308,
20,Montipora capitata,Resistant,Coral,April_2023,NA,NA,2.992,3.368,
26,Porites compressa,Resistant,Coral,April_2023,NA,NA,4.209,4.498,
27,Porites compressa,Susceptible,Coral,April_2023,NA,NA,3.963,4.394,
28,Porites compressa,Resistant,Coral,April_2023,NA,NA,4.039,4.418,
29,Porites compressa,Susceptible,Coral,April_2023,NA,NA,6.776,7.175,
41,Porites compressa,Susceptible,Coral,April_2023,NA,NA,3.722,3.986,
42,Porites compressa,Resistant,Coral,April_2023,NA,NA,4.502,4.63,
43,Porites compressa,Susceptible,Coral,April_2023,NA,NA,5.168,5.596,
44,Porites compressa,Resistant,Coral,April_2023,NA,NA,2.731,2.912,
45,Porites compressa,Susceptible,Coral,April_2023,NA,NA,6.792,7.221,
46,Porites compressa,Resistant,Coral,April_2023,NA,NA,7.104,7.386,
201,Montipora capitata,Susceptible,Coral,April_2023,NA,NA,2.863,3.195,
202,Montipora capitata,Resistant,Coral,April_2023,NA,NA,2.164,2.434,
203,Montipora capitata,Susceptible,Coral,April_2023,NA,NA,2.641,3.017,
204,Montipora capitata,Resistant,Coral,April_2023,NA,NA,2,2.219,
206,Montipora capitata,Resistant,Coral,April_2023,NA,NA,2.73,3.111,
207,Montipora capitata,Susceptible,Coral,April_2023,NA,NA,1.956,2.252,
208,Montipora capitata,Resistant,Coral,April_2023,NA,NA,1.915,2.285,
