Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
1371988,10/10/25 8:10:00,0.000,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,169.099,μmol/L,18.876,°C,1018.000,hPa,Humid,73,0,,0,22.238,22436,202378.62,19.25,48.04,#N/A
1371992,10/10/25 8:10:04,0.052,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,169.460,μmol/L,18.874,°C,1018.000,hPa,Humid,73,0,,0,22.215,22403,202374.20,19.25,48.04,#N/A
1371998,10/10/25 8:10:07,0.102,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,170.254,μmol/L,18.857,°C,1018.000,hPa,Humid,73,0,,0,22.169,22381,202376.74,19.25,48.04,#N/A
1372004,10/10/25 8:10:10,0.152,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,170.246,μmol/L,18.884,°C,1018.000,hPa,Humid,73,0,,0,22.161,22351,202368.45,19.25,48.04,#N/A
1372011,10/10/25 8:10:13,0.202,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,170.625,μmol/L,18.867,°C,1018.000,hPa,Humid,73,0,,0,22.142,22334,202378.01,19.25,48.04,#N/A
1372019,10/10/25 8:10:16,0.253,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,170.982,μmol/L,18.870,°C,1018.000,hPa,Humid,73,0,,0,22.118,22316,202374.27,19.25,48.04,#N/A
1372029,10/10/25 8:10:19,0.302,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,171.301,μmol/L,18.859,°C,1018.000,hPa,Humid,73,0,,0,22.101,22290,202374.39,19.25,48.04,#N/A
1372039,10/10/25 8:10:22,0.352,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,171.842,μmol/L,18.877,°C,1018.000,hPa,Humid,73,0,,0,22.061,22265,202377.41,19.25,48.04,#N/A
1372049,10/10/25 8:10:25,0.402,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,172.177,μmol/L,18.863,°C,1018.000,hPa,Humid,73,0,,0,22.044,22251,202375.16,19.25,48.04,#N/A
1372059,10/10/25 8:10:28,0.453,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,172.205,μmol/L,18.867,°C,1018.000,hPa,Humid,73,0,,0,22.041,22233,202371.89,19.25,48.04,#N/A
1372067,10/10/25 8:10:31,0.502,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,172.353,μmol/L,18.872,°C,1018.000,hPa,Humid,73,0,,0,22.030,22219,202364.76,19.25,48.04,#N/A
1372077,10/10/25 8:10:34,0.552,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,172.735,μmol/L,18.878,°C,1018.000,hPa,Humid,73,0,,0,22.004,22208,202373.67,19.25,48.04,#N/A
1372088,10/10/25 8:10:37,0.602,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,172.827,μmol/L,18.878,°C,1018.000,hPa,Humid,73,0,,0,21.998,22185,202361.20,19.25,48.04,#N/A
1372099,10/10/25 8:10:40,0.652,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,173.078,μmol/L,18.888,°C,1018.000,hPa,Humid,73,0,,0,21.979,22175,202360.45,19.25,48.04,#N/A
1372109,10/10/25 8:10:43,0.703,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,173.055,μmol/L,18.880,°C,1018.000,hPa,Humid,73,0,,0,21.983,22161,202359.93,19.25,48.04,#N/A
1372117,10/10/25 8:10:46,0.752,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,173.587,μmol/L,18.868,°C,1018.000,hPa,Humid,73,0,,0,21.953,22151,202347.33,19.25,48.04,#N/A
1372127,10/10/25 8:10:49,0.802,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,173.530,μmol/L,18.883,°C,1018.000,hPa,Humid,73,0,,0,21.952,22142,202359.22,19.25,48.04,#N/A
1372138,10/10/25 8:10:52,0.852,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,173.716,μmol/L,18.884,°C,1018.000,hPa,Humid,73,0,,0,21.940,22118,202353.55,19.25,48.04,#N/A
1372149,10/10/25 8:10:55,0.902,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,173.948,μmol/L,18.882,°C,1018.000,hPa,Humid,73,0,,0,21.926,22119,202353.57,19.25,48.04,#N/A
1372159,10/10/25 8:10:58,0.953,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,174.255,μmol/L,18.878,°C,1018.000,hPa,Humid,73,0,,0,21.908,22109,202351.47,19.25,48.04,#N/A
1372169,10/10/25 8:11:01,1.003,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,174.107,μmol/L,18.886,°C,1018.000,hPa,Humid,73,0,,0,21.915,22096,202347.66,19.25,48.04,#N/A
1372177,10/10/25 8:11:04,1.052,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,174.270,μmol/L,18.872,°C,1018.000,hPa,Humid,73,0,,0,21.909,22079,202344.57,19.25,48.04,#N/A
1372189,10/10/25 8:11:07,1.102,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,174.839,μmol/L,18.880,°C,1018.000,hPa,Humid,73,0,,0,21.871,22075,202345.60,19.25,48.04,#N/A
1372199,10/10/25 8:11:10,1.152,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,174.838,μmol/L,18.873,°C,1018.000,hPa,Humid,73,0,,0,21.873,22057,202339.73,19.25,48.04,#N/A
1372209,10/10/25 8:11:13,1.203,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,175.081,μmol/L,18.886,°C,1018.000,hPa,Humid,73,0,,0,21.854,22041,202334.52,19.25,48.04,#N/A
1372219,10/10/25 8:11:16,1.253,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,175.253,μmol/L,18.877,°C,1018.000,hPa,Humid,73,0,,0,21.846,22030,202331.80,19.25,48.04,#N/A
1372227,10/10/25 8:11:19,1.302,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,175.475,μmol/L,18.874,°C,1018.000,hPa,Humid,73,0,,0,21.833,22017,202327.81,19.25,48.04,#N/A
1372239,10/10/25 8:11:22,1.352,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,175.830,μmol/L,18.878,°C,1018.000,hPa,Humid,73,0,,0,21.810,22001,202328.40,19.25,48.04,#N/A
1372249,10/10/25 8:11:25,1.402,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,175.764,μmol/L,18.862,°C,1018.000,hPa,Humid,73,0,,0,21.819,22000,202321.61,19.25,48.04,#N/A
1372259,10/10/25 8:11:28,1.452,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,175.772,μmol/L,18.883,°C,1018.000,hPa,Humid,73,0,,0,21.812,21990,202318.27,19.25,48.04,#N/A
1372269,10/10/25 8:11:31,1.503,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,175.898,μmol/L,18.877,°C,1018.000,hPa,Humid,73,0,,0,21.806,21982,202327.86,19.25,48.04,#N/A
1372277,10/10/25 8:11:34,1.552,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,175.713,μmol/L,18.878,°C,1018.000,hPa,Humid,73,0,,0,21.817,21984,202316.45,19.25,48.04,#N/A
1372289,10/10/25 8:11:37,1.602,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,176.180,μmol/L,18.872,°C,1018.000,hPa,Humid,73,0,,0,21.790,21971,202317.47,19.25,48.04,#N/A
1372299,10/10/25 8:11:40,1.652,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,176.293,μmol/L,18.892,°C,1018.000,hPa,Humid,73,0,,0,21.777,21952,202311.58,19.25,48.04,#N/A
1372309,10/10/25 8:11:43,1.702,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,176.306,μmol/L,18.876,°C,1018.000,hPa,Humid,73,0,,0,21.781,21937,202307.28,19.25,48.04,#N/A
1372319,10/10/25 8:11:46,1.753,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,176.655,μmol/L,18.884,°C,1018.000,hPa,Humid,73,0,,0,21.757,21934,202305.97,19.25,48.04,#N/A
1372329,10/10/25 8:11:49,1.803,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,176.776,μmol/L,18.876,°C,1018.000,hPa,Humid,73,0,,0,21.752,21921,202303.09,19.25,48.04,#N/A
1372337,10/10/25 8:11:52,1.852,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,177.083,μmol/L,18.870,°C,1018.000,hPa,Humid,73,0,,0,21.735,21910,202313.00,19.25,48.04,#N/A
1372349,10/10/25 8:11:55,1.902,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,176.948,μmol/L,18.877,°C,1018.000,hPa,Humid,73,0,,0,21.741,21899,202296.43,19.25,48.04,#N/A
1372359,10/10/25 8:11:58,1.952,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,177.075,μmol/L,18.871,°C,1018.000,hPa,Humid,73,0,,0,21.735,21899,202296.98,19.25,48.04,#N/A
1372369,10/10/25 8:12:01,2.003,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,177.289,μmol/L,18.887,°C,1018.000,hPa,Humid,73,0,,0,21.717,21892,202300.95,19.25,48.04,#N/A
1372377,10/10/25 8:12:04,2.052,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,177.176,μmol/L,18.861,°C,1018.000,hPa,Humid,73,0,,0,21.732,21895,202292.81,19.25,48.04,#N/A
1372389,10/10/25 8:12:07,2.102,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,177.200,μmol/L,18.886,°C,1018.000,hPa,Humid,73,0,,0,21.723,21887,202293.57,19.25,48.04,#N/A
1372399,10/10/25 8:12:10,2.152,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,177.290,μmol/L,18.877,°C,1018.000,hPa,Humid,73,0,,0,21.720,21883,202298.40,19.25,48.04,#N/A
1372409,10/10/25 8:12:13,2.202,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,177.355,μmol/L,18.874,°C,1018.000,hPa,Humid,73,0,,0,21.717,21882,202292.18,19.25,48.04,#N/A
1372419,10/10/25 8:12:16,2.253,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,177.153,μmol/L,18.875,°C,1018.000,hPa,Humid,73,0,,0,21.729,21885,202299.56,19.25,48.04,#N/A
1372427,10/10/25 8:12:19,2.302,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,177.180,μmol/L,18.877,°C,1018.000,hPa,Humid,73,0,,0,21.727,21879,202289.78,19.25,48.04,#N/A
1372437,10/10/25 8:12:22,2.352,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,177.223,μmol/L,18.878,°C,1018.000,hPa,Humid,73,0,,0,21.724,21878,202302.92,19.25,48.04,#N/A
1372449,10/10/25 8:12:25,2.402,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,177.174,μmol/L,18.887,°C,1018.000,hPa,Humid,73,0,,0,21.724,21875,202297.04,19.25,48.04,#N/A
1372459,10/10/25 8:12:28,2.452,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,177.393,μmol/L,18.876,°C,1018.000,hPa,Humid,73,0,,0,21.714,21866,202303.04,19.25,48.04,#N/A
1372469,10/10/25 8:12:31,2.503,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,177.662,μmol/L,18.875,°C,1018.000,hPa,Humid,73,0,,0,21.698,21863,202298.70,19.25,48.04,#N/A
1372477,10/10/25 8:12:34,2.552,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,177.776,μmol/L,18.878,°C,1018.000,hPa,Humid,73,0,,0,21.690,21861,202296.54,19.25,48.04,#N/A
1372488,10/10/25 8:12:37,2.602,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,177.830,μmol/L,18.867,°C,1018.000,hPa,Humid,73,0,,0,21.690,21859,202301.08,19.25,48.04,#N/A
1372499,10/10/25 8:12:40,2.652,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,177.677,μmol/L,18.881,°C,1018.000,hPa,Humid,73,0,,0,21.695,21850,202301.85,19.25,48.04,#N/A
1372509,10/10/25 8:12:43,2.702,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,177.975,μmol/L,18.894,°C,1018.000,hPa,Humid,73,0,,0,21.673,21837,202281.10,19.25,48.04,#N/A
1372519,10/10/25 8:12:46,2.753,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,177.966,μmol/L,18.886,°C,1018.000,hPa,Humid,73,0,,0,21.676,21837,202296.50,19.25,48.04,#N/A
1372528,10/10/25 8:12:49,2.802,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,178.011,μmol/L,18.880,°C,1018.000,hPa,Humid,73,0,,0,21.675,21833,202299.21,19.25,48.04,#N/A
1372537,10/10/25 8:12:52,2.852,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,178.175,μmol/L,18.867,°C,1018.000,hPa,Humid,73,0,,0,21.669,21831,202294.91,19.25,48.04,#N/A
1372548,10/10/25 8:12:55,2.902,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,178.193,μmol/L,18.880,°C,1018.000,hPa,Humid,73,0,,0,21.664,21832,202298.78,19.25,48.04,#N/A
