Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
178711,22/9/23 8:32:55,0.000,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.326,μmol/L,17.954,°C,1019.000,hPa,Humid,35,0,,0,22.762,84765,238395.89,23.80,25.13,#N/A
178718,22/9/23 8:32:59,0.056,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.146,μmol/L,17.964,°C,1019.000,hPa,Humid,35,0,,0,22.767,84746,238406.79,23.80,25.13,#N/A
178725,22/9/23 8:33:02,0.106,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.311,μmol/L,17.951,°C,1019.000,hPa,Humid,35,0,,0,22.764,84734,238393.23,23.80,25.13,#N/A
178733,22/9/23 8:33:05,0.156,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.313,μmol/L,17.956,°C,1019.000,hPa,Humid,35,0,,0,22.762,84720,238405.34,23.80,25.13,#N/A
178742,22/9/23 8:33:08,0.206,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.182,μmol/L,17.965,°C,1019.000,hPa,Humid,35,0,,0,22.765,84634,238410.59,23.80,25.13,#N/A
178752,22/9/23 8:33:11,0.256,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.171,μmol/L,17.955,°C,1019.000,hPa,Humid,35,0,,0,22.769,84672,238427.30,23.80,25.13,#N/A
178762,22/9/23 8:33:14,0.306,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.116,μmol/L,17.957,°C,1019.000,hPa,Humid,35,0,,0,22.771,84665,238413.54,23.80,25.13,#N/A
178772,22/9/23 8:33:17,0.356,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.153,μmol/L,17.972,°C,1019.000,hPa,Humid,35,0,,0,22.764,84673,238414.82,23.80,25.13,#N/A
178782,22/9/23 8:33:20,0.406,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.220,μmol/L,17.957,°C,1019.000,hPa,Humid,35,0,,0,22.766,84667,238419.59,23.80,25.13,#N/A
178796,22/9/23 8:33:24,0.473,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.163,μmol/L,17.965,°C,1019.000,hPa,Humid,35,0,,0,22.766,84617,238435.77,23.80,25.13,#N/A
178802,22/9/23 8:33:26,0.506,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.202,μmol/L,17.968,°C,1019.000,hPa,Humid,35,0,,0,22.763,84643,238426.03,23.80,25.13,#N/A
178812,22/9/23 8:33:29,0.556,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.200,μmol/L,17.963,°C,1019.000,hPa,Humid,35,0,,0,22.765,84644,238424.97,23.80,25.13,#N/A
178821,22/9/23 8:33:32,0.606,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.161,μmol/L,17.968,°C,1019.000,hPa,Humid,35,0,,0,22.765,84636,238424.12,23.80,25.13,#N/A
178832,22/9/23 8:33:35,0.656,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.124,μmol/L,17.964,°C,1019.000,hPa,Humid,35,0,,0,22.768,84638,238426.82,23.80,25.13,#N/A
178842,22/9/23 8:33:38,0.706,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.095,μmol/L,17.971,°C,1019.000,hPa,Humid,35,0,,0,22.767,84609,238424.06,23.80,25.13,#N/A
178852,22/9/23 8:33:41,0.756,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.099,μmol/L,17.976,°C,1019.000,hPa,Humid,35,0,,0,22.765,84601,238410.23,23.80,25.13,#N/A
178861,22/9/23 8:33:44,0.806,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.101,μmol/L,17.976,°C,1019.000,hPa,Humid,35,0,,0,22.765,84605,238431.93,23.80,25.13,#N/A
178872,22/9/23 8:33:47,0.856,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.045,μmol/L,17.981,°C,1019.000,hPa,Humid,35,0,,0,22.766,84617,238428.27,23.80,25.13,#N/A
178882,22/9/23 8:33:50,0.906,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.094,μmol/L,17.986,°C,1019.000,hPa,Humid,35,0,,0,22.762,84609,238406.74,23.80,25.13,#N/A
178891,22/9/23 8:33:53,0.955,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.126,μmol/L,17.975,°C,1019.000,hPa,Humid,35,0,,0,22.764,84600,238412.61,23.80,25.13,#N/A
178901,22/9/23 8:33:56,1.005,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.116,μmol/L,17.980,°C,1019.000,hPa,Humid,35,0,,0,22.763,84588,238413.71,23.80,25.13,#N/A
178912,22/9/23 8:33:59,1.055,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.178,μmol/L,17.971,°C,1019.000,hPa,Humid,35,0,,0,22.763,84582,238398.51,23.80,25.13,#N/A
178921,22/9/23 8:34:02,1.105,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,233.955,μmol/L,18.007,°C,1019.000,hPa,Humid,35,0,,0,22.761,84594,238407.46,23.80,25.13,#N/A
178931,22/9/23 8:34:05,1.155,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.090,μmol/L,17.986,°C,1019.000,hPa,Humid,35,0,,0,22.762,84578,238397.42,23.80,25.13,#N/A
178941,22/9/23 8:34:08,1.205,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.159,μmol/L,17.991,°C,1019.000,hPa,Humid,35,0,,0,22.757,84569,238394.97,23.80,25.13,#N/A
178951,22/9/23 8:34:11,1.255,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,233.965,μmol/L,18.000,°C,1019.000,hPa,Humid,35,0,,0,22.763,84572,238392.63,23.80,25.13,#N/A
178962,22/9/23 8:34:14,1.306,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.120,μmol/L,17.990,°C,1019.000,hPa,Humid,35,0,,0,22.759,84558,238401.26,23.80,25.13,#N/A
178972,22/9/23 8:34:17,1.356,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.067,μmol/L,17.998,°C,1019.000,hPa,Humid,35,0,,0,22.759,84561,238404.96,23.80,25.13,#N/A
178981,22/9/23 8:34:20,1.406,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,233.923,μmol/L,18.009,°C,1019.000,hPa,Humid,35,0,,0,22.762,84555,238392.46,23.80,25.13,#N/A
178992,22/9/23 8:34:23,1.456,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.014,μmol/L,17.999,°C,1019.000,hPa,Humid,35,0,,0,22.761,84546,238396.02,23.80,25.13,#N/A
179002,22/9/23 8:34:26,1.506,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,233.993,μmol/L,18.008,°C,1019.000,hPa,Humid,35,0,,0,22.759,84547,238395.73,23.80,25.13,#N/A
179012,22/9/23 8:34:29,1.556,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.197,μmol/L,17.986,°C,1019.000,hPa,Humid,35,0,,0,22.757,84547,238381.94,23.80,25.13,#N/A
179021,22/9/23 8:34:32,1.606,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.099,μmol/L,18.007,°C,1019.000,hPa,Humid,35,0,,0,22.754,84535,238368.96,23.80,25.13,#N/A
179031,22/9/23 8:34:35,1.656,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.062,μmol/L,18.010,°C,1019.000,hPa,Humid,35,0,,0,22.755,84525,238389.17,23.80,25.13,#N/A
179041,22/9/23 8:34:38,1.706,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.011,μmol/L,18.014,°C,1019.000,hPa,Humid,35,0,,0,22.756,84520,238386.75,23.80,25.13,#N/A
179052,22/9/23 8:34:41,1.756,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.166,μmol/L,18.010,°C,1019.000,hPa,Humid,35,0,,0,22.750,84498,238365.43,23.80,25.13,#N/A
179062,22/9/23 8:34:44,1.806,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.094,μmol/L,18.014,°C,1019.000,hPa,Humid,35,0,,0,22.752,84507,238368.05,23.80,25.13,#N/A
179071,22/9/23 8:34:47,1.856,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.116,μmol/L,18.011,°C,1019.000,hPa,Humid,35,0,,0,22.752,84507,238377.97,23.80,25.13,#N/A
179082,22/9/23 8:34:50,1.906,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.065,μmol/L,18.021,°C,1019.000,hPa,Humid,35,0,,0,22.751,84504,238358.33,23.80,25.13,#N/A
179092,22/9/23 8:34:53,1.956,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.165,μmol/L,18.013,°C,1019.000,hPa,Humid,35,0,,0,22.749,84503,238367.28,23.80,25.13,#N/A
179101,22/9/23 8:34:56,2.006,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.209,μmol/L,18.010,°C,1019.000,hPa,Humid,35,0,,0,22.748,84491,238360.38,23.80,25.13,#N/A
179112,22/9/23 8:34:59,2.056,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,233.916,μmol/L,18.038,°C,1019.000,hPa,Humid,35,0,,0,22.752,84492,238353.57,23.80,25.13,#N/A
179122,22/9/23 8:35:02,2.106,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.118,μmol/L,18.027,°C,1019.000,hPa,Humid,35,0,,0,22.746,84500,238353.90,23.80,25.13,#N/A
179132,22/9/23 8:35:05,2.156,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.217,μmol/L,18.017,°C,1019.000,hPa,Humid,35,0,,0,22.745,84492,238357.50,23.80,25.13,#N/A
179142,22/9/23 8:35:08,2.206,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.113,μmol/L,18.028,°C,1019.000,hPa,Humid,35,0,,0,22.746,84488,238333.79,23.80,25.13,#N/A
179151,22/9/23 8:35:11,2.256,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.314,μmol/L,18.015,°C,1019.000,hPa,Humid,35,0,,0,22.741,84466,238338.82,23.80,25.13,#N/A
179161,22/9/23 8:35:14,2.306,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.200,μmol/L,18.019,°C,1019.000,hPa,Humid,35,0,,0,22.745,84467,238336.31,23.80,25.13,#N/A
179172,22/9/23 8:35:17,2.356,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.175,μmol/L,18.042,°C,1019.000,hPa,Humid,35,0,,0,22.738,84455,238333.23,23.80,25.13,#N/A
179182,22/9/23 8:35:20,2.406,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.197,μmol/L,18.034,°C,1019.000,hPa,Humid,35,0,,0,22.740,84450,238337.59,23.80,25.13,#N/A
179192,22/9/23 8:35:23,2.456,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.257,μmol/L,18.026,°C,1019.000,hPa,Humid,35,0,,0,22.740,84445,238334.89,23.80,25.13,#N/A
179201,22/9/23 8:35:26,2.506,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.150,μmol/L,18.029,°C,1019.000,hPa,Humid,35,0,,0,22.744,84432,238346.40,23.80,25.13,#N/A
179211,22/9/23 8:35:29,2.556,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.179,μmol/L,18.033,°C,1019.000,hPa,Humid,35,0,,0,22.741,84434,238332.27,23.80,25.13,#N/A
179221,22/9/23 8:35:32,2.606,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.055,μmol/L,18.050,°C,1019.000,hPa,Humid,35,0,,0,22.741,84421,238321.10,23.80,25.13,#N/A
179231,22/9/23 8:35:35,2.656,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.251,μmol/L,18.038,°C,1019.000,hPa,Humid,35,0,,0,22.736,84416,238326.15,23.80,25.13,#N/A
179242,22/9/23 8:35:38,2.706,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.125,μmol/L,18.055,°C,1019.000,hPa,Humid,35,0,,0,22.736,84409,238322.55,23.80,25.13,#N/A
179251,22/9/23 8:35:41,2.756,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.050,μmol/L,18.065,°C,1019.000,hPa,Humid,35,0,,0,22.736,84411,238316.51,23.80,25.13,#N/A
179262,22/9/23 8:35:44,2.806,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.278,μmol/L,18.034,°C,1019.000,hPa,Humid,35,0,,0,22.736,84392,238306.02,23.80,25.13,#N/A
179272,22/9/23 8:35:47,2.856,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.214,μmol/L,18.054,°C,1019.000,hPa,Humid,35,0,,0,22.732,84383,238319.88,23.80,25.13,#N/A
179281,22/9/23 8:35:50,2.906,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.134,μmol/L,18.054,°C,1019.000,hPa,Humid,35,0,,0,22.736,84398,238313.70,23.80,25.13,#N/A
179292,22/9/23 8:35:53,2.955,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.317,μmol/L,18.032,°C,1019.000,hPa,Humid,35,0,,0,22.735,84374,238309.37,23.80,25.13,#N/A
179301,22/9/23 8:35:56,3.005,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.132,μmol/L,18.057,°C,1019.000,hPa,Humid,35,0,,0,22.735,84376,238314.57,23.80,25.13,#N/A
179312,22/9/23 8:35:59,3.056,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.276,μmol/L,18.057,°C,1019.000,hPa,Humid,35,0,,0,22.728,84370,238315.96,23.80,25.13,#N/A
179322,22/9/23 8:36:02,3.106,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.229,μmol/L,18.049,°C,1019.000,hPa,Humid,35,0,,0,22.733,84376,238308.33,23.80,25.13,#N/A
179332,22/9/23 8:36:05,3.156,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.183,μmol/L,18.067,°C,1019.000,hPa,Humid,35,0,,0,22.729,84384,238306.33,23.80,25.13,#N/A
179342,22/9/23 8:36:08,3.206,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.249,μmol/L,18.061,°C,1019.000,hPa,Humid,35,0,,0,22.728,84369,238292.43,23.80,25.13,#N/A
179351,22/9/23 8:36:11,3.256,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.323,μmol/L,18.062,°C,1019.000,hPa,Humid,35,0,,0,22.724,84348,238299.55,23.80,25.13,#N/A
179362,22/9/23 8:36:14,3.306,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.284,μmol/L,18.073,°C,1019.000,hPa,Humid,35,0,,0,22.722,84338,238285.77,23.80,25.13,#N/A
179371,22/9/23 8:36:17,3.356,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.362,μmol/L,18.051,°C,1019.000,hPa,Humid,35,0,,0,22.726,84342,238291.59,23.80,25.13,#N/A
179381,22/9/23 8:36:20,3.406,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.278,μmol/L,18.071,°C,1019.000,hPa,Humid,35,0,,0,22.723,84322,238289.03,23.80,25.13,#N/A
179392,22/9/23 8:36:23,3.456,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.284,μmol/L,18.065,°C,1019.000,hPa,Humid,35,0,,0,22.725,84320,238289.25,23.80,25.13,#N/A
179401,22/9/23 8:36:26,3.506,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.247,μmol/L,18.081,°C,1019.000,hPa,Humid,35,0,,0,22.721,84312,238291.34,23.80,25.13,#N/A
179411,22/9/23 8:36:29,3.556,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.420,μmol/L,18.066,°C,1019.000,hPa,Humid,35,0,,0,22.718,84297,238287.70,23.80,25.13,#N/A
179422,22/9/23 8:36:32,3.606,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.417,μmol/L,18.061,°C,1019.000,hPa,Humid,35,0,,0,22.720,84312,238284.53,23.80,25.13,#N/A
179432,22/9/23 8:36:35,3.656,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,234.325,μmol/L,18.073,°C,1019.000,hPa,Humid,35,0,,0,22.720,84295,238284.79,23.80,25.13,#N/A
