Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
253203,23/9/23 7:57:42,0.000,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,216.784,μmol/L,17.628,°C,1018.000,hPa,Humid,35,0,,0,22.014,69591,154493.56,19.25,28.93,#N/A
253206,23/9/23 7:57:46,0.053,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,216.631,μmol/L,17.639,°C,1018.000,hPa,Humid,35,0,,0,22.018,69591,154489.24,19.25,28.93,#N/A
253210,23/9/23 7:57:49,0.103,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,216.714,μmol/L,17.629,°C,1018.000,hPa,Humid,35,0,,0,22.017,69579,154493.43,19.25,28.93,#N/A
253217,23/9/23 7:57:52,0.153,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,216.735,μmol/L,17.620,°C,1018.000,hPa,Humid,35,0,,0,22.019,69585,154487.89,19.25,28.93,#N/A
253224,23/9/23 7:57:55,0.204,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,216.886,μmol/L,17.627,°C,1018.000,hPa,Humid,35,0,,0,22.009,69563,154495.16,19.25,28.93,#N/A
253234,23/9/23 7:57:58,0.254,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,216.792,μmol/L,17.635,°C,1018.000,hPa,Humid,35,0,,0,22.011,69563,154493.03,19.25,28.93,#N/A
253244,23/9/23 7:58:01,0.304,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,216.633,μmol/L,17.653,°C,1018.000,hPa,Humid,35,0,,0,22.013,69555,154491.31,19.25,28.93,#N/A
253254,23/9/23 7:58:04,0.354,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,216.733,μmol/L,17.653,°C,1018.000,hPa,Humid,35,0,,0,22.008,69548,154497.36,19.25,28.93,#N/A
253264,23/9/23 7:58:07,0.404,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,216.636,μmol/L,17.668,°C,1018.000,hPa,Humid,35,0,,0,22.008,69551,154495.31,19.25,28.93,#N/A
253272,23/9/23 7:58:10,0.453,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,216.800,μmol/L,17.643,°C,1018.000,hPa,Humid,35,0,,0,22.008,69546,154484.63,19.25,28.93,#N/A
