Date,"Time, GMT-10:00","Temp, °C"
2/09/2022,21:00:00,28.122
2/09/2022,21:30:00,28.097
2/09/2022,22:00:00,28.048
2/09/2022,22:30:00,27.998
2/09/2022,23:00:00,27.998
2/09/2022,23:30:00,27.949
3/09/2022,0:00:00,27.949
3/09/2022,0:30:00,27.924
3/09/2022,1:00:00,27.899
3/09/2022,1:30:00,27.899
3/09/2022,2:00:00,27.825
3/09/2022,2:30:00,27.825
3/09/2022,3:00:00,27.801
3/09/2022,3:30:00,27.751
3/09/2022,4:00:00,27.702
3/09/2022,4:30:00,27.677
3/09/2022,5:00:00,27.677
3/09/2022,5:30:00,27.653
3/09/2022,6:00:00,27.653
3/09/2022,6:30:00,27.653
3/09/2022,7:00:00,27.579
3/09/2022,7:30:00,27.579
3/09/2022,8:00:00,27.579
3/09/2022,8:30:00,27.579
3/09/2022,9:00:00,27.579
3/09/2022,9:30:00,27.604
3/09/2022,10:00:00,27.653
3/09/2022,10:30:00,27.702
3/09/2022,11:00:00,27.751
3/09/2022,11:30:00,27.751
3/09/2022,12:00:00,27.751
3/09/2022,12:30:00,27.85
3/09/2022,13:00:00,27.899
3/09/2022,13:30:00,27.924
3/09/2022,14:00:00,27.949
3/09/2022,14:30:00,27.949
3/09/2022,15:00:00,27.998
3/09/2022,15:30:00,28.072
3/09/2022,16:00:00,28.122
3/09/2022,16:30:00,28.097
3/09/2022,17:00:00,28.023
3/09/2022,17:30:00,27.974
3/09/2022,18:00:00,27.899
3/09/2022,18:30:00,27.825
3/09/2022,19:00:00,27.776
3/09/2022,19:30:00,27.727
3/09/2022,20:00:00,27.702
3/09/2022,20:30:00,27.677
3/09/2022,21:00:00,27.628
3/09/2022,21:30:00,27.628
3/09/2022,22:00:00,27.579
3/09/2022,22:30:00,27.53
3/09/2022,23:00:00,27.505
3/09/2022,23:30:00,27.481
4/09/2022,0:00:00,27.481
4/09/2022,0:30:00,27.481
4/09/2022,1:00:00,27.481
4/09/2022,1:30:00,27.481
4/09/2022,2:00:00,27.456
4/09/2022,2:30:00,27.431
4/09/2022,3:00:00,27.431
4/09/2022,3:30:00,27.382
4/09/2022,4:00:00,27.358
4/09/2022,4:30:00,27.333
4/09/2022,5:00:00,27.308
4/09/2022,5:30:00,27.284
4/09/2022,6:00:00,27.259
4/09/2022,6:30:00,27.235
4/09/2022,7:00:00,27.235
4/09/2022,7:30:00,27.235
4/09/2022,8:00:00,27.284
4/09/2022,8:30:00,27.382
4/09/2022,9:00:00,27.431
4/09/2022,9:30:00,27.481
4/09/2022,10:00:00,27.579
4/09/2022,10:30:00,27.579
4/09/2022,11:00:00,27.653
4/09/2022,11:30:00,27.628
4/09/2022,12:00:00,27.677
4/09/2022,12:30:00,27.653
4/09/2022,13:00:00,27.653
4/09/2022,13:30:00,27.727
4/09/2022,14:00:00,27.776
4/09/2022,14:30:00,27.751
4/09/2022,15:00:00,27.85
4/09/2022,15:30:00,27.85
4/09/2022,16:00:00,27.85
4/09/2022,16:30:00,27.899
4/09/2022,17:00:00,27.974
4/09/2022,17:30:00,27.998
4/09/2022,18:00:00,27.998
4/09/2022,18:30:00,27.949
4/09/2022,19:00:00,27.949
4/09/2022,19:30:00,27.924
4/09/2022,20:00:00,27.899
4/09/2022,20:30:00,27.825
4/09/2022,21:00:00,27.727
4/09/2022,21:30:00,27.628
4/09/2022,22:00:00,27.579
4/09/2022,22:30:00,27.53
4/09/2022,23:00:00,27.481
4/09/2022,23:30:00,27.431
5/09/2022,0:00:00,27.407
5/09/2022,0:30:00,27.431
5/09/2022,1:00:00,27.407
5/09/2022,1:30:00,27.407
5/09/2022,2:00:00,27.407
5/09/2022,2:30:00,27.382
5/09/2022,3:00:00,27.382
5/09/2022,3:30:00,27.358
5/09/2022,4:00:00,27.333
5/09/2022,4:30:00,27.333
5/09/2022,5:00:00,27.333
5/09/2022,5:30:00,27.308
5/09/2022,6:00:00,27.308
5/09/2022,6:30:00,27.308
5/09/2022,7:00:00,27.333
5/09/2022,7:30:00,27.358
5/09/2022,8:00:00,27.382
5/09/2022,8:30:00,27.431
5/09/2022,9:00:00,27.481
5/09/2022,9:30:00,27.53
5/09/2022,10:00:00,27.604
5/09/2022,10:30:00,27.653
5/09/2022,11:00:00,27.727
5/09/2022,11:30:00,27.776
5/09/2022,12:00:00,27.801
5/09/2022,12:30:00,27.776
5/09/2022,13:00:00,27.85
5/09/2022,13:30:00,27.801
5/09/2022,14:00:00,27.776
5/09/2022,14:30:00,27.751
5/09/2022,15:00:00,27.776
5/09/2022,15:30:00,27.801
5/09/2022,16:00:00,27.85
5/09/2022,16:30:00,27.899
5/09/2022,17:00:00,27.974
5/09/2022,17:30:00,27.924
5/09/2022,18:00:00,27.875
5/09/2022,18:30:00,27.949
5/09/2022,19:00:00,27.899
5/09/2022,19:30:00,27.85
5/09/2022,20:00:00,27.776
5/09/2022,20:30:00,27.727
5/09/2022,21:00:00,27.702
5/09/2022,21:30:00,27.677
5/09/2022,22:00:00,27.604
5/09/2022,22:30:00,27.554
5/09/2022,23:00:00,27.505
5/09/2022,23:30:00,27.481
6/09/2022,0:00:00,27.481
6/09/2022,0:30:00,27.481
6/09/2022,1:00:00,27.456
6/09/2022,1:30:00,27.407
6/09/2022,2:00:00,27.382
6/09/2022,2:30:00,27.358
6/09/2022,3:00:00,27.308
6/09/2022,3:30:00,27.308
6/09/2022,4:00:00,27.259
6/09/2022,4:30:00,27.235
6/09/2022,5:00:00,27.21
6/09/2022,5:30:00,27.186
6/09/2022,6:00:00,27.186
6/09/2022,6:30:00,27.186
6/09/2022,7:00:00,27.186
6/09/2022,7:30:00,27.235
6/09/2022,8:00:00,27.284
6/09/2022,8:30:00,27.358
6/09/2022,9:00:00,27.456
6/09/2022,9:30:00,27.53
6/09/2022,10:00:00,27.604
6/09/2022,10:30:00,27.727
6/09/2022,11:00:00,27.776
6/09/2022,11:30:00,27.85
6/09/2022,12:00:00,27.974
6/09/2022,12:30:00,27.727
6/09/2022,13:00:00,27.85
6/09/2022,13:30:00,27.85
6/09/2022,14:00:00,27.751
6/09/2022,14:30:00,27.801
6/09/2022,15:00:00,27.801
6/09/2022,15:30:00,27.776
6/09/2022,16:00:00,27.85
6/09/2022,16:30:00,27.801
6/09/2022,17:00:00,27.801
6/09/2022,17:30:00,27.85
6/09/2022,18:00:00,27.85
6/09/2022,18:30:00,27.85
6/09/2022,19:00:00,27.924
6/09/2022,19:30:00,27.85
6/09/2022,20:00:00,27.875
6/09/2022,20:30:00,27.801
6/09/2022,21:00:00,27.727
6/09/2022,21:30:00,27.653
6/09/2022,22:00:00,27.554
6/09/2022,22:30:00,27.456
6/09/2022,23:00:00,27.407
6/09/2022,23:30:00,27.382
7/09/2022,0:00:00,27.333
7/09/2022,0:30:00,27.308
7/09/2022,1:00:00,27.308
7/09/2022,1:30:00,27.358
7/09/2022,2:00:00,27.382
7/09/2022,2:30:00,27.407
7/09/2022,3:00:00,27.407
7/09/2022,3:30:00,27.407
7/09/2022,4:00:00,27.407
7/09/2022,4:30:00,27.382
7/09/2022,5:00:00,27.333
7/09/2022,5:30:00,27.284
7/09/2022,6:00:00,27.235
7/09/2022,6:30:00,27.186
7/09/2022,7:00:00,27.186
7/09/2022,7:30:00,27.186
7/09/2022,8:00:00,27.235
7/09/2022,8:30:00,27.333
7/09/2022,9:00:00,27.431
7/09/2022,9:30:00,27.481
7/09/2022,10:00:00,27.53
7/09/2022,10:30:00,27.628
7/09/2022,11:00:00,27.677
7/09/2022,11:30:00,27.776
7/09/2022,12:00:00,27.875
7/09/2022,12:30:00,27.949
7/09/2022,13:00:00,27.875
7/09/2022,13:30:00,27.899
7/09/2022,14:00:00,27.751
7/09/2022,14:30:00,27.751
7/09/2022,15:00:00,27.776
7/09/2022,15:30:00,27.751
7/09/2022,16:00:00,27.776
