"Plot Title: 21152009"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 21152009, SEN S/N: 21152009, LBL: u22_1)","Coupler Detached (LGR S/N: 21152009)","Coupler Attached (LGR S/N: 21152009)","Host Connected (LGR S/N: 21152009)","Stopped (LGR S/N: 21152009)","End Of File (LGR S/N: 21152009)"
1,05/13/24 10:00:00 AM,25.453,Logged,,,,
2,05/13/24 10:30:00 AM,25.453,,,,,
3,05/13/24 11:00:00 AM,25.404,,,,,
4,05/13/24 11:30:00 AM,25.453,,,,,
5,05/13/24 12:00:00 PM,25.404,,,,,
6,05/13/24 12:30:00 PM,25.210,,,,,
7,05/13/24 01:00:00 PM,25.234,,,,,
8,05/13/24 01:30:00 PM,25.355,,,,,
9,05/13/24 02:00:00 PM,25.331,,,,,
10,05/13/24 02:30:00 PM,25.404,,,,,
11,05/13/24 03:00:00 PM,25.428,,,,,
12,05/13/24 03:30:00 PM,25.380,,,,,
13,05/13/24 04:00:00 PM,25.331,,,,,
14,05/13/24 04:30:00 PM,25.380,,,,,
15,05/13/24 05:00:00 PM,25.380,,,,,
16,05/13/24 05:30:00 PM,25.380,,,,,
17,05/13/24 06:00:00 PM,25.331,,,,,
18,05/13/24 06:30:00 PM,25.307,,,,,
19,05/13/24 07:00:00 PM,25.307,,,,,
20,05/13/24 07:30:00 PM,25.283,,,,,
21,05/13/24 08:00:00 PM,25.307,,,,,
22,05/13/24 08:30:00 PM,25.283,,,,,
23,05/13/24 09:00:00 PM,25.234,,,,,
24,05/13/24 09:30:00 PM,25.283,,,,,
25,05/13/24 10:00:00 PM,25.186,,,,,
26,05/13/24 10:30:00 PM,25.234,,,,,
27,05/13/24 11:00:00 PM,25.283,,,,,
28,05/13/24 11:30:00 PM,25.234,,,,,
29,05/14/24 12:00:00 AM,25.210,,,,,
30,05/14/24 12:30:00 AM,25.234,,,,,
31,05/14/24 01:00:00 AM,25.234,,,,,
32,05/14/24 01:30:00 AM,25.210,,,,,
33,05/14/24 02:00:00 AM,25.210,,,,,
34,05/14/24 02:30:00 AM,25.234,,,,,
35,05/14/24 03:00:00 AM,25.234,,,,,
36,05/14/24 03:30:00 AM,25.234,,,,,
37,05/14/24 04:00:00 AM,25.234,,,,,
38,05/14/24 04:30:00 AM,25.234,,,,,
39,05/14/24 05:00:00 AM,25.234,,,,,
40,05/14/24 05:30:00 AM,25.234,,,,,
41,05/14/24 06:00:00 AM,25.234,,,,,
42,05/14/24 06:30:00 AM,25.234,,,,,
43,05/14/24 07:00:00 AM,25.283,,,,,
44,05/14/24 07:30:00 AM,25.283,,,,,
45,05/14/24 08:00:00 AM,25.307,,,,,
46,05/14/24 08:30:00 AM,25.307,,,,,
47,05/14/24 09:00:00 AM,25.307,,,,,
48,05/14/24 09:30:00 AM,25.404,,,,,
49,05/14/24 10:00:00 AM,25.477,,,,,
50,05/14/24 10:30:00 AM,25.525,,,,,
51,05/14/24 11:00:00 AM,25.525,,,,,
52,05/14/24 11:30:00 AM,25.598,,,,,
53,05/14/24 12:00:00 PM,25.550,,,,,
54,05/14/24 12:30:00 PM,25.623,,,,,
55,05/14/24 01:00:00 PM,25.574,,,,,
56,05/14/24 01:30:00 PM,25.428,,,,,
57,05/14/24 02:00:00 PM,25.428,,,,,
58,05/14/24 02:30:00 PM,25.380,,,,,
59,05/14/24 03:00:00 PM,25.355,,,,,
60,05/14/24 03:30:00 PM,25.283,,,,,
61,05/14/24 04:00:00 PM,25.331,,,,,
62,05/14/24 04:30:00 PM,25.380,,,,,
63,05/14/24 05:00:00 PM,25.331,,,,,
64,05/14/24 05:30:00 PM,25.380,,,,,
65,05/14/24 06:00:00 PM,25.428,,,,,
66,05/14/24 06:30:00 PM,25.380,,,,,
67,05/14/24 07:00:00 PM,25.428,,,,,
68,05/14/24 07:30:00 PM,25.404,,,,,
69,05/14/24 08:00:00 PM,25.404,,,,,
70,05/14/24 08:30:00 PM,25.380,,,,,
71,05/14/24 09:00:00 PM,25.380,,,,,
72,05/14/24 09:30:00 PM,25.380,,,,,
73,05/14/24 10:00:00 PM,25.380,,,,,
74,05/14/24 10:30:00 PM,25.380,,,,,
75,05/14/24 11:00:00 PM,25.355,,,,,
76,05/14/24 11:30:00 PM,25.355,,,,,
77,05/15/24 12:00:00 AM,25.355,,,,,
78,05/15/24 12:30:00 AM,25.307,,,,,
79,05/15/24 01:00:00 AM,25.307,,,,,
80,05/15/24 01:30:00 AM,25.307,,,,,
81,05/15/24 02:00:00 AM,25.307,,,,,
82,05/15/24 02:30:00 AM,25.307,,,,,
83,05/15/24 03:00:00 AM,25.307,,,,,
84,05/15/24 03:30:00 AM,25.307,,,,,
85,05/15/24 04:00:00 AM,25.331,,,,,
86,05/15/24 04:30:00 AM,25.331,,,,,
87,05/15/24 05:00:00 AM,25.355,,,,,
88,05/15/24 05:30:00 AM,25.355,,,,,
89,05/15/24 06:00:00 AM,25.355,,,,,
90,05/15/24 06:30:00 AM,25.380,,,,,
91,05/15/24 07:00:00 AM,25.331,,,,,
92,05/15/24 07:30:00 AM,25.380,,,,,
93,05/15/24 08:00:00 AM,25.404,,,,,
94,05/15/24 08:30:00 AM,25.428,,,,,
95,05/15/24 09:00:00 AM,25.501,,,,,
96,05/15/24 09:30:00 AM,25.550,,,,,
97,05/15/24 10:00:00 AM,25.477,,,,,
98,05/15/24 10:30:00 AM,25.453,,,,,
99,05/15/24 11:00:00 AM,25.477,,,,,
100,05/15/24 11:30:00 AM,25.501,,,,,
101,05/15/24 12:00:00 PM,25.574,,,,,
102,05/15/24 12:30:00 PM,25.525,,,,,
103,05/15/24 01:00:00 PM,25.647,,,,,
104,05/15/24 01:30:00 PM,25.623,,,,,
105,05/15/24 02:00:00 PM,25.647,,,,,
106,05/15/24 02:30:00 PM,25.598,,,,,
107,05/15/24 03:00:00 PM,25.695,,,,,
108,05/15/24 03:30:00 PM,25.598,,,,,
109,05/15/24 04:00:00 PM,25.695,,,,,
110,05/15/24 04:30:00 PM,25.525,,,,,
111,05/15/24 05:00:00 PM,25.525,,,,,
112,05/15/24 05:30:00 PM,25.477,,,,,
113,05/15/24 06:00:00 PM,25.453,,,,,
114,05/15/24 06:30:00 PM,25.428,,,,,
115,05/15/24 07:00:00 PM,25.428,,,,,
116,05/15/24 07:30:00 PM,25.428,,,,,
117,05/15/24 08:00:00 PM,25.404,,,,,
118,05/15/24 08:30:00 PM,25.380,,,,,
119,05/15/24 09:00:00 PM,25.307,,,,,
120,05/15/24 09:30:00 PM,25.283,,,,,
121,05/15/24 10:00:00 PM,25.380,,,,,
122,05/15/24 10:30:00 PM,25.355,,,,,
123,05/15/24 11:00:00 PM,25.307,,,,,
124,05/15/24 11:30:00 PM,25.477,,,,,
125,05/16/24 12:00:00 AM,25.525,,,,,
126,05/16/24 12:30:00 AM,25.525,,,,,
127,05/16/24 01:00:00 AM,25.525,,,,,
128,05/16/24 01:30:00 AM,25.550,,,,,
129,05/16/24 02:00:00 AM,25.574,,,,,
130,05/16/24 02:30:00 AM,25.331,,,,,
131,05/16/24 03:00:00 AM,25.428,,,,,
132,05/16/24 03:30:00 AM,25.404,,,,,
133,05/16/24 04:00:00 AM,25.307,,,,,
134,05/16/24 04:30:00 AM,25.355,,,,,
135,05/16/24 05:00:00 AM,25.525,,,,,
136,05/16/24 05:30:00 AM,25.550,,,,,
137,05/16/24 06:00:00 AM,25.525,,,,,
138,05/16/24 06:30:00 AM,25.550,,,,,
139,05/16/24 07:00:00 AM,25.623,,,,,
140,05/16/24 07:30:00 AM,25.623,,,,,
141,05/16/24 08:00:00 AM,25.623,,,,,
142,05/16/24 08:30:00 AM,25.623,,,,,
143,05/16/24 09:00:00 AM,25.623,,,,,
144,05/16/24 09:30:00 AM,25.525,,,,,
145,05/16/24 10:00:00 AM,25.574,,,,,
146,05/16/24 10:30:00 AM,25.525,,,,,
147,05/16/24 11:00:00 AM,25.477,,,,,
148,05/16/24 11:30:00 AM,25.404,,,,,
149,05/16/24 12:00:00 PM,25.428,,,,,
150,05/16/24 12:30:00 PM,25.331,,,,,
151,05/16/24 01:00:00 PM,25.307,,,,,
152,05/16/24 01:30:00 PM,25.428,,,,,
153,05/16/24 02:00:00 PM,25.525,,,,,
154,05/16/24 02:30:00 PM,25.525,,,,,
155,05/16/24 03:00:00 PM,25.404,,,,,
156,05/16/24 03:30:00 PM,25.623,,,,,
157,05/16/24 04:00:00 PM,25.647,,,,,
158,05/16/24 04:30:00 PM,25.647,,,,,
159,05/16/24 05:00:00 PM,25.525,,,,,
160,05/16/24 05:30:00 PM,25.404,,,,,
161,05/16/24 06:00:00 PM,25.355,,,,,
162,05/16/24 06:30:00 PM,25.234,,,,,
163,05/16/24 07:00:00 PM,25.210,,,,,
164,05/16/24 07:30:00 PM,25.210,,,,,
165,05/16/24 08:00:00 PM,25.258,,,,,
166,05/16/24 08:30:00 PM,25.186,,,,,
167,05/16/24 09:00:00 PM,25.331,,,,,
168,05/16/24 09:30:00 PM,25.307,,,,,
169,05/16/24 10:00:00 PM,25.380,,,,,
170,05/16/24 10:30:00 PM,25.307,,,,,
171,05/16/24 11:00:00 PM,25.331,,,,,
172,05/16/24 11:30:00 PM,25.380,,,,,
173,05/17/24 12:00:00 AM,25.404,,,,,
174,05/17/24 12:30:00 AM,25.404,,,,,
175,05/17/24 01:00:00 AM,25.428,,,,,
176,05/17/24 01:30:00 AM,25.404,,,,,
177,05/17/24 02:00:00 AM,25.380,,,,,
178,05/17/24 02:30:00 AM,25.404,,,,,
179,05/17/24 03:00:00 AM,25.355,,,,,
180,05/17/24 03:30:00 AM,25.404,,,,,
181,05/17/24 04:00:00 AM,25.404,,,,,
182,05/17/24 04:30:00 AM,25.404,,,,,
183,05/17/24 05:00:00 AM,25.404,,,,,
184,05/17/24 05:30:00 AM,25.404,,,,,
185,05/17/24 06:00:00 AM,25.404,,,,,
186,05/17/24 06:30:00 AM,25.404,,,,,
187,05/17/24 07:00:00 AM,25.404,,,,,
188,05/17/24 07:30:00 AM,25.380,,,,,
189,05/17/24 08:00:00 AM,25.380,,,,,
190,05/17/24 08:30:00 AM,25.355,,,,,
191,05/17/24 09:00:00 AM,25.380,,,,,
192,05/17/24 09:30:00 AM,25.404,,,,,
193,05/17/24 10:00:00 AM,25.234,,,,,
194,05/17/24 10:30:00 AM,25.283,,,,,
195,05/17/24 11:00:00 AM,25.331,,,,,
196,05/17/24 11:30:00 AM,25.331,,,,,
197,05/17/24 12:00:00 PM,25.210,,,,,
198,05/17/24 12:30:00 PM,25.089,,,,,
199,05/17/24 01:00:00 PM,25.162,,,,,
200,05/17/24 01:30:00 PM,25.162,,,,,
201,05/17/24 02:00:00 PM,25.283,,,,,
202,05/17/24 02:30:00 PM,25.331,,,,,
203,05/17/24 03:00:00 PM,25.307,,,,,
204,05/17/24 03:30:00 PM,25.283,,,,,
