"Plot Title: 21152009"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 21152009, SEN S/N: 21152009, LBL: u22_1)","Coupler Detached (LGR S/N: 21152009)","Coupler Attached (LGR S/N: 21152009)","Host Connected (LGR S/N: 21152009)","Stopped (LGR S/N: 21152009)","End Of File (LGR S/N: 21152009)"
1,10/13/25 09:00:00 AM,26.280,Logged,,,,
2,10/13/25 09:30:00 AM,26.329,,,,,
3,10/13/25 10:00:00 AM,26.598,,,,,
4,10/13/25 10:30:00 AM,31.765,,,,,
5,10/13/25 11:00:00 AM,28.543,,,,,
6,10/13/25 11:30:00 AM,28.717,,,,,
7,10/13/25 12:00:00 PM,28.518,,,,,
8,10/13/25 12:30:00 PM,28.369,,,,,
9,10/13/25 01:00:00 PM,28.270,,,,,
10,10/13/25 01:30:00 PM,28.345,,,,,
11,10/13/25 02:00:00 PM,28.345,,,,,
12,10/13/25 02:30:00 PM,28.320,,,,,
13,10/13/25 03:00:00 PM,28.320,,,,,
14,10/13/25 03:30:00 PM,28.345,,,,,
15,10/13/25 04:00:00 PM,28.320,,,,,
16,10/13/25 04:30:00 PM,28.295,,,,,
17,10/13/25 05:00:00 PM,28.196,,,,,
18,10/13/25 05:30:00 PM,28.147,,,,,
19,10/13/25 06:00:00 PM,28.196,,,,,
20,10/13/25 06:30:00 PM,28.196,,,,,
21,10/13/25 07:00:00 PM,28.221,,,,,
22,10/13/25 07:30:00 PM,28.221,,,,,
23,10/13/25 08:00:00 PM,28.221,,,,,
24,10/13/25 08:30:00 PM,28.221,,,,,
25,10/13/25 09:00:00 PM,28.221,,,,,
26,10/13/25 09:30:00 PM,28.245,,,,,
27,10/13/25 10:00:00 PM,28.122,,,,,
28,10/13/25 10:30:00 PM,28.048,,,,,
29,10/13/25 11:00:00 PM,28.023,,,,,
30,10/13/25 11:30:00 PM,27.998,,,,,
31,10/14/25 12:00:00 AM,27.974,,,,,
32,10/14/25 12:30:00 AM,27.949,,,,,
33,10/14/25 01:00:00 AM,27.924,,,,,
34,10/14/25 01:30:00 AM,27.924,,,,,
35,10/14/25 02:00:00 AM,27.924,,,,,
36,10/14/25 02:30:00 AM,27.899,,,,,
37,10/14/25 03:00:00 AM,27.850,,,,,
38,10/14/25 03:30:00 AM,27.825,,,,,
39,10/14/25 04:00:00 AM,27.801,,,,,
40,10/14/25 04:30:00 AM,27.751,,,,,
41,10/14/25 05:00:00 AM,27.727,,,,,
42,10/14/25 05:30:00 AM,27.677,,,,,
43,10/14/25 06:00:00 AM,27.653,,,,,
44,10/14/25 06:30:00 AM,27.751,,,,,
45,10/14/25 07:00:00 AM,27.751,,,,,
46,10/14/25 07:30:00 AM,27.653,,,,,
47,10/14/25 08:00:00 AM,27.677,,,,,
48,10/14/25 08:30:00 AM,27.653,,,,,
49,10/14/25 09:00:00 AM,27.677,,,,,
50,10/14/25 09:30:00 AM,27.727,,,,,
51,10/14/25 10:00:00 AM,27.875,,,,,
52,10/14/25 10:30:00 AM,27.974,,,,,
53,10/14/25 11:00:00 AM,28.097,,,,,
54,10/14/25 11:30:00 AM,28.048,,,,,
55,10/14/25 12:00:00 PM,28.023,,,,,
56,10/14/25 12:30:00 PM,28.023,,,,,
57,10/14/25 01:00:00 PM,28.023,,,,,
58,10/14/25 01:30:00 PM,27.998,,,,,
59,10/14/25 02:00:00 PM,28.072,,,,,
60,10/14/25 02:30:00 PM,28.072,,,,,
61,10/14/25 03:00:00 PM,28.097,,,,,
62,10/14/25 03:30:00 PM,28.147,,,,,
63,10/14/25 04:00:00 PM,28.122,,,,,
64,10/14/25 04:30:00 PM,28.147,,,,,
65,10/14/25 05:00:00 PM,28.122,,,,,
66,10/14/25 05:30:00 PM,28.147,,,,,
67,10/14/25 06:00:00 PM,28.122,,,,,
68,10/14/25 06:30:00 PM,28.097,,,,,
69,10/14/25 07:00:00 PM,28.072,,,,,
70,10/14/25 07:30:00 PM,27.998,,,,,
71,10/14/25 08:00:00 PM,27.899,,,,,
72,10/14/25 08:30:00 PM,27.825,,,,,
73,10/14/25 09:00:00 PM,27.727,,,,,
74,10/14/25 09:30:00 PM,27.653,,,,,
75,10/14/25 10:00:00 PM,27.579,,,,,
76,10/14/25 10:30:00 PM,27.530,,,,,
77,10/14/25 11:00:00 PM,27.505,,,,,
78,10/14/25 11:30:00 PM,27.505,,,,,
79,10/15/25 12:00:00 AM,27.481,,,,,
80,10/15/25 12:30:00 AM,27.456,,,,,
81,10/15/25 01:00:00 AM,27.456,,,,,
82,10/15/25 01:30:00 AM,27.431,,,,,
83,10/15/25 02:00:00 AM,27.382,,,,,
84,10/15/25 02:30:00 AM,27.358,,,,,
85,10/15/25 03:00:00 AM,27.333,,,,,
86,10/15/25 03:30:00 AM,27.308,,,,,
87,10/15/25 04:00:00 AM,27.259,,,,,
88,10/15/25 04:30:00 AM,27.259,,,,,
89,10/15/25 05:00:00 AM,27.259,,,,,
90,10/15/25 05:30:00 AM,27.186,,,,,
91,10/15/25 06:00:00 AM,27.186,,,,,
92,10/15/25 06:30:00 AM,27.210,,,,,
93,10/15/25 07:00:00 AM,27.210,,,,,
94,10/15/25 07:30:00 AM,27.186,,,,,
95,10/15/25 08:00:00 AM,27.112,,,,,
96,10/15/25 08:30:00 AM,27.087,,,,,
97,10/15/25 09:00:00 AM,27.136,,,,,
98,10/15/25 09:30:00 AM,27.186,,,,,
99,10/15/25 10:00:00 AM,27.284,,,,,
100,10/15/25 10:30:00 AM,27.382,,,,,
101,10/15/25 11:00:00 AM,27.358,,,,,
102,10/15/25 11:30:00 AM,27.382,,,,,
103,10/15/25 12:00:00 PM,27.407,,,,,
104,10/15/25 12:30:00 PM,27.530,,,,,
105,10/15/25 01:00:00 PM,27.677,,,,,
106,10/15/25 01:30:00 PM,27.825,,,,,
107,10/15/25 02:00:00 PM,27.825,,,,,
108,10/15/25 02:30:00 PM,27.751,,,,,
109,10/15/25 03:00:00 PM,27.825,,,,,
110,10/15/25 03:30:00 PM,27.776,,,,,
111,10/15/25 04:00:00 PM,27.825,,,,,
112,10/15/25 04:30:00 PM,27.850,,,,,
113,10/15/25 05:00:00 PM,27.850,,,,,
114,10/15/25 05:30:00 PM,27.825,,,,,
115,10/15/25 06:00:00 PM,27.751,,,,,
116,10/15/25 06:30:00 PM,27.702,,,,,
117,10/15/25 07:00:00 PM,27.653,,,,,
118,10/15/25 07:30:00 PM,27.579,,,,,
119,10/15/25 08:00:00 PM,27.530,,,,,
120,10/15/25 08:30:00 PM,27.481,,,,,
