"Plot Title: 21152009"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 21152009, SEN S/N: 21152009, LBL: u22_1)","Coupler Detached (LGR S/N: 21152009)","Coupler Attached (LGR S/N: 21152009)","Host Connected (LGR S/N: 21152009)","Stopped (LGR S/N: 21152009)","End Of File (LGR S/N: 21152009)"
1,05/07/25 06:00:00 PM,25.525,Logged,,,,
2,05/07/25 06:30:00 PM,25.671,,,,,
3,05/07/25 07:00:00 PM,25.453,,,,,
4,05/07/25 07:30:00 PM,25.234,,,,,
5,05/07/25 08:00:00 PM,24.992,,,,,
6,05/07/25 08:30:00 PM,24.992,,,,,
7,05/07/25 09:00:00 PM,24.992,,,,,
8,05/07/25 09:30:00 PM,25.065,,,,,
9,05/07/25 10:00:00 PM,24.968,,,,,
10,05/07/25 10:30:00 PM,24.774,,,,,
11,05/07/25 11:00:00 PM,24.677,,,,,
12,05/07/25 11:30:00 PM,24.581,,,,,
13,05/08/25 12:00:00 AM,24.629,,,,,
14,05/08/25 12:30:00 AM,24.532,,,,,
15,05/08/25 01:00:00 AM,24.508,,,,,
16,05/08/25 01:30:00 AM,24.484,,,,,
17,05/08/25 02:00:00 AM,24.363,,,,,
18,05/08/25 02:30:00 AM,24.363,,,,,
19,05/08/25 03:00:00 AM,23.930,,,,,
20,05/08/25 03:30:00 AM,23.713,,,,,
21,05/08/25 04:00:00 AM,23.785,,,,,
22,05/08/25 04:30:00 AM,23.833,,,,,
23,05/08/25 05:00:00 AM,23.713,,,,,
24,05/08/25 05:30:00 AM,23.617,,,,,
25,05/08/25 06:00:00 AM,23.617,,,,,
26,05/08/25 06:30:00 AM,23.617,,,,,
27,05/08/25 07:00:00 AM,23.905,,,,,
28,05/08/25 07:30:00 AM,25.089,,,,,
29,05/08/25 08:00:00 AM,25.817,,,,,
30,05/08/25 08:30:00 AM,26.036,,,,,
31,05/08/25 09:00:00 AM,26.891,,,,,
32,05/08/25 09:30:00 AM,26.769,,,,,
33,05/08/25 10:00:00 AM,26.207,,,,,
34,05/08/25 10:30:00 AM,26.378,,,,,
35,05/08/25 11:00:00 AM,26.842,,,,,
36,05/08/25 11:30:00 AM,26.598,,,,,
37,05/08/25 12:00:00 PM,27.112,,,,,
38,05/08/25 12:30:00 PM,28.617,,,,,
39,05/08/25 01:00:00 PM,28.617,,,,,
40,05/08/25 01:30:00 PM,27.063,,,,,
41,05/08/25 02:00:00 PM,27.038,,,,,
42,05/08/25 02:30:00 PM,26.646,,,,,
43,05/08/25 03:00:00 PM,26.793,,,,,
44,05/08/25 03:30:00 PM,25.671,,,,,
45,05/08/25 04:00:00 PM,26.304,,,,,
46,05/08/25 04:30:00 PM,27.210,,,,,
47,05/08/25 05:00:00 PM,26.818,,,,,
48,05/08/25 05:30:00 PM,27.653,,,,,
49,05/08/25 06:00:00 PM,27.161,,,,,
50,05/08/25 06:30:00 PM,26.744,,,,,
51,05/08/25 07:00:00 PM,26.353,,,,,
52,05/08/25 07:30:00 PM,25.720,,,,,
53,05/08/25 08:00:00 PM,25.453,,,,,
54,05/08/25 08:30:00 PM,25.380,,,,,
55,05/08/25 09:00:00 PM,25.380,,,,,
56,05/08/25 09:30:00 PM,25.040,,,,,
57,05/08/25 10:00:00 PM,24.557,,,,,
58,05/08/25 10:30:00 PM,24.219,,,,,
59,05/08/25 11:00:00 PM,24.026,,,,,
60,05/08/25 11:30:00 PM,23.857,,,,,
61,05/09/25 12:00:00 AM,23.833,,,,,
62,05/09/25 12:30:00 AM,23.713,,,,,
63,05/09/25 01:00:00 AM,23.617,,,,,
64,05/09/25 01:30:00 AM,23.617,,,,,
65,05/09/25 02:00:00 AM,23.641,,,,,
66,05/09/25 02:30:00 AM,23.665,,,,,
67,05/09/25 03:00:00 AM,23.761,,,,,
68,05/09/25 03:30:00 AM,23.833,,,,,
69,05/09/25 04:00:00 AM,23.857,,,,,
70,05/09/25 04:30:00 AM,23.785,,,,,
71,05/09/25 05:00:00 AM,23.785,,,,,
72,05/09/25 05:30:00 AM,23.665,,,,,
73,05/09/25 06:00:00 AM,23.713,,,,,
74,05/09/25 06:30:00 AM,23.905,,,,,
75,05/09/25 07:00:00 AM,24.750,,,,,
76,05/09/25 07:30:00 AM,25.355,,,,,
77,05/09/25 08:00:00 AM,26.182,,,,,
78,05/09/25 08:30:00 AM,27.186,,,,,
79,05/09/25 09:00:00 AM,28.345,,,,,
80,05/09/25 09:30:00 AM,29.565,,,,,
81,05/09/25 10:00:00 AM,30.469,,,,,
82,05/09/25 10:30:00 AM,31.382,,,,,
83,05/09/25 11:00:00 AM,31.561,,,,,
84,05/09/25 11:30:00 AM,31.740,,,,,
85,05/09/25 12:00:00 PM,32.175,,,,,
86,05/09/25 12:30:00 PM,32.458,,,,,
87,05/09/25 01:00:00 PM,32.872,,,,,
88,05/09/25 01:30:00 PM,32.949,,,,,
89,05/09/25 02:00:00 PM,33.001,,,,,
90,05/09/25 02:30:00 PM,31.663,,,,,
91,05/09/25 03:00:00 PM,30.343,,,,,
92,05/09/25 03:30:00 PM,28.916,,,,,
93,05/09/25 04:00:00 PM,28.122,,,,,
94,05/09/25 04:30:00 PM,27.677,,,,,
95,05/09/25 05:00:00 PM,27.407,,,,,
96,05/09/25 05:30:00 PM,27.210,,,,,
97,05/09/25 06:00:00 PM,26.940,,,,,
98,05/09/25 06:30:00 PM,26.598,,,,,
99,05/09/25 07:00:00 PM,26.280,,,,,
100,05/09/25 07:30:00 PM,26.036,,,,,
101,05/09/25 08:00:00 PM,25.841,,,,,
102,05/09/25 08:30:00 PM,25.695,,,,,
103,05/09/25 09:00:00 PM,25.574,,,,,
104,05/09/25 09:30:00 PM,25.453,,,,,
105,05/09/25 10:00:00 PM,25.331,,,,,
106,05/09/25 10:30:00 PM,25.307,,,,,
107,05/09/25 11:00:00 PM,25.210,,,,,
108,05/09/25 11:30:00 PM,25.137,,,,,
109,05/10/25 12:00:00 AM,25.065,,,,,
110,05/10/25 12:30:00 AM,24.992,,,,,
111,05/10/25 01:00:00 AM,24.919,,,,,
112,05/10/25 01:30:00 AM,24.847,,,,,
113,05/10/25 02:00:00 AM,24.847,,,,,
114,05/10/25 02:30:00 AM,24.774,,,,,
115,05/10/25 03:00:00 AM,24.750,,,,,
116,05/10/25 03:30:00 AM,24.677,,,,,
117,05/10/25 04:00:00 AM,24.653,,,,,
118,05/10/25 04:30:00 AM,24.653,,,,,
119,05/10/25 05:00:00 AM,24.629,,,,,
120,05/10/25 05:30:00 AM,24.484,,,,,
121,05/10/25 06:00:00 AM,24.388,,,,,
122,05/10/25 06:30:00 AM,24.388,,,,,
123,05/10/25 07:00:00 AM,24.532,,,,,
124,05/10/25 07:30:00 AM,24.944,,,,,
125,05/10/25 08:00:00 AM,25.428,,,,,
126,05/10/25 08:30:00 AM,26.085,,,,,
127,05/10/25 09:00:00 AM,26.867,,,,,
128,05/10/25 09:30:00 AM,27.628,,,,,
129,05/10/25 10:00:00 AM,28.270,,,,,
130,05/10/25 10:30:00 AM,28.593,,,,,
131,05/10/25 11:00:00 AM,28.990,,,,,
132,05/10/25 11:30:00 AM,29.240,,,,,
133,05/10/25 12:00:00 PM,29.490,,,,,
134,05/10/25 12:30:00 PM,29.590,,,,,
135,05/10/25 01:00:00 PM,29.540,,,,,
136,05/10/25 01:30:00 PM,29.265,,,,,
137,05/10/25 02:00:00 PM,29.015,,,,,
138,05/10/25 02:30:00 PM,28.692,,,,,
139,05/10/25 03:00:00 PM,28.419,,,,,
140,05/10/25 03:30:00 PM,28.023,,,,,
141,05/10/25 04:00:00 PM,27.702,,,,,
142,05/10/25 04:30:00 PM,27.358,,,,,
143,05/10/25 05:00:00 PM,26.965,,,,,
144,05/10/25 05:30:00 PM,26.695,,,,,
145,05/10/25 06:00:00 PM,26.256,,,,,
146,05/10/25 06:30:00 PM,25.793,,,,,
147,05/10/25 07:00:00 PM,25.331,,,,,
148,05/10/25 07:30:00 PM,25.210,,,,,
149,05/10/25 08:00:00 PM,25.234,,,,,
150,05/10/25 08:30:00 PM,25.283,,,,,
151,05/10/25 09:00:00 PM,25.331,,,,,
152,05/10/25 09:30:00 PM,25.210,,,,,
153,05/10/25 10:00:00 PM,25.089,,,,,
154,05/10/25 10:30:00 PM,25.065,,,,,
155,05/10/25 11:00:00 PM,24.968,,,,,
156,05/10/25 11:30:00 PM,24.944,,,,,
157,05/11/25 12:00:00 AM,24.944,,,,,
158,05/11/25 12:30:00 AM,24.895,,,,,
159,05/11/25 01:00:00 AM,24.847,,,,,
160,05/11/25 01:30:00 AM,24.774,,,,,
161,05/11/25 02:00:00 AM,24.702,,,,,
162,05/11/25 02:30:00 AM,24.557,,,,,
163,05/11/25 03:00:00 AM,24.508,,,,,
164,05/11/25 03:30:00 AM,24.508,,,,,
165,05/11/25 04:00:00 AM,24.508,,,,,
166,05/11/25 04:30:00 AM,24.436,,,,,
167,05/11/25 05:00:00 AM,24.363,,,,,
168,05/11/25 05:30:00 AM,24.339,,,,,
169,05/11/25 06:00:00 AM,24.363,,,,,
170,05/11/25 06:30:00 AM,24.388,,,,,
171,05/11/25 07:00:00 AM,24.605,,,,,
172,05/11/25 07:30:00 AM,25.162,,,,,
173,05/11/25 08:00:00 AM,25.695,,,,,
174,05/11/25 08:30:00 AM,26.085,,,,,
175,05/11/25 09:00:00 AM,26.598,,,,,
176,05/11/25 09:30:00 AM,27.308,,,,,
177,05/11/25 10:00:00 AM,27.776,,,,,
178,05/11/25 10:30:00 AM,27.974,,,,,
179,05/11/25 11:00:00 AM,27.998,,,,,
180,05/11/25 11:30:00 AM,28.221,,,,,
181,05/11/25 12:00:00 PM,28.444,,,,,
182,05/11/25 12:30:00 PM,28.742,,,,,
183,05/11/25 01:00:00 PM,29.040,,,,,
184,05/11/25 01:30:00 PM,28.568,,,,,
185,05/11/25 02:00:00 PM,28.320,,,,,
186,05/11/25 02:30:00 PM,28.221,,,,,
187,05/11/25 03:00:00 PM,28.072,,,,,
188,05/11/25 03:30:00 PM,27.924,,,,,
189,05/11/25 04:00:00 PM,27.751,,,,,
190,05/11/25 04:30:00 PM,27.604,,,,,
191,05/11/25 05:00:00 PM,27.505,,,,,
192,05/11/25 05:30:00 PM,27.407,,,,,
193,05/11/25 06:00:00 PM,27.259,,,,,
194,05/11/25 06:30:00 PM,27.087,,,,,
195,05/11/25 07:00:00 PM,26.940,,,,,
196,05/11/25 07:30:00 PM,26.769,,,,,
197,05/11/25 08:00:00 PM,26.598,,,,,
198,05/11/25 08:30:00 PM,26.451,,,,,
199,05/11/25 09:00:00 PM,26.304,,,,,
200,05/11/25 09:30:00 PM,26.158,,,,,
201,05/11/25 10:00:00 PM,26.012,,,,,
202,05/11/25 10:30:00 PM,25.890,,,,,
203,05/11/25 11:00:00 PM,25.768,,,,,
204,05/11/25 11:30:00 PM,25.671,,,,,
205,05/12/25 12:00:00 AM,25.574,,,,,
206,05/12/25 12:30:00 AM,25.477,,,,,
207,05/12/25 01:00:00 AM,25.404,,,,,
208,05/12/25 01:30:00 AM,25.307,,,,,
209,05/12/25 02:00:00 AM,25.258,,,,,
210,05/12/25 02:30:00 AM,25.210,,,,,
211,05/12/25 03:00:00 AM,25.137,,,,,
212,05/12/25 03:30:00 AM,25.089,,,,,
213,05/12/25 04:00:00 AM,25.040,,,,,
214,05/12/25 04:30:00 AM,24.992,,,,,
215,05/12/25 05:00:00 AM,24.968,,,,,
216,05/12/25 05:30:00 AM,24.944,,,,,
217,05/12/25 06:00:00 AM,24.895,,,,,
218,05/12/25 06:30:00 AM,24.847,,,,,
219,05/12/25 07:00:00 AM,24.823,,,,,
220,05/12/25 07:30:00 AM,24.847,,,,,
221,05/12/25 08:00:00 AM,24.919,,,,,
222,05/12/25 08:30:00 AM,25.089,,,,,
223,05/12/25 09:00:00 AM,25.234,,,,,
