Date,"Time, GMT-10:00","Temp, °C"
19-09-23,12:00:00,27.112
19-09-23,12:30:00,27.161
19-09-23,13:00:00,27.136
19-09-23,13:30:00,27.161
19-09-23,14:00:00,27.136
19-09-23,14:30:00,27.161
19-09-23,15:00:00,27.186
19-09-23,15:30:00,27.186
19-09-23,16:00:00,27.186
19-09-23,16:30:00,27.21
19-09-23,17:00:00,27.235
19-09-23,17:30:00,27.235
19-09-23,18:00:00,27.456
19-09-23,18:30:00,27.407
19-09-23,19:00:00,27.333
19-09-23,19:30:00,27.259
19-09-23,20:00:00,27.259
19-09-23,20:30:00,27.21
19-09-23,21:00:00,27.161
19-09-23,21:30:00,27.112
19-09-23,22:00:00,27.063
19-09-23,22:30:00,27.014
19-09-23,23:00:00,26.94
19-09-23,23:30:00,26.891
20-09-23,0:00:00,26.842
20-09-23,0:30:00,26.769
20-09-23,1:00:00,26.744
20-09-23,1:30:00,26.72
20-09-23,2:00:00,26.671
20-09-23,2:30:00,26.598
20-09-23,3:00:00,26.573
20-09-23,3:30:00,26.598
20-09-23,4:00:00,26.646
20-09-23,4:30:00,26.622
20-09-23,5:00:00,26.598
20-09-23,5:30:00,26.573
20-09-23,6:00:00,26.622
20-09-23,6:30:00,26.72
20-09-23,7:00:00,26.793
20-09-23,7:30:00,26.891
20-09-23,8:00:00,26.891
20-09-23,8:30:00,26.94
20-09-23,9:00:00,26.965
20-09-23,9:30:00,26.965
20-09-23,10:00:00,26.989
20-09-23,10:30:00,26.989
20-09-23,11:00:00,26.989
20-09-23,11:30:00,27.014
20-09-23,12:00:00,26.989
20-09-23,12:30:00,27.063
20-09-23,13:00:00,27.014
20-09-23,13:30:00,27.038
20-09-23,14:00:00,27.038
20-09-23,14:30:00,27.038
20-09-23,15:00:00,27.038
20-09-23,15:30:00,27.038
20-09-23,16:00:00,27.087
20-09-23,16:30:00,27.063
20-09-23,17:00:00,27.087
20-09-23,17:30:00,27.087
20-09-23,18:00:00,27.136
20-09-23,18:30:00,27.038
20-09-23,19:00:00,27.21
20-09-23,19:30:00,27.21
20-09-23,20:00:00,27.21
20-09-23,20:30:00,27.136
20-09-23,21:00:00,27.112
20-09-23,21:30:00,27.038
20-09-23,22:00:00,26.965
20-09-23,22:30:00,26.891
20-09-23,23:00:00,26.793
20-09-23,23:30:00,26.72
21-09-23,0:00:00,26.72
21-09-23,0:30:00,26.671
21-09-23,1:00:00,26.598
21-09-23,1:30:00,26.573
21-09-23,2:00:00,26.549
21-09-23,2:30:00,26.573
21-09-23,3:00:00,26.671
21-09-23,3:30:00,26.769
21-09-23,4:00:00,26.818
21-09-23,4:30:00,26.793
21-09-23,5:00:00,26.695
21-09-23,5:30:00,26.622
21-09-23,6:00:00,26.573
21-09-23,6:30:00,26.573
21-09-23,7:00:00,26.598
21-09-23,7:30:00,26.646
21-09-23,8:00:00,26.622
21-09-23,8:30:00,26.646
21-09-23,9:00:00,26.671
21-09-23,9:30:00,26.695
21-09-23,10:00:00,26.744
21-09-23,10:30:00,26.744
21-09-23,11:00:00,26.818
21-09-23,11:30:00,26.867
21-09-23,12:00:00,26.867
21-09-23,12:30:00,26.916
21-09-23,13:00:00,26.965
21-09-23,13:30:00,26.94
21-09-23,14:00:00,26.94
21-09-23,14:30:00,27.014
21-09-23,15:00:00,26.989
21-09-23,15:30:00,26.989
21-09-23,16:00:00,26.94
21-09-23,16:30:00,26.989
21-09-23,17:00:00,26.891
21-09-23,17:30:00,26.916
21-09-23,18:00:00,26.867
21-09-23,18:30:00,26.842
21-09-23,19:00:00,26.793
21-09-23,19:30:00,26.793
21-09-23,20:00:00,26.744
21-09-23,20:30:00,26.769
21-09-23,21:00:00,26.744
21-09-23,21:30:00,26.769
21-09-23,22:00:00,26.793
21-09-23,22:30:00,26.744
21-09-23,23:00:00,26.793
21-09-23,23:30:00,26.842
22-09-23,0:00:00,26.842
22-09-23,0:30:00,26.842
22-09-23,1:00:00,26.793
22-09-23,1:30:00,26.72
22-09-23,2:00:00,26.695
22-09-23,2:30:00,26.695
22-09-23,3:00:00,26.598
22-09-23,3:30:00,26.5
22-09-23,4:00:00,26.475
22-09-23,4:30:00,26.451
22-09-23,5:00:00,26.451
22-09-23,5:30:00,26.451
22-09-23,6:00:00,26.402
22-09-23,6:30:00,26.378
22-09-23,7:00:00,26.28
22-09-23,7:30:00,26.304
22-09-23,8:00:00,26.28
22-09-23,8:30:00,26.329
22-09-23,9:00:00,26.353
22-09-23,9:30:00,26.378
22-09-23,10:00:00,26.402
22-09-23,10:30:00,26.402
22-09-23,11:00:00,26.475
22-09-23,11:30:00,26.5
22-09-23,12:00:00,26.549
22-09-23,12:30:00,26.622
22-09-23,13:00:00,26.646
22-09-23,13:30:00,26.695
22-09-23,14:00:00,26.744
22-09-23,14:30:00,26.793
22-09-23,15:00:00,26.793
22-09-23,15:30:00,26.818
22-09-23,16:00:00,26.769
22-09-23,16:30:00,26.769
22-09-23,17:00:00,26.793
22-09-23,17:30:00,26.695
22-09-23,18:00:00,26.769
22-09-23,18:30:00,26.695
22-09-23,19:00:00,26.646
22-09-23,19:30:00,26.622
22-09-23,20:00:00,26.622
22-09-23,20:30:00,26.622
22-09-23,21:00:00,26.549
22-09-23,21:30:00,26.451
22-09-23,22:00:00,26.451
22-09-23,22:30:00,26.426
22-09-23,23:00:00,26.451
22-09-23,23:30:00,26.573
23-09-23,0:00:00,26.622
23-09-23,0:30:00,26.622
23-09-23,1:00:00,26.598
23-09-23,1:30:00,26.549
23-09-23,2:00:00,26.549
23-09-23,2:30:00,26.524
23-09-23,3:00:00,26.475
23-09-23,3:30:00,26.402
23-09-23,4:00:00,26.304
23-09-23,4:30:00,26.28
23-09-23,5:00:00,26.231
23-09-23,5:30:00,26.158
23-09-23,6:00:00,26.109
23-09-23,6:30:00,26.085
23-09-23,7:00:00,26.109
23-09-23,7:30:00,26.182
23-09-23,8:00:00,26.28
23-09-23,8:30:00,26.329
23-09-23,9:00:00,26.402
23-09-23,9:30:00,26.451
23-09-23,10:00:00,26.402
23-09-23,10:30:00,26.402
23-09-23,11:00:00,26.451
23-09-23,11:30:00,26.524
23-09-23,12:00:00,26.524
23-09-23,12:30:00,26.451
23-09-23,13:00:00,26.426
23-09-23,13:30:00,26.573
23-09-23,14:00:00,26.646
23-09-23,14:30:00,26.646
23-09-23,15:00:00,26.695
23-09-23,15:30:00,26.72
23-09-23,16:00:00,26.744
23-09-23,16:30:00,26.744
23-09-23,17:00:00,26.72
23-09-23,17:30:00,26.598
23-09-23,18:00:00,26.598
23-09-23,18:30:00,26.598
23-09-23,19:00:00,26.524
23-09-23,19:30:00,26.475
23-09-23,20:00:00,26.402
23-09-23,20:30:00,26.378
23-09-23,21:00:00,26.353
23-09-23,21:30:00,26.304
23-09-23,22:00:00,26.256
23-09-23,22:30:00,26.231
23-09-23,23:00:00,26.207
23-09-23,23:30:00,26.207
24-09-23,0:00:00,26.231
24-09-23,0:30:00,26.256
24-09-23,1:00:00,26.256
24-09-23,1:30:00,26.256
24-09-23,2:00:00,26.207
24-09-23,2:30:00,26.207
24-09-23,3:00:00,26.231
24-09-23,3:30:00,26.256
24-09-23,4:00:00,26.256
24-09-23,4:30:00,26.256
24-09-23,5:00:00,26.231
24-09-23,5:30:00,26.231
24-09-23,6:00:00,26.207
24-09-23,6:30:00,26.207
24-09-23,7:00:00,26.231
24-09-23,7:30:00,26.256
24-09-23,8:00:00,26.256
24-09-23,8:30:00,26.28
24-09-23,9:00:00,26.304
24-09-23,9:30:00,26.256
24-09-23,10:00:00,26.256
24-09-23,10:30:00,26.28
24-09-23,11:00:00,26.304
24-09-23,11:30:00,26.353
24-09-23,12:00:00,26.402
24-09-23,12:30:00,26.378
24-09-23,13:00:00,26.426
24-09-23,13:30:00,26.451
24-09-23,14:00:00,26.426
24-09-23,14:30:00,26.475
24-09-23,15:00:00,26.475
24-09-23,15:30:00,26.5
24-09-23,16:00:00,26.475
24-09-23,16:30:00,26.475
24-09-23,17:00:00,26.475
24-09-23,17:30:00,26.451
24-09-23,18:00:00,26.451
24-09-23,18:30:00,26.426
24-09-23,19:00:00,26.451
24-09-23,19:30:00,26.524
24-09-23,20:00:00,26.426
24-09-23,20:30:00,26.353
24-09-23,21:00:00,26.256
24-09-23,21:30:00,26.158
24-09-23,22:00:00,26.134
24-09-23,22:30:00,26.085
24-09-23,23:00:00,26.036
24-09-23,23:30:00,25.987
25-09-23,0:00:00,26.012
25-09-23,0:30:00,25.963
25-09-23,1:00:00,25.987
25-09-23,1:30:00,26.036
25-09-23,2:00:00,26.085
25-09-23,2:30:00,26.109
25-09-23,3:00:00,26.134
25-09-23,3:30:00,26.134
25-09-23,4:00:00,26.134
25-09-23,4:30:00,26.134
25-09-23,5:00:00,26.109
25-09-23,5:30:00,26.061
25-09-23,6:00:00,26.061
25-09-23,6:30:00,26.036
25-09-23,7:00:00,26.036
25-09-23,7:30:00,26.036
25-09-23,8:00:00,26.061
25-09-23,8:30:00,26.158
25-09-23,9:00:00,26.231
25-09-23,9:30:00,26.304
25-09-23,10:00:00,26.353
25-09-23,10:30:00,26.426
25-09-23,11:00:00,26.378
25-09-23,11:30:00,26.426
25-09-23,12:00:00,26.426
25-09-23,12:30:00,26.475
25-09-23,13:00:00,26.524
25-09-23,13:30:00,26.451
25-09-23,14:00:00,26.402
25-09-23,14:30:00,26.378
25-09-23,15:00:00,26.378
25-09-23,15:30:00,26.402
25-09-23,16:00:00,26.402
25-09-23,16:30:00,26.451
25-09-23,17:00:00,26.524
25-09-23,17:30:00,26.5
25-09-23,18:00:00,26.5
25-09-23,18:30:00,26.5
25-09-23,19:00:00,26.426
25-09-23,19:30:00,26.378
25-09-23,20:00:00,26.353
25-09-23,20:30:00,26.304
25-09-23,21:00:00,26.304
25-09-23,21:30:00,26.231
25-09-23,22:00:00,26.158
25-09-23,22:30:00,26.109
25-09-23,23:00:00,26.036
25-09-23,23:30:00,26.012
26-09-23,0:00:00,26.012
26-09-23,0:30:00,26.012
26-09-23,1:00:00,26.085
26-09-23,1:30:00,26.158
26-09-23,2:00:00,26.182
26-09-23,2:30:00,26.231
26-09-23,3:00:00,26.231
26-09-23,3:30:00,26.231
26-09-23,4:00:00,26.158
26-09-23,4:30:00,26.085
26-09-23,5:00:00,26.036
26-09-23,5:30:00,25.987
26-09-23,6:00:00,25.987
26-09-23,6:30:00,25.963
26-09-23,7:00:00,25.914
26-09-23,7:30:00,25.866
26-09-23,8:00:00,25.89
26-09-23,8:30:00,25.963
26-09-23,9:00:00,25.987
26-09-23,9:30:00,26.036
26-09-23,10:00:00,26.109
26-09-23,10:30:00,26.158
26-09-23,11:00:00,26.207
26-09-23,11:30:00,26.304
26-09-23,12:00:00,26.329
26-09-23,12:30:00,26.353
26-09-23,13:00:00,26.28
26-09-23,13:30:00,26.231
26-09-23,14:00:00,26.207
26-09-23,14:30:00,26.231
26-09-23,15:00:00,26.231
26-09-23,15:30:00,26.231
26-09-23,16:00:00,26.231
26-09-23,16:30:00,26.231
26-09-23,17:00:00,26.207
26-09-23,17:30:00,26.207
26-09-23,18:00:00,26.207
26-09-23,18:30:00,26.231
26-09-23,19:00:00,26.231
26-09-23,19:30:00,26.207
26-09-23,20:00:00,26.182
26-09-23,20:30:00,26.134
26-09-23,21:00:00,26.061
26-09-23,21:30:00,26.036
26-09-23,22:00:00,26.036
26-09-23,22:30:00,26.012
26-09-23,23:00:00,25.963
26-09-23,23:30:00,25.939
27-09-23,0:00:00,25.89
27-09-23,0:30:00,25.841
27-09-23,1:00:00,25.817
27-09-23,1:30:00,25.841
27-09-23,2:00:00,25.866
27-09-23,2:30:00,25.914
27-09-23,3:00:00,25.963
27-09-23,3:30:00,26.012
27-09-23,4:00:00,25.987
27-09-23,4:30:00,25.914
27-09-23,5:00:00,25.89
27-09-23,5:30:00,25.841
27-09-23,6:00:00,25.817
27-09-23,6:30:00,25.793
27-09-23,7:00:00,25.768
27-09-23,7:30:00,25.72
27-09-23,8:00:00,25.768
27-09-23,8:30:00,25.817
27-09-23,9:00:00,25.914
27-09-23,9:30:00,25.987
27-09-23,10:00:00,26.036
27-09-23,10:30:00,26.036
27-09-23,11:00:00,26.134
27-09-23,11:30:00,26.207
27-09-23,12:00:00,26.256
27-09-23,12:30:00,26.304
27-09-23,13:00:00,26.353
27-09-23,13:30:00,26.304
27-09-23,14:00:00,26.28
27-09-23,14:30:00,26.28
27-09-23,15:00:00,26.378
27-09-23,15:30:00,26.378
27-09-23,16:00:00,26.378
27-09-23,16:30:00,26.378
27-09-23,17:00:00,26.353
27-09-23,17:30:00,26.28
27-09-23,18:00:00,26.207
27-09-23,18:30:00,26.207
27-09-23,19:00:00,26.182
27-09-23,19:30:00,26.182
27-09-23,20:00:00,26.158
27-09-23,20:30:00,26.109
27-09-23,21:00:00,26.061
27-09-23,21:30:00,25.987
27-09-23,22:00:00,25.939
27-09-23,22:30:00,25.939
27-09-23,23:00:00,25.939
27-09-23,23:30:00,25.914
28-09-23,0:00:00,25.866
28-09-23,0:30:00,25.817
28-09-23,1:00:00,25.793
28-09-23,1:30:00,25.793
28-09-23,2:00:00,25.817
28-09-23,2:30:00,25.817
28-09-23,3:00:00,25.817
28-09-23,3:30:00,25.817
28-09-23,4:00:00,25.817
28-09-23,4:30:00,25.817
28-09-23,5:00:00,25.793
28-09-23,5:30:00,25.817
28-09-23,6:00:00,25.768
28-09-23,6:30:00,25.768
28-09-23,7:00:00,25.768
28-09-23,7:30:00,25.793
28-09-23,8:00:00,25.793
28-09-23,8:30:00,25.841
28-09-23,9:00:00,25.89
28-09-23,9:30:00,25.987
28-09-23,10:00:00,26.036
28-09-23,10:30:00,26.085
28-09-23,11:00:00,26.085
28-09-23,11:30:00,26.182
28-09-23,12:00:00,26.256
28-09-23,12:30:00,26.256
28-09-23,13:00:00,26.28
28-09-23,13:30:00,26.134
28-09-23,14:00:00,26.109
28-09-23,14:30:00,26.158
28-09-23,15:00:00,26.134
28-09-23,15:30:00,26.231
28-09-23,16:00:00,26.231
28-09-23,16:30:00,26.207
28-09-23,17:00:00,26.256
28-09-23,17:30:00,26.134
28-09-23,18:00:00,26.109
28-09-23,18:30:00,26.158
28-09-23,19:00:00,26.182
28-09-23,19:30:00,26.158
28-09-23,20:00:00,26.158
28-09-23,20:30:00,26.158
28-09-23,21:00:00,26.134
28-09-23,21:30:00,26.134
28-09-23,22:00:00,26.109
28-09-23,22:30:00,26.085
28-09-23,23:00:00,26.109
28-09-23,23:30:00,26.061
29-09-23,0:00:00,25.987
29-09-23,0:30:00,25.963
29-09-23,1:00:00,25.987
29-09-23,1:30:00,26.036
29-09-23,2:00:00,26.109
29-09-23,2:30:00,26.182
29-09-23,3:00:00,26.158
29-09-23,3:30:00,26.158
29-09-23,4:00:00,26.109
29-09-23,4:30:00,26.134
29-09-23,5:00:00,26.134
29-09-23,5:30:00,26.134
29-09-23,6:00:00,26.158
29-09-23,6:30:00,26.109
29-09-23,7:00:00,26.109
29-09-23,7:30:00,26.134
29-09-23,8:00:00,26.158
29-09-23,8:30:00,26.182
29-09-23,9:00:00,26.182
29-09-23,9:30:00,26.182
29-09-23,10:00:00,26.207
29-09-23,10:30:00,26.207
29-09-23,11:00:00,26.231
29-09-23,11:30:00,26.256
29-09-23,12:00:00,26.231
29-09-23,12:30:00,26.28
29-09-23,13:00:00,26.207
29-09-23,13:30:00,26.231
29-09-23,14:00:00,26.207
29-09-23,14:30:00,26.207
29-09-23,15:00:00,26.207
29-09-23,15:30:00,26.207
29-09-23,16:00:00,26.207
29-09-23,16:30:00,26.207
29-09-23,17:00:00,26.231
29-09-23,17:30:00,26.207
29-09-23,18:00:00,26.256
29-09-23,18:30:00,26.231
29-09-23,19:00:00,26.207
29-09-23,19:30:00,26.207
29-09-23,20:00:00,26.231
29-09-23,20:30:00,26.256
29-09-23,21:00:00,26.231
29-09-23,21:30:00,26.207
29-09-23,22:00:00,26.207
29-09-23,22:30:00,26.207
29-09-23,23:00:00,26.207
29-09-23,23:30:00,26.158
30-09-23,0:00:00,26.158
30-09-23,0:30:00,26.158
30-09-23,1:00:00,26.158
30-09-23,1:30:00,26.158
30-09-23,2:00:00,26.182
30-09-23,2:30:00,26.256
30-09-23,3:00:00,26.28
30-09-23,3:30:00,26.28
30-09-23,4:00:00,26.256
30-09-23,4:30:00,26.231
30-09-23,5:00:00,26.231
30-09-23,5:30:00,26.256
30-09-23,6:00:00,26.256
30-09-23,6:30:00,26.207
30-09-23,7:00:00,26.158
30-09-23,7:30:00,26.134
30-09-23,8:00:00,26.134
30-09-23,8:30:00,26.182
30-09-23,9:00:00,26.256
30-09-23,9:30:00,26.256
30-09-23,10:00:00,26.28
30-09-23,10:30:00,26.28
30-09-23,11:00:00,26.304
30-09-23,11:30:00,26.28
30-09-23,12:00:00,26.304
30-09-23,12:30:00,26.378
30-09-23,13:00:00,26.475
30-09-23,13:30:00,26.426
30-09-23,14:00:00,26.451
30-09-23,14:30:00,26.451
30-09-23,15:00:00,26.451
30-09-23,15:30:00,26.378
30-09-23,16:00:00,26.451
30-09-23,16:30:00,26.475
30-09-23,17:00:00,26.5
30-09-23,17:30:00,26.475
30-09-23,18:00:00,26.426
30-09-23,18:30:00,26.426
30-09-23,19:00:00,26.402
30-09-23,19:30:00,26.378
30-09-23,20:00:00,26.353
30-09-23,20:30:00,26.304
30-09-23,21:00:00,26.304
30-09-23,21:30:00,26.28
