Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Surface Area (m^2) by color category: 0,Surface Area (m^2) by color category: 1,Surface Area (m^2) by color category: 2,Surface Area (m^2) by color category: 3,Surface Area (m^2) by color category: 4,Surface Area (m^2) by color category: 5,Surface Area (m^2) by color category: 6,Surface Area (m^2) by color category: 7,Surface Area (m^2) by color category: 8,Surface Area (m^2) by color category: 9,Surface Area (m^2) by color category: 10,Surface Area (m^2) by color category: 11,Surface Area (m^2) by color category: 12,Surface Area (m^2) by color category: 13,Surface Area (m^2) by color category: 14,Surface Area (m^2) by color category: 15,Surface Area (m^2) by color category: 16,Surface Area (m^2) by color category: 17,Surface Area (m^2) by color category: 18,Surface Area (m^2) by color category: 19,Surface Area (m^2) by color category: 20,Surface Area (m^2) by color category: 21,Surface Area (m^2) by color category: 22,Surface Area (m^2) by color category: 23,Surface Area (m^2) by color category: 24,Surface Area (m^2) by color category: 25,Surface Area (m^2) by color category: 26,Surface Area (m^2) by color category: 27,Surface Area (m^2) by color category: 28,Surface Area (m^2) by color category: 29,Surface Area (m^2) by color category: 30,Surface Area (m^2) by color category: 31,Surface Area (m^2) by color category: 32,Surface Area (m^2) by color category: 33,Surface Area (m^2) by color category: 34,Surface Area (m^2) by color category: 35,Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240119_Phys_1,3D model (54698 faces),Mesh,24.16317003,5.079238906,4.37E-07,0,0,4.24E-05,0.000800885,9.72E-05,7.11E-05,1.45E-05,0,0,0,0,0,0,0,0,0,0,0,2.06E-05,0,0.000112322,0,6.33E-05,0,6.33E-05,4.25E-06,0,3.02E-05,0.00011001,0.000599118,1.83E-06,0.000213604,0.000156733,4.69E-06,9.80E-06,5.194452299,2.083442605,3.111009694,5.484079065,24.93117148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240119_Phys_2,3D model (57846 faces),Mesh,24.41382674,3.282349042,2.50E-06,0,0,5.95E-05,0.000480606,7.71E-05,5.55E-05,8.47E-06,5.86E-07,0,0,0,0,0,0,0,9.15E-07,0,3.65E-06,1.20E-05,0,0.000171901,0,5.94E-05,6.81E-08,5.29E-05,8.41E-06,1.06E-05,2.43E-05,0.00035289,0.000767339,9.21E-07,0.000158852,0.000110115,2.66E-06,2.02E-05,6.044127591,2.070858024,3.973269566,5.28738336,18.50818812
,,,24.41382674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240119_Phys_3,3D model (28194 faces),Mesh,13.92469729,2.520770985,4.77E-06,0,0,8.64E-05,0.000163264,2.17E-05,1.50E-05,4.20E-06,0,0,0,0,0,0,0,0,0,0,0,2.98E-05,0,0.000116534,0,3.12E-05,2.14E-07,2.06E-05,0,0,3.54E-05,0.000226494,0.00055084,2.73E-06,4.16E-05,4.11E-05,2.71E-07,3.59E-07,4.582430528,2.029950833,2.552479694,2.062295469,11.07911194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240119_Phys_4,3D model (46540 faces),Mesh,19.50035567,2.849798326,1.17E-06,1.77E-07,0,0.000408891,0.000314354,8.16E-06,1.25E-05,8.12E-06,4.76E-07,0,0,0,0,0,0,3.01E-06,1.49E-06,6.04E-07,0,0.000139831,6.86E-05,0.000267205,5.18E-07,8.97E-05,1.07E-05,4.44E-05,8.63E-06,4.86E-08,5.04E-05,0.000180876,0.000309476,0,8.43E-06,8.13E-06,1.57E-06,2.57E-06,5.417406646,2.085298216,3.33210843,4.098049844,12.80944935
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240119_Phys_12_correct_really,3D model (40666 faces),Mesh,22.73053391,5.477974727,0,0,0,8.35E-05,0.000592469,2.01E-05,7.88E-05,5.54E-05,0,3.89E-06,0,0,0,0,0,1.70E-06,3.39E-05,8.41E-06,1.84E-05,2.31E-05,5.15E-05,0.000284471,0,0.000197968,4.76E-05,0.000174923,8.67E-05,3.76E-05,1.30E-05,2.16E-05,0.00035833,7.29E-07,1.90E-05,3.42E-05,1.07E-06,2.46E-05,4.794275298,2.045916665,2.748358633,4.811584007,22.84333321
