Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3)
1_20250108,3D model (36780 faces),Mesh,12.939634722912883,2.630934199040111,4.652408404027458,2.4292968963988306,2.223111507628628,2.344546506003939,8.489125393668752
2_20250108,3D model (32506 faces),Mesh,17.547094087194907,4.2343055919521655,4.65440207940559,2.582893668027525,2.0715084113780646,4.042852167800581,12.161215381778838
3_20250108,3D model (15074 faces),Mesh,6.583136093818403,1.1588414423085631,4.311826741989936,2.412900649234038,1.8989260927558977,1.0514438010279015,3.2521909289593345
4_20250108,3D model (14398 faces),Mesh,9.66383269698415,1.6439413240828942,4.864776163684192,2.489773449803584,2.3750027138806082,1.9079818323342794,5.277858075464305
12_20250108,3D model (18078 faces),Mesh,8.38356776319244,1.3751959047665179,4.513748833966175,2.4765836675645025,2.037165166401672,1.5337536649844692,3.7252870221869694
19_20250108,3D model (42144 faces),Mesh,19.519432617258037,3.7205035015467103,5.878856365567869,2.4810343270363413,3.3978220385315283,4.035180598278177,19.871368211542055
20_20250108,3D model (23374 faces),Mesh,9.591847972170912,1.5076907974224607,4.533633657240932,2.52513469665106,2.008498960589872,1.8014160417427372,3.9943675947857336
26_20250108,3D model (39988 faces),Mesh,24.826333662456953,6.242205859908176,5.234500345649884,2.3864567634930554,2.848043582156828,8.036095251456786,24.79199640913947
27_20250108,3D model (39734 faces),Mesh,25.426517946077098,5.2650151457215655,6.058232624132243,2.5017651782163917,3.5564674459158505,7.411328163795737,26.308857843457826
28_20250108,3D model (33256 faces),Mesh,16.156031815309284,3.0277529468350264,5.780752050866422,2.4404884790093675,3.3402635718570552,3.8369493804043273,14.793162637289775
29_20250108,3D model (19972 faces),Mesh,10.228544522165196,1.8183188046537935,4.5755999688882945,2.4286690870463365,2.1469308818419575,2.379572215397786,4.894786144541474
43_20250108,3D model (17048 faces),Mesh,18.64981456008586,4.663109039093266,5.291071624152116,2.454585060802322,2.8364865633497938,5.416826309518426,18.59799571752937
44_20250108,3D model (18472 faces),Mesh,10.779923689854572,3.044447443558182,4.512444732181176,2.3367510001495564,2.175693732031619,2.038600767576206,10.26509339870847
