Date,Project,Colony_ID,Species,Phenotype,Run,Chamber,Chamber_Volume_mL,Surface_Area_cm2,Notes
2023-09-15,TCB,1,Montipora capitata,Susceptible,6,1,233,,
2023-09-15,TCB,201,Montipora capitata,Susceptible,6,2,240,,
2023-09-15,TCB,28,Porites compressa,Susceptible,6,3,237,,
2023-09-15,TCB,29,Porites compressa,Resistant,6,4,236,,
2023-09-15,TCB,2,Montipora capitata,Resistant,6,5,229,,
2023-09-15,TCB,12,Montipora capitata,Resistant,6,6,239,,
2023-09-15,TCB,225,Porites compressa,Susceptible,6,7,232,,
2023-09-15,TCB,4,Montipora capitata,Resistant,6,8,239,,
2023-09-15,TCB,226,Porites compressa,Resistant,6,9,232,,
2023-09-15,TCB,202,Montipora capitata,Resistant,6,10,237,,
2023-09-15,TCB,Hobo,NA,NA,6,11,NA,NA,
2023-09-16,TCB,20,Montipora capitata,Resistant,7,1,237,,
2023-09-16,TCB,43,Porites compressa,Susceptible,7,2,236,,
2023-09-16,TCB,207,Montipora capitata,Susceptible,7,3,238,,
2023-09-16,TCB,42,Porites compressa,Resistant,7,4,234,,
2023-09-16,TCB,205,Montipora capitata,Susceptible,7,5,239,,
2023-09-16,TCB,41,Porites compressa,Susceptible,7,6,235,,
2023-09-16,TCB,44,Porites compressa,Resistant,7,7,238,,
2023-09-16,TCB,3,Montipora capitata,Susceptible,7,8,240,,
2023-09-16,TCB,19,Montipora capitata,Susceptible,7,9,237,,
2023-09-16,TCB,plug conditioned,NA,NA,7,10,243,NA,
2023-09-16,TCB,Hobo,NA,NA,7,11,NA,NA,
2023-09-16,TCB,46,Porites compressa,Resistant,8,1,235,,
2023-09-16,TCB,214,Montipora capitata,Resistant,8,2,238,,
2023-09-16,TCB,243,Porites compressa,Susceptible,8,3,236,,
2023-09-16,TCB,219,Montipora capitata,Susceptible,8,4,235,,
2023-09-16,TCB,222,Montipora capitata,Resistant,8,5,240,,
2023-09-16,TCB,45,Porites compressa,Susceptible,8,6,236,,
2023-09-16,TCB,213,Montipora capitata,Susceptible,8,7,236,,
2023-09-16,TCB,244,Porites compressa,Resistant,8,8,239,,
2023-09-16,TCB,220,Montipora capitata,Resistant,8,9,237,,
2023-09-16,TCB,plug new w stem sleeve,NA,NA,8,10,241,NA,
2023-09-16,TCB,Hobo,NA,NA,8,11,NA,NA,
2023-09-17,TCB ,237,Porites compressa,Susceptible,9,1,238,,
2023-09-17,TCB ,203,Montipora capitata,Susceptible,9,2,236,,
2023-09-17,TCB ,241,Porites compressa,Susceptible,9,3,236,,
2023-09-17,TCB ,236,Porites compressa,Resistant,9,4,236,,
2023-09-17,TCB ,242,Porites compressa,Resistant,9,5,237,,
2023-09-17,TCB ,235,Porites compressa,Susceptible,9,6,237,,
2023-09-17,TCB ,211,Montipora capitata,Susceptible,9,7,236,,
2023-09-17,TCB ,212,Montipora capitata,Resistant,9,8,239,,
2023-09-17,TCB ,238,Porites compressa,Resistant,9,9,239,,
2023-09-17,TCB ,204,Montipora capitata,Resistant,9,10,238,,
2023-09-17,TCB ,Hobo,NA,NA,9,11,NA,NA,
2023-09-17,TCB ,240,Porites compressa,Resistant,10,1,239,,
2023-09-17,TCB ,26,Porites compressa,Susceptible,10,2,239,,
2023-09-17,TCB ,210,Montipora capitata,Resistant,10,3,237,,
2023-09-17,TCB ,27,Porites compressa,Resistant,10,4,234,,
2023-09-17,TCB ,248,Porites compressa,Resistant,10,5,236,,
2023-09-17,TCB ,209,Montipora capitata,Susceptible,10,6,237,,
2023-09-17,TCB ,247,Porites compressa,Susceptible,10,7,235,,
2023-09-17,TCB ,233,Porites compressa,Susceptible,10,8,237,,
2023-09-17,TCB ,239,Porites compressa,Susceptible,10,9,238,,
2023-09-17,TCB ,234,Porites compressa,Resistant,10,10,233,,
2023-09-17,TCB ,Hobo,NA,NA,10,11,NA,NA,
