Run,Light_Level_Percent,Light_Value,Date,Start.time,Stop.time,Length,Notes
1,10,150,2023-09-14,12:05,12:16,12 mins,
1,20,275,2023-09-14,12:17,12:26,10 mins,
1,40,530,2023-09-14,12:27,12:36,10 mins,
1,60,730,2023-09-14,12:37,12:46,10 mins,
1,80,945,2023-09-14,12:47,12:56,10 mins,
1,100,1190,2023-09-14,12:57,13:21,25 mins,
1,0,0,2023-09-14,13:22,13:57,25 mins,
2,10,150,2023-09-14,14:23,14:33,10 mins,
2,20,275,2023-09-14,14:34,14:43,10 mins,
2,40,530,2023-09-14,14:44,14:53,10 mins,
2,60,730,2023-09-14,14:54,15:03,10 mins,
2,80,945,2023-09-14,15:04,15:13,10 mins,
2,100,1190,2023-09-14,15:14,15:39,25 mins,
2,0,0,2023-09-14,15:40,16:17,40 mins,
3,10,150,2023-09-15,8:18,8:27,10 mins,
3,20,275,2023-09-15,8:28,8:38,10 mins,
3,40,530,2023-09-15,8:39,8:49,10 mins,
3,60,730,2023-09-15,8:50,8:58,10 mins,Took 2 extra mins to get lights connected
3,80,945,2023-09-15,8:59,9:08,10 mins,
3,100,1190,2023-09-15,9:09,9:43,30 mins,
3,0,0,2023-09-15,9:44,10:12,30 mins,
4,10,150,2023-09-15,10:40,10:53,10 mins,
4,20,275,2023-09-15,10:54,11:04,10 mins,"channel 9 fussy -adjusted o2 probe - WASNT stirring, fixed 11:02; channel 8 also affected for 20% step"
4,40,530,2023-09-15,11:05,11:16,10 mins,
4,60,730,2023-09-15,11:17,11:26,10 mins,
4,80,945,2023-09-15,11:27,11:36,10 mins,
4,100,1190,2023-09-15,11:37,12:17,30 mins,
4,0,0,2023-09-15,12:18,12:53,40 mins,
5,10,150,2023-09-15,13:28,13:37,10 mins,
5,20,275,2023-09-15,13:38,13:47,10 mins,
5,40,530,2023-09-15,13:48,14:00,10 mins,
5,60,730,2023-09-15,14:01,14:10,10 mins,
5,80,945,2023-09-15,14:11,14:20,10 mins,
5,100,1190,2023-09-15,14:21,14:39,15 mins,JA not sure of exact end time 
5,0,0,2023-09-15,15:00,15:33,30 mins,JA not sure of exact start or end time 
1,10,196,2024-01-20,8:00,8:14,15 mins,
1,20,418,2024-01-20,8:15,8:24,10 mins,
1,40,741,2024-01-20,8:25,8:34,10 mins,
1,60,1101,2024-01-20,8:35,8:44,10 mins,
1,80,1207,2024-01-20,8:45,8:54,10 mins,
1,100,1568,2024-01-20,8:55,9:09,15 mins,
1,0,0,2024-01-20,9:10,9:25,15 mins,
2,10,196,2024-01-20,10:04,10:18,15 mins,
2,20,418,2024-01-20,10:19,10:28,10 mins,
2,40,741,2024-01-20,10:29,10:38,10 mins,
2,60,1101,2024-01-20,10:39,10:49,10 mins,
2,80,1207,2024-01-20,10:50,10:59,10 mins,
2,100,1568,2024-01-20,11:00,11:14,15 mins,
2,0,0,2024-01-20,11:15,11:30,15 mins,
3,10,196,2024-01-20,11:55,12:07,13 mins,
3,20,418,2024-01-20,12:08,12:17,10 mins,
3,40,741,2024-01-20,12:18,12:27,10 mins,
3,60,1101,2024-01-20,12:28,12:37,10 mins,
3,80,1207,2024-01-20,12:38,12:47,10 mins,
3,100,1568,2024-01-20,12:48,13:02,15 mins,
3,0,0,2024-01-20,13:03,13:18,15 mins,
4,10,196,2024-01-21,8:20,8:34,15 mins,
4,20,418,2024-01-21,8:35,8:44,10 mins,
4,40,741,2024-01-21,8:45,8:54,10 mins,
4,60,1101,2024-01-21,8:55,9:04,10 mins,
4,80,1207,2024-01-21,9:05,9:14,10 mins,
4,100,1568,2024-01-21,9:15,9:29,15 mins,
4,0,0,2024-01-21,9:30,9:48,18 mins,
5,10,196,2024-01-21,10:23,10:37,15 mins,
5,20,418,2024-01-21,10:38,10:47,10 mins,
5,40,741,2024-01-21,10:48,10:57,10 mins,
5,60,1101,2024-01-21,10:58,11:07,10 mins,
5,80,1207,2024-01-21,11:08,11:17,10 mins,
5,100,1568,2024-01-21,11:18,11:32,15 mins,
5,0,0,2024-01-21,11:33,11:48,15 mins,
1,10,201,2024-05-09,8:37,8:52,15 mins,
1,20,373,2024-05-09,8:53,9:02,10 mins,
1,40,734,2024-05-09,9:03,9:12,10 mins,
1,60,1089,2024-05-09,9:13,9:22,10 mins,
1,80,1360,2024-05-09,9:23,9:32,10 mins,
1,100,1647,2024-05-09,9:33,9:42,10 mins,
1,0,0,2024-05-09,9:43,9:58,16 mins,
1,5,118,2024-05-09,9:59,10:15,16 mins,"mostly negative, but less negative than dark"
2,5,118,2024-05-09,10:29,10:40,11 mins,
2,10,201,2024-05-09,10:41,10:55,15 mins,
2,20,373,2024-05-09,10:56,11:05,10 mins,ch 8 funky/jumpy - bubble i thnk and maybe fixed 
2,40,734,2024-05-09,11:06,11:15,10 mins,
2,60,1089,2024-05-09,11:16,11:25,10 mins,
2,80,1360,2024-05-09,11:26,11:35,10 mins,
2,100,1647,2024-05-09,11:36,11:46,10 mins,
2,0,0,2024-05-09,11:47,12:02,15 mins,
3,5,118,2024-05-09,12:23,12:37,15 mins,
3,10,201,2024-05-09,12:38,12:47,10 mins,
3,20,373,2024-05-09,12:48,12:57,10 mins,
3,40,734,2024-05-09,12:58,13:08,10 mins,channel 8 had a bubble form during this level - fixed at start of 60%
3,60,1089,2024-05-09,13:09,13:18,10 mins,
3,80,1360,2024-05-09,13:19,13:28,10 mins,"channel 8 still looks slightly wobbly but no bubbles that we can see, going up still "
3,100,1647,2024-05-09,13:29,13:38,10 mins,
3,0,0,2024-05-09,13:39,13:54,15 mins,"channel 8 still odd, even started to go up! going back down"
4,5,118,2024-05-09,14:20,14:34,15 mins,
4,10,201,2024-05-09,14:35,14:44,10 mins,
4,20,373,2024-05-09,14:45,14:54,10 mins,
4,40,734,2024-05-09,14:55,15:04,10 mins,
