Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
619383,21/1/24 8:14:56,0.000,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.651,μmol/L,23.693,°C,1017.000,hPa,Humid,35,0,,0,21.987,99765,178905.86,20.65,30.79,#N/A
619389,21/1/24 8:15:00,0.054,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.732,μmol/L,23.690,°C,1017.000,hPa,Humid,35,0,,0,21.983,99737,178883.26,20.65,30.79,#N/A
619398,21/1/24 8:15:03,0.104,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.651,μmol/L,23.693,°C,1017.000,hPa,Humid,35,0,,0,21.987,99721,178882.31,20.65,30.79,#N/A
619407,21/1/24 8:15:06,0.154,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.670,μmol/L,23.711,°C,1017.000,hPa,Humid,35,0,,0,21.980,99716,178880.41,20.65,30.79,#N/A
619417,21/1/24 8:15:09,0.205,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.768,μmol/L,23.708,°C,1017.000,hPa,Humid,35,0,,0,21.975,99692,178881.37,20.65,30.79,#N/A
619426,21/1/24 8:15:12,0.259,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.683,μmol/L,23.721,°C,1017.000,hPa,Humid,35,0,,0,21.976,99668,178866.22,20.65,30.79,#N/A
619435,21/1/24 8:15:15,0.305,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.775,μmol/L,23.704,°C,1017.000,hPa,Humid,35,0,,0,21.976,99682,178855.77,20.65,30.79,#N/A
619445,21/1/24 8:15:18,0.355,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.891,μmol/L,23.703,°C,1017.000,hPa,Humid,35,0,,0,21.969,99662,178855.27,20.65,30.79,#N/A
619456,21/1/24 8:15:21,0.405,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.855,μmol/L,23.707,°C,1017.000,hPa,Humid,35,0,,0,21.970,99641,178842.01,20.65,30.79,#N/A
619466,21/1/24 8:15:24,0.454,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.982,μmol/L,23.696,°C,1017.000,hPa,Humid,35,0,,0,21.966,99638,178840.94,20.65,30.79,#N/A
619477,21/1/24 8:15:27,0.504,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.934,μmol/L,23.711,°C,1017.000,hPa,Humid,35,0,,0,21.964,99630,178834.77,20.65,30.79,#N/A
619484,21/1/24 8:15:30,0.554,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,183.038,μmol/L,23.707,°C,1017.000,hPa,Humid,35,0,,0,21.959,99625,178832.71,20.65,30.79,#N/A
619495,21/1/24 8:15:33,0.604,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.963,μmol/L,23.703,°C,1017.000,hPa,Humid,35,0,,0,21.965,99604,178840.19,20.65,30.79,#N/A
619506,21/1/24 8:15:36,0.654,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,183.109,μmol/L,23.716,°C,1017.000,hPa,Humid,35,0,,0,21.952,99587,178824.28,20.65,30.79,#N/A
619517,21/1/24 8:15:39,0.704,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,183.102,μmol/L,23.704,°C,1017.000,hPa,Humid,35,0,,0,21.956,99572,178823.64,20.65,30.79,#N/A
