Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
1533675,21/1/26 11:18:40,0.000,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,203.234,μmol/L,22.995,°C,1023.000,hPa,Humid,35,0,,0,23.278,91681,259734.36,20.65,60.48,#N/A
1533681,21/1/26 11:18:44,0.051,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,203.152,μmol/L,22.988,°C,1023.000,hPa,Humid,35,0,,0,23.285,91668,259757.27,20.65,60.48,#N/A
1533688,21/1/26 11:18:47,0.101,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,203.019,μmol/L,23.012,°C,1023.000,hPa,Humid,35,0,,0,23.284,91675,259762.70,20.65,60.48,#N/A
1533696,21/1/26 11:18:50,0.151,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,203.016,μmol/L,23.004,°C,1023.000,hPa,Humid,35,0,,0,23.287,91667,259782.06,20.65,60.48,#N/A
1533704,21/1/26 11:18:53,0.202,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,202.977,μmol/L,23.004,°C,1023.000,hPa,Humid,35,0,,0,23.289,91673,259783.15,20.65,60.48,#N/A
1533714,21/1/26 11:18:56,0.251,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,202.948,μmol/L,23.006,°C,1023.000,hPa,Humid,35,0,,0,23.290,91685,259789.09,20.65,60.48,#N/A
1533724,21/1/26 11:18:59,0.301,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,203.060,μmol/L,22.991,°C,1023.000,hPa,Humid,35,0,,0,23.289,91683,259781.08,20.65,60.48,#N/A
1533734,21/1/26 11:19:02,0.352,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,203.099,μmol/L,22.980,°C,1023.000,hPa,Humid,35,0,,0,23.291,91681,259777.06,20.65,60.48,#N/A
1533745,21/1/26 11:19:05,0.406,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,202.966,μmol/L,23.000,°C,1023.000,hPa,Humid,35,0,,0,23.291,91675,259792.06,20.65,60.48,#N/A
1533754,21/1/26 11:19:08,0.451,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,202.957,μmol/L,22.999,°C,1023.000,hPa,Humid,35,0,,0,23.292,91670,259780.62,20.65,60.48,#N/A
