Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
754351,1/10/24 13:06:43,0.000,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.952,μmol/L,26.401,°C,1017.000,hPa,Humid,35,0,,0,21.318,44430,178252.29,20.65,30.79,#N/A
754357,1/10/24 13:06:47,0.054,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.890,μmol/L,26.409,°C,1017.000,hPa,Humid,35,0,,0,21.319,44455,178248.72,20.65,30.79,#N/A
754365,1/10/24 13:06:50,0.104,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.973,μmol/L,26.385,°C,1017.000,hPa,Humid,35,0,,0,21.322,44440,178247.55,20.65,30.79,#N/A
754375,1/10/24 13:06:53,0.154,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,183.090,μmol/L,26.401,°C,1017.000,hPa,Humid,35,0,,0,21.310,44456,178247.44,20.65,30.79,#N/A
754384,1/10/24 13:06:56,0.204,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.960,μmol/L,26.402,°C,1017.000,hPa,Humid,35,0,,0,21.317,44440,178239.04,20.65,30.79,#N/A
754396,1/10/24 13:06:59,0.255,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.978,μmol/L,26.399,°C,1017.000,hPa,Humid,35,0,,0,21.317,44447,178239.11,20.65,30.79,#N/A
754406,1/10/24 13:07:02,0.305,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.880,μmol/L,26.410,°C,1017.000,hPa,Humid,35,0,,0,21.319,44449,178237.94,20.65,30.79,#N/A
754415,1/10/24 13:07:05,0.354,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.950,μmol/L,26.395,°C,1017.000,hPa,Humid,35,0,,0,21.320,44444,178228.49,20.65,30.79,#N/A
754425,1/10/24 13:07:08,0.404,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.935,μmol/L,26.395,°C,1017.000,hPa,Humid,35,0,,0,21.321,44450,178234.12,20.65,30.79,#N/A
754434,1/10/24 13:07:11,0.454,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.900,μmol/L,26.407,°C,1017.000,hPa,Humid,35,0,,0,21.319,44438,178229.61,20.65,30.79,#N/A
754444,1/10/24 13:07:14,0.504,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.770,μmol/L,26.406,°C,1017.000,hPa,Humid,35,0,,0,21.327,44439,178224.81,20.65,30.79,#N/A
754454,1/10/24 13:07:17,0.554,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.852,μmol/L,26.400,°C,1017.000,hPa,Humid,35,0,,0,21.324,44442,178227.07,20.65,30.79,#N/A
754465,1/10/24 13:07:20,0.604,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.814,μmol/L,26.410,°C,1017.000,hPa,Humid,35,0,,0,21.323,44445,178220.90,20.65,30.79,#N/A
754475,1/10/24 13:07:23,0.654,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.813,μmol/L,26.392,°C,1017.000,hPa,Humid,35,0,,0,21.329,44451,178212.72,20.65,30.79,#N/A
754485,1/10/24 13:07:26,0.704,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.943,μmol/L,26.399,°C,1017.000,hPa,Humid,35,0,,0,21.319,44457,178215.92,20.65,30.79,#N/A
754495,1/10/24 13:07:29,0.754,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,183.139,μmol/L,26.380,°C,1017.000,hPa,Humid,35,0,,0,21.314,44470,178210.74,20.65,30.79,#N/A
754504,1/10/24 13:07:32,0.805,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,183.008,μmol/L,26.412,°C,1017.000,hPa,Humid,35,0,,0,21.311,44464,178217.21,20.65,30.79,#N/A
754515,1/10/24 13:07:35,0.855,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.859,μmol/L,26.408,°C,1017.000,hPa,Humid,35,0,,0,21.321,44462,178201.53,20.65,30.79,#N/A
754524,1/10/24 13:07:38,0.905,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,183.004,μmol/L,26.398,°C,1017.000,hPa,Humid,35,0,,0,21.316,44459,178197.67,20.65,30.79,#N/A
754535,1/10/24 13:07:41,0.955,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,182.896,μmol/L,26.408,°C,1017.000,hPa,Humid,35,0,,0,21.319,44468,178195.20,20.65,30.79,#N/A
