Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
1013966,2/10/25 8:32:37,0.000,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,192.606,μmol/L,26.943,°C,1019.000,hPa,Humid,35,0,,0,23.443,61625,281432.21,21.00,56.39,#N/A
1013978,2/10/25 8:32:41,0.059,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,192.655,μmol/L,26.933,°C,1019.000,hPa,Humid,35,0,,0,23.444,61613,281396.72,21.00,56.39,#N/A
1013986,2/10/25 8:32:44,0.108,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,192.634,μmol/L,26.939,°C,1019.000,hPa,Humid,35,0,,0,23.443,61610,281374.50,21.00,56.39,#N/A
1013997,2/10/25 8:32:47,0.158,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,192.497,μmol/L,26.939,°C,1019.000,hPa,Humid,35,0,,0,23.451,61608,281374.91,21.00,56.39,#N/A
1014007,2/10/25 8:32:50,0.208,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,192.536,μmol/L,26.952,°C,1019.000,hPa,Humid,35,0,,0,23.444,61605,281357.81,21.00,56.39,#N/A
1014021,2/10/25 8:32:53,0.271,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,192.548,μmol/L,26.937,°C,1019.000,hPa,Humid,35,0,,0,23.449,61607,281362.00,21.00,56.39,#N/A
1014071,2/10/25 8:36:02,1.522,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,192.105,μmol/L,26.946,°C,1019.000,hPa,Humid,35,0,,0,23.472,61767,281335.46,21.00,56.39,#N/A
1014079,2/10/25 8:36:05,1.572,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,192.015,μmol/L,26.960,°C,1019.000,hPa,Humid,35,0,,0,23.472,61772,281325.12,21.00,56.39,#N/A
1014091,2/10/25 8:36:08,1.622,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,191.980,μmol/L,26.957,°C,1019.000,hPa,Humid,35,0,,0,23.475,61768,281306.88,21.00,56.39,#N/A
1014101,2/10/25 8:36:11,1.672,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,191.969,μmol/L,26.965,°C,1019.000,hPa,Humid,35,0,,0,23.473,61761,281295.50,21.00,56.39,#N/A
1014108,2/10/25 8:36:14,1.721,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,192.008,μmol/L,26.948,°C,1019.000,hPa,Humid,35,0,,0,23.477,61759,281282.32,21.00,56.39,#N/A
1014119,2/10/25 8:36:17,1.771,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,191.964,μmol/L,26.955,°C,1019.000,hPa,Humid,35,0,,0,23.477,61763,281290.80,21.00,56.39,#N/A
1014129,2/10/25 8:36:20,1.822,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,191.910,μmol/L,26.955,°C,1019.000,hPa,Humid,35,0,,0,23.480,61761,281279.47,21.00,56.39,#N/A
1014140,2/10/25 8:36:23,1.872,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,191.994,μmol/L,26.944,°C,1019.000,hPa,Humid,35,0,,0,23.479,61755,281271.81,21.00,56.39,#N/A
1014026,2/10/25 8:34:30,1.887,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,192.194,μmol/L,26.961,°C,1019.000,hPa,Humid,35,0,,0,23.461,61665,281369.87,21.00,56.39,#N/A
1014150,2/10/25 8:36:26,1.922,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,191.878,μmol/L,26.958,°C,1019.000,hPa,Humid,35,0,,0,23.481,61752,281268.29,21.00,56.39,#N/A
1014158,2/10/25 8:36:29,1.971,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,191.865,μmol/L,26.957,°C,1019.000,hPa,Humid,35,0,,0,23.482,61753,281249.63,21.00,56.39,#N/A
1014169,2/10/25 8:36:32,2.021,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,191.926,μmol/L,26.947,°C,1019.000,hPa,Humid,35,0,,0,23.482,61750,281248.59,21.00,56.39,#N/A
1014180,2/10/25 8:36:35,2.071,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,191.788,μmol/L,26.961,°C,1019.000,hPa,Humid,35,0,,0,23.485,61750,281249.50,21.00,56.39,#N/A
1014188,2/10/25 8:36:38,2.122,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,191.889,μmol/L,26.953,°C,1019.000,hPa,Humid,35,0,,0,23.482,61756,281236.64,21.00,56.39,#N/A
1014199,2/10/25 8:36:41,2.172,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,191.902,μmol/L,26.946,°C,1019.000,hPa,Humid,35,0,,0,23.484,61749,281228.45,21.00,56.39,#N/A
1014211,2/10/25 8:36:44,2.222,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,191.876,μmol/L,26.950,°C,1019.000,hPa,Humid,35,0,,0,23.484,61756,281229.19,21.00,56.39,#N/A
1014219,2/10/25 8:36:47,2.271,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,191.804,μmol/L,26.959,°C,1019.000,hPa,Humid,35,0,,0,23.485,61757,281220.43,21.00,56.39,#N/A
