Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
93,14/9/23 12:11:20,0.000,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,184.973,μmol/L,27.053,°C,1017.000,hPa,Humid,35,0,,0,21.897,76705,257351.72,17.50,52.76,#N/A
106,14/9/23 12:11:24,0.054,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,184.890,μmol/L,27.052,°C,1017.000,hPa,Humid,35,0,,0,21.902,76700,257339.28,17.50,52.76,#N/A
116,14/9/23 12:11:27,0.104,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,184.808,μmol/L,27.067,°C,1017.000,hPa,Humid,35,0,,0,21.902,76688,257339.43,17.50,52.76,#N/A
126,14/9/23 12:11:30,0.154,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,184.991,μmol/L,27.032,°C,1017.000,hPa,Humid,35,0,,0,21.903,76681,257330.99,17.50,52.76,#N/A
136,14/9/23 12:11:33,0.204,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,184.916,μmol/L,27.045,°C,1017.000,hPa,Humid,35,0,,0,21.903,76677,257343.08,17.50,52.76,#N/A
146,14/9/23 12:11:36,0.254,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,184.856,μmol/L,27.061,°C,1017.000,hPa,Humid,35,0,,0,21.901,76679,257345.23,17.50,52.76,#N/A
156,14/9/23 12:11:39,0.304,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,184.973,μmol/L,27.044,°C,1017.000,hPa,Humid,35,0,,0,21.900,76672,257332.65,17.50,52.76,#N/A
171,14/9/23 12:11:54,0.554,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,184.939,μmol/L,27.059,°C,1017.000,hPa,Humid,35,0,,0,21.897,76666,257337.15,17.50,52.76,#N/A
162,14/9/23 12:11:54,0.554,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,184.888,μmol/L,27.059,°C,1017.000,hPa,Humid,35,0,,0,21.900,76640,257265.79,17.50,52.76,#N/A
197,14/9/23 12:11:54,0.554,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,184.972,μmol/L,27.059,°C,1017.000,hPa,Humid,35,0,,0,21.895,76620,257208.66,17.50,52.76,#N/A
