Date,Treatment,Light,Species,Phenotype,Colony ID,Sample,Total duration (hours),Alkalinity,Change in Alkalinity,Change in alkalinity_mean divided by 2,Plug (average of cca and new plug),Change in alkalinity- plug blank,Total volume via displacement (mL),umol CaCO3h-1,Frag volume (cm3),Total volume via displacement (cm3),mol CaCO3h-1,Surface area coral (cm2),Surface area plug (cm2),Actual surface area (cm2),mol CaCO3h-1 cm-2,umol CaCO3h-1 cm-2
45183,Field,Light,Montipora capitata,Susceptible ,1,24,1.25,2145.55,41.2,20.6,,20.6,244,4133.71136,3.978098852,243.0219011,4117.140957,20.03687937,,,205.4781526,0.205478153
45183,Field,Dark,Montipora capitata,Susceptible ,1,35,0.53,2190.55,-3.8,-1.9,,-1.9,244,-899.2090566,3.978098852,243.0219011,-895.6044855,20.03687937,,,-44.69780293,-0.044697803
45183,Field,Light,Montipora capitata,Resistant,2,28,1.3,2163.65,23.1,11.55,,11.55,244,2228.545846,4.433689465,242.5663105,2215.451409,20.18991445,,,109.7305991,0.109730599
45183,Field,Dark,Montipora capitata,Resistant,2,39,0.53,2188.3,-1.55,-0.775,,-0.775,244,-366.7826415,4.433689465,242.5663105,-364.6275087,20.18991445,,,-18.05988379,-0.018059884
45184,Field,Light,Montipora capitata,Susceptible ,3,8,1.216666667,2167.5,24.65,12.325,,12.325,245,2551.376301,3.990812214,243.0091878,2530.644419,18.19752998,,,139.0652699,0.13906527
45184,Field,Dark,Montipora capitata,Susceptible ,3,19,0.55,2171.45,17.05,8.525,,8.525,245,3903.83,3.990812214,243.0091878,3872.108398,18.19752998,,,212.7820865,0.212782086
45184,Field,Light,Montipora capitata,Resistant,4,5,1.233333333,2168.7,23.45,11.725,,11.725,245,2394.371757,4.135671752,242.8643282,2373.499952,17.00914233,,,139.5426005,0.1395426
45184,Field,Dark,Montipora capitata,Resistant,4,16,0.55,2177.05,11.45,5.725,,5.725,245,2621.633636,4.135671752,242.8643282,2598.780784,17.00914233,,,152.7872913,0.152787291
45183,Field,Light,Montipora capitata,Susceptible ,19,22,1.233,2158.75,28,14,,14,244,2848.051906,4.388123082,242.6118769,2831.849256,19.07264971,,,148.4769709,0.148476971
45183,Field,Dark,Montipora capitata,Susceptible ,19,33,0.53,2189,-2.25,-1.125,,-1.125,244,-532.4264151,4.388123082,242.6118769,-529.3974258,19.07264971,,,-27.75688925,-0.027756889
45183,Field,Light,Montipora capitata,Resistant,20,26,1.2667,2156.15,30.6,15.3,,15.3,244,3029.706797,5.183083543,241.8169165,3002.599817,20.10320527,,,149.3592577,0.149359258
45183,Field,Dark,Montipora capitata,Resistant,20,37,0.53,2187.35,-0.6,-0.3,,-0.3,244,-141.9803774,5.183083543,241.8169165,-140.7100699,20.10320527,,,-6.999384824,-0.006999385
45184,Field,Light,Porites compressa,Resistant,26,4,1.216666667,2148.05,44.1,22.05,,22.05,245,4564.531233,3.963668066,243.0363319,4527.946644,15.40563432,,,293.9149761,0.293914976
45184,Field,Dark,Porites compressa,Resistant,26,15,0.55,2167.05,21.45,10.725,,10.725,245,4911.27,3.963668066,243.0363319,4871.90631,15.40563432,,,316.2418507,0.316241851
45184,Field,Light,Porites compressa,Susceptible ,27,7,1.216666667,2165,27.15,13.575,,13.575,244,2798.66663,4.528466123,242.4715339,2781.135207,17.70534214,,,157.078874,0.157078874
45184,Field,Dark,Porites compressa,Susceptible ,27,18,0.55,2177.95,10.55,5.275,,5.275,244,2405.706909,4.528466123,242.4715339,2390.637067,17.70534214,,,135.0234888,0.135023489
45184,Field,Light,Porites compressa,Resistant,28,26,1.283333333,2120.9,64.35,32.175,,32.175,243,6262.943143,4.417825633,242.5821744,6252.174344,17.7588614,,,352.0594143,0.352059414
45184,Field,Dark,Porites compressa,Resistant,28,37,0.6,2167.2,6.45,3.225,,3.225,243,1342.6965,4.417825633,242.5821744,1340.387804,17.7588614,,,75.47712515,0.075477125
45184,Field,Light,Porites compressa,Susceptible ,29,10,1.2,2137.55,54.6,27.3,,27.3,245,5729.815,3.889252611,243.1107474,5685.631049,16.02065751,,,354.8937392,0.354893739
45184,Field,Dark,Porites compressa,Susceptible ,29,21,0.55,2173.8,14.7,7.35,,7.35,245,3365.765455,3.889252611,243.1107474,3339.811246,16.02065751,,,208.4690496,0.20846905
45184,Field,Light,Porites compressa,Susceptible ,41,4,1.3,2134.3,49.95,24.975,,24.975,244,4818.868615,4.589327996,242.410672,4787.480243,17.8726339,,,267.8665199,0.26786652
45184,Field,Dark,Porites compressa,Susceptible ,41,14,0.55,2166.65,18.35,9.175,,9.175,244,4184.333818,4.589327996,242.410672,4157.078577,17.8726339,,,232.5946249,0.232594625
45184,Field,Light,Porites compressa,Resistant,42,25,1.283333333,2159.3,25.95,12.975,,12.975,244,2536.009247,3.264723648,243.7352764,2533.257847,14.09270789,,,179.756642,0.179756642
45184,Field,Dark,Porites compressa,Resistant,42,36,0.6,2164.1,9.55,4.775,,4.775,244,1996.204667,3.264723648,243.7352764,1994.038918,14.09270789,,,141.4943767,0.141494377
45184,Field,Light,Porites compressa,Susceptible ,43,2,1.3,2114.15,70.1,35.05,,35.05,243,6735.100154,4.490975421,242.5090246,6721.492052,19.40321854,,,346.4111915,0.346411192
45184,Field,Dark,Porites compressa,Susceptible ,43,12,0.55,2166.3,18.7,9.35,,9.35,243,4246.668,4.490975421,242.5090246,4238.087714,19.40321854,,,218.4218925,0.218421893
45184,Field,Light,Porites compressa,Resistant,44,6,1.3,2146.15,38.1,19.05,,19.05,244,3675.653538,3.443585237,243.5564148,3668.971302,14.93810056,,,245.611635,0.245611635
45184,Field,Dark,Porites compressa,Resistant,44,16,0.566666667,2166.25,18.75,9.375,,9.375,244,4149.794118,3.443585237,243.5564148,4142.249907,14.93810056,,,277.2942845,0.277294284
45184,Field,Light,Porites compressa,Susceptible ,45,7,1.3,2142.6,41.65,20.825,,20.825,245,4034.603462,3.933641336,243.0663587,4002.760702,16.52711027,,,242.1936223,0.242193622
45184,Field,Dark,Porites compressa,Susceptible ,45,17,0.566666667,2175.8,9.2,4.6,,4.6,245,2044.510588,3.933641336,243.0663587,2028.374465,16.52711027,,,122.7301344,0.122730134
45184,Field,Light,Porites compressa,Resistant,46,9,1.216666667,2132.8,59.35,29.675,,29.675,244,6117.895562,4.670219058,242.3297809,6076.017587,19.41592567,,,312.9398871,0.312939887
45184,Field,Dark,Porites compressa,Resistant,46,20,0.55,2171.8,16.7,8.35,,8.35,244,3808.085818,4.670219058,242.3297809,3782.018861,19.41592567,,,194.789521,0.194789521
45184,Field,Light,Montipora capitata,Susceptible ,201,9,1.283333333,2164.1,20.15,10.075,,10.075,233,1880.418935,3.809870274,243.1901297,1962.658046,18.06108049,,,108.6678091,0.108667809
45184,Field,Dark,Montipora capitata,Susceptible ,201,19,0.566666667,2176.2,8.8,4.4,,4.4,233,1859.833412,3.809870274,243.1901297,1941.172226,18.06108049,,,107.4781892,0.107478189
45184,Field,Light,Montipora capitata,Resistant,202,3,1.3,2152.75,31.5,15.75,,15.75,243,3026.471538,4.533379908,242.4666201,3019.828497,19.49749671,,,154.8828827,0.154882883
45184,Field,Dark,Montipora capitata,Resistant,202,13,0.55,2169.15,15.85,7.925,,7.925,243,3599.448545,4.533379908,242.4666201,3591.547831,19.49749671,,,184.2055872,0.184205587
45184,Field,Light,Montipora capitata,Susceptible ,203,1,1.3,2171.25,13,6.5,,6.5,243,1249.02,4.877423312,242.1225767,1244.510044,21.90329564,,,56.8183923,0.056818392
45184,Field,Dark,Montipora capitata,Susceptible ,203,11,0.55,2180.2,4.8,2.4,,2.4,243,1090.053818,4.877423312,242.1225767,1086.117857,21.90329564,,,49.58696055,0.049586961
45184,Field,Light,Montipora capitata,Resistant,204,5,1.3,2177.75,6.5,3.25,,3.25,245,629.65,4.078644013,242.921356,624.3078849,19.58648586,,,31.87442042,0.03187442
45184,Field,Dark,Montipora capitata,Resistant,204,15,0.55,2178.35,6.65,3.325,,3.325,245,1522.608182,4.078644013,242.921356,1509.689976,19.58648586,,,77.07814393,0.077078144
45184,Field,Light,Montipora capitata,Susceptible ,205,31,1.3,2167.4,17.85,8.925,,8.925,245,1729.115769,,247,1743.231,15.61989935,,,111.6032159,0.111603216
45184,Field,Dark,Montipora capitata,Susceptible ,205,42,0.616666667,2181.55,-7.9,-3.95,,-3.95,245,-1613.265405,,247,-1626.434919,15.61989935,,,-104.1258258,-0.104125826
45184,Field,Light,Montipora capitata,Resistant,206,28,1.3,2163.05,22.2,11.1,,11.1,245,2150.496923,2.885747932,244.1142521,2142.722237,14.22479098,,,150.6329506,0.150632951
45184,Field,Dark,Montipora capitata,Resistant,206,39,0.6,2175.4,-1.75,-0.875,,-0.875,245,-367.2958333,2.885747932,244.1142521,-365.9679496,14.22479098,,,-25.72747466,-0.025727475
45184,Field,Light,Montipora capitata,Susceptible ,209,3,1.216666667,2168.95,23.2,11.6,,11.6,243,2381.692932,4.514631704,242.4853683,2376.64892,21.48497365,,,110.619122,0.110619122
45184,Field,Dark,Montipora capitata,Susceptible ,209,14,0.55,2183.45,5.05,2.525,,2.525,243,1146.827455,4.514631704,242.4853683,1144.398674,21.48497365,,,53.26507225,0.053265072
45184,Field,Light,Montipora capitata,Resistant,210,6,1.233333333,2160.55,31.6,15.8,,15.8,243,3200.191784,5.362010168,241.6379898,3182.254772,22.84494431,,,139.2979877,0.139297988
45184,Field,Dark,Montipora capitata,Resistant,210,17,0.55,2171.9,16.6,8.3,,8.3,243,3769.769455,5.362010168,241.6379898,3748.639972,22.84494431,,,164.0905717,0.164090572
45183,Field,Light,Montipora capitata,Susceptible ,211,29,1.3,2178.5,8.25,4.125,,4.125,246,802.4330769,3.086850744,243.9131493,795.6259303,15.44132248,,,51.52576352,0.051525764
