"","ColonyID","cells","cells_cm2_M","Species","Phenotype","Year"
"1","212",12297582.121,0.28322390882082,"Montipora capitata","Resistant","2019"
"2","220",9003704.5307,0.24749050386751,"Montipora capitata","Resistant","2019"
"3","212",10741753.968,0.247391846338093,"Montipora capitata","Resistant","2019"
"4","220",8162001.4416,0.224354080307861,"Montipora capitata","Resistant","2019"
"5","247",10151089.783,0.64166180676359,"Porites compressa","Susceptible","2019"
"6","247",7598588.7819,0.480315346517067,"Porites compressa","Susceptible","2019"
"7","44",1661339.501547,0.0943406871974446,"Porites compressa","Resistant","2019"
"8","209",3882634.7451,0.145908859267193,"Montipora capitata","Susceptible","2019"
"9","239",5151806.9553,0.572422995033333,"Porites compressa","Susceptible","2019"
"10","240",7416154.74,0.4359879329806,"Porites compressa","Resistant","2019"
"11","19",1926253.3761,0.0806976697151236,"Montipora capitata","Susceptible","2019"
"12","212",5413817.1669,0.124684872567941,"Montipora capitata","Resistant","2019"
"13","220",4383567.4989,0.120493883971963,"Montipora capitata","Resistant","2019"
"14","247",415436.41815,0.0262602034228824,"Porites compressa","Susceptible","2019"
"15","26",4477035.423,0.384625036340206,"Porites compressa","Susceptible","2019"
"16","42",10449150.966,0.407374306666667,"Porites compressa","Resistant","2019"
"17","46",8416971.9954,0.259223036507545,"Porites compressa","Resistant","2019"
"18","11",2825662.1796,0.129439403554741,"Montipora capitata","Susceptible","2019"
"19","12",10881673.665,0.412653532992036,"Montipora capitata","Resistant","2019"
"20","42",14112025.551,0.550176434736842,"Porites compressa","Resistant","2019"
"21","204",10236226.4559,0.194827302167872,"Montipora capitata","Resistant","2019"
"22","211",968140.05903,0.0414443518420377,"Montipora capitata","Susceptible","2019"
"23","201",2888442.7992,0.0798574177273984,"Montipora capitata","Susceptible","2019"
"24","203",4900252.0242,0.443863407989131,"Montipora capitata","Susceptible","2019"
"25","210",8011303.4583,0.27875099019833,"Montipora capitata","Resistant","2019"
"26","221",2809830.8535,0.0552463793452615,"Montipora capitata","Susceptible","2019"
"27","244",11063272.821,0.405248088681319,"Porites compressa","Resistant","2019"
"28","248",9893608.656,0.373625704531722,"Porites compressa","Resistant","2019"
"29","238",7908909.673,0.449881096302617,"Porites compressa","Resistant","2019"
"30","43",12308858.18,0.530554231896552,"Porites compressa","Susceptible","2019"
"31","229",9837913.432,0.609158726439629,"Porites compressa","Susceptible","2019"
"32","3",3032801.23693113,0.257235049782114,"Montipora capitata","Susceptible","2021"
"33","4",9239437.81912066,0.762959357483127,"Montipora capitata","Resistant","2021"
"34","11",10175955.2762027,0.697939319355465,"Montipora capitata","Susceptible","2021"
"35","12",7977627.82866374,0.668143034226443,"Montipora capitata","Resistant","2021"
"36","19",4643036.52212312,0.359646516043619,"Montipora capitata","Susceptible","2021"
"37","20",14020484.1373883,0.827167205745623,"Montipora capitata","Resistant","2021"
"38","26",9715430.90028451,0.966709542316867,"Porites compressa","Susceptible","2021"
"39","27",13214845.0534919,1.12658525605217,"Porites compressa","Resistant","2021"
"40","41",8387440.0506218,0.76737786373484,"Porites compressa","Susceptible","2021"
"41","43",12198357.792725,0.952996702556639,"Porites compressa","Susceptible","2021"
"42","44",15660295.6272102,1.09589192632682,"Porites compressa","Resistant","2021"
"43","45",11897290.8080041,0.740802665504615,"Porites compressa","Susceptible","2021"
"44","46",10661229.6351902,0.981697019814936,"Porites compressa","Resistant","2021"
"45","201",1930646.23155656,0.202798973903,"Montipora capitata","Susceptible","2021"
"46","202",10115404.5581551,0.716896141612694,"Montipora capitata","Resistant","2021"
"47","203",6277299.05548206,0.366878962915375,"Montipora capitata","Susceptible","2021"
"48","204",13790447.15594,0.885137814887033,"Montipora capitata","Resistant","2021"
"49","209",5189895.63859235,0.13791909749116,"Montipora capitata","Susceptible","2021"
"50","210",7347870.31865987,0.470715587358095,"Montipora capitata","Resistant","2021"
"51","211",6457506.8710941,0.488464967556286,"Montipora capitata","Susceptible","2021"
"52","212",9212560.2370788,0.719169417414427,"Montipora capitata","Resistant","2021"
"53","219",5395901.195064,0.3904414757644,"Montipora capitata","Susceptible","2021"
"54","220",6561078.11001508,0.356774231104681,"Montipora capitata","Resistant","2021"
"55","221",5593427.12835486,0.422145443649424,"Montipora capitata","Susceptible","2021"
"56","222",6371247.10059361,0.596558717284046,"Montipora capitata","Resistant","2021"
"57","237",13877797.3218022,1.58061472913465,"Porites compressa","Susceptible","2021"
"58","240",11618307.739151,1.06006457474006,"Porites compressa","Resistant","2021"
"59","243",10662309.3720865,0.846887162199088,"Porites compressa","Susceptible","2021"
"60","244",10294654.9261923,0.909421813267869,"Porites compressa","Resistant","2021"
"61","238",23642466.5814334,1.45313254956567,"Porites compressa","Resistant","2021"
"62","247",18004224.1057736,1.39567628726927,"Porites compressa","Susceptible","2021"
"63","248",25516365.784086,1.38675901000468,"Porites compressa","Resistant","2021"
"64","3",4739426.27096114,0.532894365741063,"Montipora capitata","Susceptible","2023"
"65","4",5250724.65624768,0.579787394317133,"Montipora capitata","Resistant","2023"
"66","20",19494705.3338969,2.39179354565036,"Montipora capitata","Resistant","2023"
"67","42",2184258.67162425,0.591590341796431,"Porites compressa","Resistant","2023"
"68","205",4387294.55001324,0.697174722819882,"Montipora capitata","Susceptible","2023"
"69","248",5357912.71177673,1.11465230772892,"Porites compressa","Resistant","2023"
"70","41",8814071.30843107,1.26946140691516,"Porites compressa","Susceptible","2023"
"71","210",10787085.4046368,0.938454128400801,"Montipora capitata","Resistant","2023"
"72","221",2780980.28554039,0.630316157737722,"Montipora capitata","Susceptible","2023"
"73","247",9617651.85400708,1.58081807056029,"Porites compressa","Susceptible","2023"
"74","2",11898143.2055573,1.24666997739637,"Montipora capitata","Resistant","2023"
"75","19",3576782.63016032,0.436346978825177,"Montipora capitata","Susceptible","2023"
"76","43",13179624.4373016,1.5257178454308,"Porites compressa","Susceptible","2023"
"77","239",8038802.78475011,1.28692496318643,"Porites compressa","Susceptible","2023"
"78","240",13950638.1557315,1.69709026903088,"Porites compressa","Resistant","2023"
"79","242",7566187.92069507,1.53693462097081,"Porites compressa","Resistant","2023"
"80","26",8217159.23248947,1.82403893294273,"Porites compressa","Resistant","2023"
"81","29",8658551.27480264,1.94203984154703,"Porites compressa","Susceptible","2023"
"82","204",4534320.8672747,0.511167245475999,"Montipora capitata","Resistant","2023"
"83","211",1718013.92274914,0.362669173457881,"Montipora capitata","Susceptible","2023"
"84","225",6272650.16040508,1.33725376134736,"Porites compressa","Susceptible","2023"
"85","238",9958828.21358746,1.88099449673573,"Porites compressa","Resistant","2023"
"86","1",4264361.43169518,0.354518071336506,"Montipora capitata","Susceptible","2023"
"87","28",12626491.079917,1.68865502029653,"Porites compressa","Resistant","2023"
"88","45",10489629.5263052,1.81415727137081,"Porites compressa","Susceptible","2023"
"89","202",11623362.8044613,1.18053826401921,"Montipora capitata","Resistant","2023"
"90","241",8441468.42977852,1.65237817734735,"Porites compressa","Susceptible","2023"
"91","244",10191161.3421631,1.85178031084608,"Porites compressa","Resistant","2023"
"92","209",6173918.96700532,0.619751752887864,"Montipora capitata","Susceptible","2023"
"93","212",2143026.55494476,0.599267827515291,"Montipora capitata","Resistant","2023"
"94","219",275839.48855949,0.092083296771458,"Montipora capitata","Susceptible","2023"
"95","220",3682770.99280852,0.634379055581327,"Montipora capitata","Resistant","2023"
"96","243",7706518.60759844,2.0236179089288,"Porites compressa","Susceptible","2023"
"97","234",7944198.52560242,1.40208516186057,"Porites compressa","Resistant","2023"
"98","201",1697297.0991884,0.194912966880397,"Montipora capitata","Susceptible","2023"
"99","203",8993170.74230501,0.834658824351073,"Montipora capitata","Susceptible","2023"
"100","206",1126276.70045572,0.240108680619459,"Montipora capitata","Resistant","2023"
"101","214",2116627.87802408,0.373567268163524,"Montipora capitata","Resistant","2023"
"102","226",11754728.6271197,2.36544560120792,"Porites compressa","Resistant","2023"
"103","235",5593413.27910255,1.67274040710357,"Porites compressa","Susceptible","2023"
"104","27",7421775.41823226,1.03100375166942,"Porites compressa","Susceptible","2023"
"105","44",8478296.41511337,1.66716510737663,"Porites compressa","Resistant","2023"
"106","233",6331450.8193569,1.1266836776609,"Porites compressa","Susceptible","2023"
"107","46",6220091.93983198,0.518108111819591,"Porites compressa","Resistant","2023"
"108","4",12043970.2633249,0.452189410387756,"Montipora capitata","Resistant","2025"
"109","12",4902178.55581149,0.471116497806056,"Montipora capitata","Resistant","2025"
"110","26",6916001.14802496,0.582838574706912,"Porites compressa","Resistant","2025"
