"","Date.x","Project.x","Colony_ID","Light","Time_start","Time_end","Chamber","Zub","Run","Sample_Volume_mL","Starting_alk_value","Alk_avg","Temperature_C","Notes.x","start","end","elapsed_mins","elapsed_hours","Delta_TA_raw","Delta_TA_corr","Net_Calcification","Date.y","Project.y","Species","Phenotype","Surface_Area_cm2","Notes.y","Net_Calcification_cm2"
"1","2023-09-15","TCB ","1","Light","16:00","17:13",1,33,6,233,2071.7,2012.65,27.82,NA,16H 0M 0S,17H 13M 0S,73,1.21666666666667,59.0499999999997,64.3499999999997,6.33426139726025,2023-09-15,"TCB","Montipora capitata","Susceptible",36.34458077,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.174283518011817
"2","2023-09-15","TCB ","201","Light","16:00","17:13",2,34,6,240,2071.7,2050.25,27.82,NA,16H 0M 0S,17H 13M 0S,73,1.21666666666667,21.4499999999998,26.7499999999998,2.71223013698628,2023-09-15,"TCB","Montipora capitata","Susceptible",17.54826342,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.154558321360455
"3","2023-09-15","TCB ","28","Light","16:01","17:13",3,35,6,237,2071.7,2026.15,27.82,NA,16H 1M 0S,17H 13M 0S,72,1.2,45.5499999999997,50.8499999999997,5.16203774999997,2023-09-15,"TCB","Porites compressa","Resistant",25.82005955,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.199923541617082
"4","2023-09-15","TCB ","29","Light","16:01","17:14",4,36,6,236,2071.7,1977.25,27.82,NA,16H 1M 0S,17H 14M 0S,73,1.21666666666667,94.4499999999998,99.7499999999998,9.94526630136984,2023-09-15,"TCB","Porites compressa","Susceptible",22.2816215,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.446343920767609
"5","2023-09-15","TCB ","2","Light","16:02","17:14",5,37,6,229,2071.7,1967.4,27.82,NA,16H 2M 0S,17H 14M 0S,72,1.2,104.3,109.6,10.7504813333333,2023-09-15,"TCB","Montipora capitata","Resistant",46.87715904,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.22933303880809
"6","2023-09-15","TCB ","12","Light","16:02","17:14",6,38,6,239,2071.7,2058.85,27.82,NA,16H 2M 0S,17H 14M 0S,72,1.2,12.8499999999999,18.1499999999999,1.85804574999999,2023-09-15,"TCB","Montipora capitata","Resistant",17.91342415,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.103723650734859
"7","2023-09-15","TCB ","225","Light","16:03","17:14",7,39,6,232,2071.7,1915.35,27.82,NA,16H 3M 0S,17H 14M 0S,71,1.18333333333333,156.35,161.65,16.2899486197183,2023-09-15,"TCB","Porites compressa","Susceptible",38.56473475,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.422405306955166
"8","2023-09-15","TCB ","4","Light","16:03","17:14",8,40,6,239,2071.7,2055.8,27.82,NA,16H 3M 0S,17H 14M 0S,71,1.18333333333333,15.8999999999996,21.1999999999996,2.20084664788729,2023-09-15,"TCB","Montipora capitata","Resistant",21.38646321,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.102908397067646
"9","2023-09-15","TCB ","226","Light","16:03","17:15",9,41,6,232,2071.7,1909.75,27.82,NA,16H 3M 0S,17H 15M 0S,72,1.2,161.95,167.25,16.62019,2023-09-15,"TCB","Porites compressa","Resistant",43.99584863,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.377767232989955
"10","2023-09-15","TCB ","202","Light","16:04","17:15",10,42,6,237,2071.7,2061.2,27.82,NA,16H 4M 0S,17H 15M 0S,71,1.18333333333333,10.5,15.8,1.62652766197183,2023-09-15,"TCB","Montipora capitata","Resistant",18.32203385,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.0887744054665542
"11","2023-09-16","TCB ","20","Light","14:49","16:00",1,2,7,237,2183.9,2185.8,28.04,NA,14H 49M 0S,16H 0M 0S,71,1.18333333333333,-1.90000000000009,3.39999999999991,0.350012281690131,2023-09-16,"TCB","Montipora capitata","Resistant",23.44744167,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.0149275254254266
